name,Repo URL,Total SLOC,Test SLOC,% Test SLOC
t5,https://github.com/google-research/text-to-text-transfer-transformer,8930,0,0.0%
EleutherAI-gpt-neox,https://github.com/EleutherAI/gpt-neox,128464,101987,79.4%
Qwen,https://github.com/QwenLM/Qwen,7517,259,3.4%
RWKV-LM,https://github.com/BlinkDL/RWKV-LM,119111,0,0.0%
OpenAI-CLIP,https://github.com/openai/CLIP,1291,18,1.4%
openai-gpt-oss,https://github.com/openai/gpt-oss,N/A,N/A,N/A
Yalm,https://github.com/yandex/YaLM-100B,N/A,N/A,N/A
Dbrx,https://github.com/databricks/dbrx,1664,0,0.0%
Yi,https://github.com/01-ai/Yi,45390,0,0.0%
Deepseek-V3,https://github.com/deepseek-ai/DeepSeek-V3,804,0,0.0%
Deepseek-Janus,https://github.com/deepseek-ai/Janus,4803,0,0.0%
YuE,https://github.com/multimodal-art-projection/YuE,7661,0,0.0%
ChronosForecasting,https://github.com/amazon-science/chronos-forecasting,8347,653,7.8%
InternVideo,https://github.com/OpenGVLab/InternVideo,N/A,N/A,N/A
lag-llama,https://github.com/time-series-foundation-models/lag-llama,2834,0,0.0%
Otter,https://github.com/EvolvingLMMs-Lab/Otter,26890,0,0.0%
Clay-foundation-model,https://github.com/Clay-foundation/model,5900,0,0.0%
whisper,https://github.com/openai/whisper,13864,225,1.6%
microsoft-industrial-foundation-models,https://github.com/microsoft/Industrial-Foundation-Models,75510,0,0.0%
microsoft-BioGPT,https://github.com/microsoft/BioGPT,656451,28733,4.4%
RadFM,https://github.com/chaoyi-wu/RadFM,35484,0,0.0%
roberta_zh,https://github.com/brightmart/roberta_zh,2343,0,0.0%
ChatGlm-6B,https://github.com/THUDM/ChatGLM-6B,4144,0,0.0%
R1-Omni,https://github.com/HumanMLLM/R1-Omni,30125,0,0.0%
OpenVoice,https://github.com/myshell-ai/OpenVoice,3038,0,0.0%
seamless_communication,https://github.com/facebookresearch/seamless_communication,N/A,N/A,N/A
timesfm,https://github.com/google-research/timesfm,5436,54,1.0%
TabPFN,https://github.com/PriorLabs/TabPFN,14759,3652,24.7%
efficientvit,https://github.com/mit-han-lab/efficientvit,15637,0,0.0%
ace-step,https://github.com/ace-step/ACE-Step,28032,0,0.0%
ClimaX,https://github.com/microsoft/ClimaX,4400,29,0.7%
InternImage,https://github.com/OpenGVLab/InternImage,94800,0,0.0%
evo,https://github.com/evo-design/evo,2861,0,0.0%
UNI,https://github.com/mahmoodlab/UNI,1154,0,0.0%
microsoft-aurora,https://github.com/microsoft/aurora,5757,487,8.5%
helicalAI-helical,https://github.com/helicalAI/helical,16370,1423,8.7%
bowang-lab-BioReason,https://github.com/bowang-lab/BioReason,8830,0,0.0%
NVlabs-MambaVision,https://github.com/NVlabs/MambaVision,30185,0,0.0%
