Repo,Training Dependencies,Has FineTune Folder/File,Has Training Signal
google-research/text-to-text-transfer-transformer,"gin, tensorflow, mtf, mesh_tensorflow, transformers, jax, torch, flax, tensorflow_datasets",No,Yes
EleutherAI/gpt-neox,"megatron, gin, torch.nn, apex, trl, flash_attn, transformers, deepspeed, torch",No,Yes
QwenLM/Qwen,"transformers, accelerate",Yes,Yes
BlinkDL/RWKV-LM,"gin, megatron, torch.nn, trl, flash_attn, transformers, deepspeed, torch",No,Yes
openai/CLIP,"torch, gin",No,Yes
openai/gpt-oss,"torch, gin, torch.nn, transformers",No,Yes
yandex/YaLM-100B,"megatron, gin, torch.nn, tensorflow, apex, transformers, deepspeed, torch",Yes,Yes
databricks/dbrx,"torch, transformers, accelerate",No,Yes
01-ai/Yi,"torch, deepspeed, transformers, accelerate",Yes,Yes
deepseek-ai/DeepSeek-V3,"torch, gin, torch.nn, transformers",No,Yes
deepseek-ai/Janus,"torch, transformers, accelerate",No,Yes
multimodal-art-projection/YuE,"torch, transformers, accelerate",Yes,Yes
amazon-science/chronos-forecasting,"gin, torch.nn, accelerate, transformers, torch",No,Yes
OpenGVLab/InternVideo,"jax, gin, torch.nn, tensorflow, fsdp, apex, trl, mesh_tensorflow, flash_attn, transformers, deepspeed, torch",Yes,Yes
time-series-foundation-models/lag-llama,"torch, gin",Yes,Yes
EvolvingLMMs-Lab/Otter,"torch, deepspeed, transformers, accelerate, trl, gin",No,Yes
Clay-foundation/model,"torch, gin, torch.nn, transformers",Yes,Yes
openai/whisper,torch,No,Yes
microsoft/Industrial-Foundation-Models,"gin, torch.nn, fsdp, accelerate, transformers, torch",No,Yes
microsoft/BioGPT,torch,No,Yes
chaoyi-wu/RadFM,"torch, transformers, gin",No,Yes
brightmart/roberta_zh,"gin, tensorflow, transformers",No,Yes
THUDM/ChatGLM-6B,"torch, transformers, accelerate",Yes,Yes
HumanMLLM/R1-Omni,"gin, torch.nn, fsdp, trl, accelerate, flash_attn, transformers, deepspeed, torch",Yes,Yes
myshell-ai/OpenVoice,"torch, gin, torch.nn",No,Yes
facebookresearch/seamless_communication,"torch, gin, torch.nn, flash_attn",Yes,Yes
google-research/timesfm,"gin, torch.nn, tensorflow, transformers, jax, torch, flax",Yes,Yes
PriorLabs/TabPFN,"gin, torch.nn, flash_attn, transformers, torch",Yes,Yes
mit-han-lab/efficientvit,"torch, transformers, gin",No,Yes
ace-step/ACE-Step,"torch, transformers, accelerate",No,Yes
microsoft/ClimaX,"torch, tensorflow, torch.nn, transformers",No,Yes
OpenGVLab/InternImage,None,No,No
evo-design/evo,"torch, gin, transformers",No,Yes
mahmoodlab/UNI,"torch, gin, torch.nn, transformers",No,Yes
microsoft/aurora,"gin, torch.nn, fsdp, transformers, torch",No,Yes
helicalAI/helical,"gin, megatron, torch.nn, apex, accelerate, flash_attn, transformers, jax, torch",No,Yes
bowang-lab/BioReason,"torch, deepspeed, transformers, accelerate, trl",No,Yes
NVlabs/MambaVision,"torch, transformers",No,Yes
