name,Last Commit Date,Total Commits (Last 90d),Avg Commits/Weekday (Mon–Fri),Infrequent (<2.36)
react,2025-08-08,347,5.34,No
javascript-algorithms,2025-02-13,5,0.08,Yes
javascript,2024-12-07,1,0.02,Yes
next.js,2025-08-09,1559,23.98,No
awesome-chatgpt-prompts,2025-08-02,55,0.85,Yes
30-seconds-of-code,2025-08-07,101,1.55,Yes
node,2025-08-09,596,9.17,No
three.js,2025-08-09,424,6.52,No
axios,2025-08-06,27,0.42,Yes
open-webui,2025-07-30,1798,27.66,No
create-react-app,2025-02-15,15,0.23,Yes
clean-code-javascript,2023-02-12,1,0.02,Yes
Web-Dev-For-Beginners,2025-08-08,29,0.45,Yes
awesome-mac,2025-08-05,37,0.57,Yes
svelte,2025-08-07,310,4.77,No
Font-Awesome,2025-07-25,4,0.06,Yes
github-readme-stats,2025-07-26,37,0.57,Yes
json-server,2025-04-01,1,0.02,Yes
uptime-kuma,2025-07-30,126,1.94,Yes
reveal.js,2025-08-05,1,0.02,Yes
express,2025-08-06,20,0.31,Yes
Chart.js,2025-07-13,19,0.29,Yes
33-js-concepts,2025-04-28,3,0.05,Yes
webpack,2025-08-07,144,2.22,Yes
anime,2025-08-04,9,0.14,Yes
resume.github.com,2016-08-05,15,0.23,Yes
lodash,2024-12-13,1,0.02,Yes
atom,2022-11-23,24,0.37,Yes
markdown-here,2025-07-10,17,0.26,Yes
jquery,2025-08-07,11,0.17,Yes
angular.js,2024-04-13,1,0.02,Yes
uBlock,2025-08-09,245,3.77,No
html5-boilerplate,2025-06-23,16,0.25,Yes
DeepLearning-500-questions,2021-10-14,2,0.03,Yes
drawio-desktop,2025-07-23,32,0.49,Yes
gatsby,2025-08-07,11,0.17,Yes
leetcode,2025-07-16,1,0.02,Yes
pdf.js,2025-08-08,237,3.65,No
Semantic-UI,2024-11-28,2,0.03,Yes
prettier,2025-08-08,229,3.52,No
marktext,2024-06-11,2,0.03,Yes
Ghost,2025-08-09,1249,19.22,No
chinese-poetry,2025-04-02,4,0.06,Yes
hiring-without-whiteboards,2025-08-01,1,0.02,Yes
Motrix,2023-06-07,160,2.46,No
hacker-scripts,2022-08-07,2,0.03,Yes
moment,2024-02-19,84,1.29,Yes
dayjs,2025-07-21,5,0.08,Yes
algorithm-visualizer,2023-11-19,1,0.02,Yes
anything-llm,2025-08-09,141,2.17,Yes
serverless,2025-04-12,7,0.11,Yes
react,2025-08-08,347,5.34,No
htmx,2025-08-03,67,1.03,Yes
30-Days-Of-JavaScript,2025-02-11,1,0.02,Yes
meteor,2025-08-07,184,2.83,No
zx,2025-08-08,90,1.38,Yes
parcel,2025-06-21,61,0.94,Yes
monaco-editor,2025-06-23,5,0.08,Yes
Leaflet,2025-08-02,53,0.82,Yes
awesome-cheatsheets,2024-08-25,7,0.11,Yes
edex-ui,2021-10-20,14,0.22,Yes
reactjs-interview-questions,2025-07-31,39,0.6,Yes
pm2,2025-06-05,28,0.43,Yes
yarn,2024-05-25,4,0.06,Yes
EasySpider,2025-07-31,16,0.25,Yes
swiper,2025-08-06,28,0.43,Yes
uni-app,2025-08-09,669,10.29,No
nw.js,2025-08-02,160,2.46,No
video.js,2025-08-02,3,0.05,Yes
materialize,2020-06-02,2,0.03,Yes
phaser,2025-05-24,59,0.91,Yes
remote-jobs,2025-07-23,78,1.2,Yes
impress.js,2024-04-27,5,0.08,Yes
preact,2025-08-09,123,1.89,Yes
Awesome-Design-Tools,2020-09-29,41,0.63,Yes
tesseract.js,2025-04-21,8,0.12,Yes
wtfjs,2025-03-19,1,0.02,Yes
ToolJet,2025-08-08,1676,25.78,No
bruno,2025-08-09,318,4.89,No
carbon,2024-12-28,11,0.17,Yes
koa,2025-07-27,12,0.18,Yes
fullPage.js,2025-06-27,19,0.29,Yes
awesome-react-native,2021-04-25,64,0.98,Yes
hackathon-starter,2025-07-31,17,0.26,Yes
puter,2025-08-09,382,5.88,No
fastify,2025-08-08,122,1.88,Yes
clipboard.js,2022-12-11,6,0.09,Yes
react-beautiful-dnd,2024-10-15,6,0.09,Yes
husky,2024-11-26,10,0.15,Yes
JavaScript,2025-01-16,4,0.06,Yes
How-To-Ask-Questions-The-Smart-Way,2025-01-02,3,0.05,Yes
brackets,2021-03-19,2,0.03,Yes
gulp,2025-06-02,6,0.09,Yes
Fabric,2025-08-08,558,8.58,No
AnotherRedisDesktopManager,2025-03-26,7,0.11,Yes
learnGitBranching,2025-06-28,43,0.66,Yes
drawdb,2025-08-09,53,0.82,Yes
CyberChef,2025-08-06,48,0.74,Yes
lottie-web,2024-11-20,6,0.09,Yes
netron,2025-08-09,200,3.08,No
