Project,Repo URL,Created At,First CI Run Date,Time to First CI (months),Active Period (months),Total PRs,Total Issues,Contributors,Workflows Used,Workflow Runs (Success),Workflow Runs (Failure)
t5,https://github.com/google-research/text-to-text-transfer-transformer,2019-10-17T21:45:14Z,2024-06-24,56,70,592,997,61,Yes,66,16
EleutherAI-gpt-neox,https://github.com/EleutherAI/gpt-neox,2020-12-22T14:37:54Z,2024-06-25,42,56,834,1293,134,Yes,1,770
Qwen,https://github.com/QwenLM/Qwen,2023-08-03T04:56:38Z,2024-06-25,11,24,147,1277,33,Yes,409,1
RWKV-LM,https://github.com/BlinkDL/RWKV-LM,2021-08-08T06:05:27Z,,,48,46,298,5,No,0,0
OpenAI-CLIP,https://github.com/openai/CLIP,2020-12-16T11:24:42Z,,,56,69,501,21,No,0,0
openai-gpt-oss,https://github.com/openai/gpt-oss,2025-06-23T16:43:33Z,2025-08-05,1,2,95,95,25,Yes,1,8
Yalm,https://github.com/yandex/YaLM-100B,2022-06-22T16:24:16Z,,,38,6,34,3,No,0,0
Dbrx,https://github.com/databricks/dbrx,2024-03-26T20:21:43Z,,,16,10,34,6,No,0,0
Yi,https://github.com/01-ai/Yi,2023-11-03T16:08:37Z,2024-06-26,8,21,269,561,50,Yes,201,8
Deepseek-V3,https://github.com/deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,2025-02-08,1,7,149,729,24,Yes,182,0
Deepseek-Janus,https://github.com/deepseek-ai/Janus,2024-10-18T03:48:16Z,,,10,33,216,10,No,0,0
YuE,https://github.com/multimodal-art-projection/YuE,2025-01-23T06:21:58Z,,,6,10,132,9,No,0,0
ChronosForecasting,https://github.com/amazon-science/chronos-forecasting,2024-02-23T10:35:42Z,2024-06-25,4,17,101,200,12,Yes,591,79
InternVideo,https://github.com/OpenGVLab/InternVideo,2022-11-23T12:57:00Z,,,32,25,299,25,No,0,0
lag-llama,https://github.com/time-series-foundation-models/lag-llama,2024-02-07T10:35:52Z,,,18,11,129,6,No,0,0
Otter,https://github.com/EvolvingLMMs-Lab/Otter,2023-04-01T12:31:49Z,,,28,181,346,11,No,0,0
Clay-foundation-model,https://github.com/Clay-foundation/model,2023-09-29T12:08:10Z,2024-06-28,9,22,168,305,20,Yes,236,2
whisper,https://github.com/openai/whisper,2022-09-16T20:02:54Z,2024-08-19,23,35,313,312,79,Yes,101,22
microsoft-industrial-foundation-models,https://github.com/microsoft/Industrial-Foundation-Models,2024-03-22T02:53:12Z,,,17,3,11,3,No,0,0
microsoft-BioGPT,https://github.com/microsoft/BioGPT,2022-08-15T05:55:55Z,2024-07-01,23,36,24,117,8,Yes,60,0
RadFM,https://github.com/chaoyi-wu/RadFM,2023-08-02T11:00:02Z,,,24,0,43,2,No,0,0
roberta_zh,https://github.com/brightmart/roberta_zh,2019-09-02T17:11:57Z,,,71,5,100,2,No,0,0
ChatGlm-6B,https://github.com/THUDM/ChatGLM-6B,2023-03-13T12:00:18Z,,,29,121,1429,48,No,0,0
R1-Omni,https://github.com/HumanMLLM/R1-Omni,2025-03-09T08:53:53Z,,,5,4,40,1,No,0,0
OpenVoice,https://github.com/myshell-ai/OpenVoice,2023-11-29T12:17:01Z,,,20,61,374,13,No,0,0
seamless_communication,https://github.com/facebookresearch/seamless_communication,2023-08-01T20:36:21Z,,,24,132,519,37,No,0,0
timesfm,https://github.com/google-research/timesfm,2024-04-29T21:26:26Z,2024-07-12,2,15,95,274,17,Yes,38,111
TabPFN,https://github.com/PriorLabs/TabPFN,2022-07-01T11:54:47Z,2025-01-16,31,37,184,431,31,Yes,309,263
efficientvit,https://github.com/mit-han-lab/efficientvit,2023-04-05T23:30:46Z,,,28,14,180,14,No,0,0
ace-step,https://github.com/ace-step/ACE-Step,2025-04-28T07:03:09Z,,,3,98,281,24,No,0,0
ClimaX,https://github.com/microsoft/ClimaX,2022-12-08T17:43:46Z,,,32,10,48,6,No,0,0
InternImage,https://github.com/OpenGVLab/InternImage,2022-11-10T09:24:57Z,,,33,49,323,14,No,0,0
evo,https://github.com/evo-design/evo,2024-02-17T19:11:33Z,,,18,31,106,8,No,0,0
UNI,https://github.com/mahmoodlab/UNI,2024-02-02T06:49:11Z,,,18,6,66,5,No,0,0
microsoft-aurora,https://github.com/microsoft/aurora,2024-07-15T14:23:39Z,2024-07-24,0,13,60,132,12,Yes,1482,129
helicalAI-helical,https://github.com/helicalAI/helical,2024-04-27T09:46:06Z,2024-06-28,2,15,237,257,12,Yes,898,219
bowang-lab-BioReason,https://github.com/bowang-lab/BioReason,2025-06-01T22:07:20Z,2025-06-01,0,2,2,13,3,Yes,4,0
NVlabs-MambaVision,https://github.com/NVlabs/MambaVision,2024-06-10T17:46:08Z,,,14,18,103,2,No,0,0
