name,SLOC,Category,Languages
select.rs,5952,Small,"HTML (4326), Rust (1456), Markdown (128), TOML (22), YAML (20)"
zino,41194,Medium,"Rust (37649), TOML (2262), Markdown (750), CSS (160), HTML (137), JSON (118), YAML (84), CSV (14), Rego (9), Text (6), Freemarker Template (4), JavaScript (1)"
cornucopia,18858,Medium,"Rust (16626), SVG (777), TOML (716), Markdown (353), SQL (337), YAML (49)"
cicada,N/A,Error,N/A
tuono,16676,Medium,"YAML (5746), Rust (5394), TypeScript (4012), JSON (510), CSS (328), JavaScript (227), Markdown (208), TOML (197), Dockerfile (19), HTML (17), INI (9), SVG (7), Bourne Shell (2)"
ipc-channel,50368,Medium,"Rust (50195), TOML (63), Markdown (57), YAML (53)"
voy,11689,Medium,"Rust (5787), JSON (4335), JavaScript (582), TypeScript (399), Markdown (341), CSS (75), YAML (71), HTML (63), TOML (33), SVG (3)"
btleplug,8784,Small,"Rust (7060), Markdown (676), Java (627), Bourne Shell (126), YAML (85), TOML (80), DOS Batch (76), Gradle (41), XML (8), Properties (5)"
bevy_game_template,2004,Small,"Rust (535), YAML (513), XML (177), Nix (108), TOML (108), Markdown (103), JSON (96), WiX source (94), Bourne Shell (66), CSS (47), JavaScript (40), Visual Studio Solution (38), MSBuild script (27), HTML (22), make (20), Objective-C (5), WiX string localization (3), C/C++ Header (1), Windows Resource File (1)"
portable-simd,8221,Small,"Rust (7692), YAML (220), Markdown (199), TOML (62), Bourne Shell (41), JSON (7)"
nox,45156,Medium,"Rust (41498), TOML (1685), Markdown (831), YAML (767), make (126), XML (109), JSON (51), Dockerfile (37), Protocol Buffers (25), Bourne Shell (20), Nix (7)"
eframe_template,817,Very Small,"TOML (209), YAML (170), Rust (139), HTML (115), Markdown (59), Bourne Shell (34), Nix (32), JSON (28), JavaScript (21), PowerShell (10)"
riscv,10341,Medium,"Rust (8685), Markdown (819), YAML (505), TOML (242), Logos (90)"
lorri,11806,Medium,"Nix (5958), Rust (4905), Markdown (536), YAML (209), Bourne Again Shell (83), Bourne Shell (62), TOML (33), JSON (20)"
rutie,5135,Small,"Rust (4156), Markdown (695), Ruby (141), TOML (67), YAML (63), DOS Batch (8), Bourne Again Shell (5)"
elfcat,2452,Small,"Rust (1801), JavaScript (314), CSS (239), Markdown (87), TOML (11)"
lodestone,N/A,Error,N/A
lingua-rs,286118,Large,"Text (267243), Rust (10491), Markdown (4809), TOML (1628), Python (1358), CSV (304), YAML (260), INI (25)"
build-your-own-jira-with-rust,2647,Small,"Rust (2459), YAML (81), Markdown (56), TOML (51)"
kati,26247,Medium,"Rust (10928), C++ (8856), make (2513), C/C++ Header (1370), Bourne Shell (1229), Go (622), Markdown (511), Python (75), YAML (73), TOML (31), Dockerfile (26), Bourne Again Shell (13)"
confy,733,Very Small,"Rust (480), YAML (151), Markdown (64), TOML (38)"
tetra,12941,Medium,"Rust (11030), Markdown (1710), YAML (93), TOML (61), GLSL (47)"
voicevox_core,26794,Medium,"Rust (17559), Markdown (1931), Python (1570), Java (1549), YAML (1341), TOML (933), C/C++ Header (420), XML (310), Bourne Shell (211), C++ (201), Gradle (172), DOS Batch (140), JSON (127), Bourne Again Shell (124), JSON5 (88), Kotlin (53), Visual Studio Solution (29), HTML (14), CMake (8), Properties (7), reStructuredText (7)"
onetun,2767,Small,"Rust (2226), YAML (248), Markdown (230), TOML (40), Dockerfile (17), Bourne Shell (6)"
hydro,552646,Large,"Text (432967), Rust (76214), Markdown (17880), JSON (17463), JavaScript (2042), HTML (1711), HCL (1450), TOML (858), YAML (599), CSS (509), Python (504), Bourne Again Shell (102), make (90), TypeScript (67), XML (61), Dockerfile (60), Bourne Shell (50), SVG (19)"
tower-web,14964,Medium,"Rust (14647), Markdown (178), TOML (110), YAML (21), Handlebars (8)"
alloy,90054,Medium,"Rust (63534), Markdown (18713), Text (4163), TOML (2440), JSON (804), YAML (310), Bourne Shell (90)"
printpdf,35443,Medium,"Rust (24265), Text (6055), Markdown (1402), JavaScript (1230), SVG (1064), HTML (813), CSS (381), TOML (121), YAML (102), Bourne Shell (10)"
tmux-thumbs,2227,Small,"Rust (1505), Markdown (361), YAML (207), Bourne Shell (123), TOML (24), Bourne Again Shell (7)"
pathfinding,11089,Medium,"Rust (8374), Text (2049), Markdown (312), YAML (223), TOML (107), Bourne Shell (21), JSON (3)"
avml,2894,Small,"Rust (1870), Text (481), YAML (193), Markdown (191), Bourne Shell (107), TOML (52)"
bdk,19385,Medium,"Rust (17793), Markdown (943), YAML (333), TOML (265), Bourne Shell (36), SVG (15)"
argc,13020,Medium,"Rust (11382), Markdown (729), Bourne Shell (465), YAML (189), TOML (71), zsh (48), Bourne Again Shell (42), PowerShell (42), Fish Shell (41), Nushell (11)"
swift-bridge,33959,Medium,"Rust (28614), Markdown (2635), Swift (2020), XML (198), TOML (188), Bourne Shell (94), YAML (93), JSON (75), C/C++ Header (42)"
rio,2471,Small,"Rust (2143), Markdown (260), Bourne Shell (31), TOML (27), YAML (10)"
snow,60513,Medium,"Text (55128), Rust (5081), Markdown (123), TOML (111), YAML (43), Bourne Shell (22), HTML (5)"
bstr,64113,Medium,"Text (57186), Rust (6251), Bourne Shell (328), Markdown (181), YAML (90), TOML (77)"
realworld-axum-sqlx,1695,Small,"Rust (1397), Markdown (139), SQL (78), YAML (50), TOML (31)"
color-eyre,3245,Small,"Rust (2476), Markdown (245), Text (227), YAML (128), Python (90), TOML (69), Nix (10)"
fundsp,24852,Medium,"Rust (23292), Markdown (1463), TOML (55), YAML (42)"
