name,Last Commit Date,Total Commits (Last 90d),Avg Commits/Weekday (Mon–Fri),Infrequent (<2.36)
t5,2025-04-29,2,0.03,Yes
EleutherAI-gpt-neox,2025-06-10,7,0.11,Yes
Qwen,2025-08-05,5,0.08,Yes
RWKV-LM,2025-07-27,39,0.6,Yes
OpenAI-CLIP,2024-06-05,1,0.02,Yes
openai-gpt-oss,2025-08-08,42,0.65,Yes
Yalm,2023-01-25,1,0.02,Yes
Dbrx,2024-04-20,9,0.14,Yes
Yi,2024-11-27,60,0.92,Yes
Deepseek-V3,2025-06-16,7,0.11,Yes
Deepseek-Janus,2025-02-01,8,0.12,Yes
YuE,2025-06-05,23,0.35,Yes
ChronosForecasting,2025-08-05,1,0.02,Yes
InternVideo,2025-08-08,13,0.2,Yes
lag-llama,2025-06-07,1,0.02,Yes
Otter,2024-03-06,17,0.26,Yes
Clay-foundation-model,2025-07-05,5,0.08,Yes
whisper,2025-06-26,12,0.18,Yes
microsoft-industrial-foundation-models,2024-08-19,10,0.15,Yes
microsoft-BioGPT,2023-11-14,1,0.02,Yes
RadFM,2025-07-25,7,0.11,Yes
roberta_zh,2022-06-15,2,0.03,Yes
ChatGlm-6B,2024-06-27,3,0.05,Yes
R1-Omni,2025-03-24,24,0.37,Yes
OpenVoice,2025-04-20,3,0.05,Yes
seamless_communication,2024-11-14,1,0.02,Yes
timesfm,2025-07-08,15,0.23,Yes
TabPFN,2025-08-07,82,1.26,Yes
efficientvit,2025-04-24,11,0.17,Yes
ace-step,2025-06-27,265,4.08,No
ClimaX,2023-10-01,8,0.12,Yes
InternImage,2025-03-25,37,0.57,Yes
evo,2025-02-26,6,0.09,Yes
UNI,2025-03-26,7,0.11,Yes
microsoft-aurora,2025-06-23,96,1.48,Yes
helicalAI-helical,2025-06-19,78,1.2,Yes
bowang-lab-BioReason,2025-06-14,22,0.34,Yes
NVlabs-MambaVision,2025-07-23,25,0.38,Yes
