name,Total Commits,Avg Commit Size,Max Commit Size,Min Commit Size,Std Dev
t5,2,3,4,2,1.41
EleutherAI-gpt-neox,7,414.43,2020,2,722.12
Qwen,5,0,0,0,0.0
RWKV-LM,39,44.41,477,2,105.14
OpenAI-CLIP,1,9,9,9,0
openai-gpt-oss,42,537.36,20405,1,3142.06
Yalm,1,14,14,14,0
Dbrx,9,346.78,3054,2,1015.22
Yi,60,1.57,10,0,2.48
Deepseek-V3,7,3.86,13,2,4.1
Deepseek-Janus,8,437.5,3006,0,1051.27
YuE,23,478921.7,5499185,1,1584092.47
ChronosForecasting,1,66,66,66,0
InternVideo,13,266.92,1583,1,521.37
lag-llama,1,6,6,6,0
Otter,17,30.24,286,1,70.72
Clay-foundation-model,5,2357.4,11587,4,5159.74
whisper,12,8.92,26,2,8.32
microsoft-industrial-foundation-models,10,7850.2,78122,1,24691.06
microsoft-BioGPT,1,18,18,18,0
RadFM,7,337.86,2213,2,827.99
roberta_zh,2,2.5,3,2,0.71
ChatGlm-6B,3,67.33,100,2,56.58
R1-Omni,24,1459.5,27304,1,5665.82
OpenVoice,3,2.67,4,2,1.15
seamless_communication,1,65,65,65,0
timesfm,15,128.8,867,1,300.02
TabPFN,82,1391.29,17802,1,3758.95
efficientvit,11,4.82,12,0,4.0
ace-step,265,663.52,52617,0,4798.21
ClimaX,8,391.12,1051,2,455.51
InternImage,37,3255.84,92343,2,15404.93
evo,6,560,3291,2,1337.95
UNI,7,203.71,1289,2,479.66
microsoft-aurora,96,92.98,1948,0,268.65
helicalAI-helical,78,308.37,5032,0,899.04
bowang-lab-BioReason,22,3381.36,27286,0,8030.51
NVlabs-MambaVision,25,5433.56,47385,0,13805.75
