name,Avg Duration (min),Max Duration (min),Long Builds >10min,Runs Counted
t5,1.76,5.17,0.0%,71
EleutherAI-gpt-neox,4.15,49.2,2.0%,698
Qwen,0.27,19.95,0.2%,401
RWKV-LM,,,,0
OpenAI-CLIP,,,,0
openai-gpt-oss,0.47,0.75,0.0%,10
Yalm,,,,0
Dbrx,,,,0
Yi,0.33,5.98,0.0%,198
Deepseek-V3,0.29,2.52,0.0%,182
Deepseek-Janus,,,,0
YuE,,,,0
ChronosForecasting,2.51,61.82,0.4%,683
InternVideo,,,,0
lag-llama,,,,0
Otter,,,,0
Clay-foundation-model,1.54,4.63,0.0%,211
whisper,2.8,73.37,4.0%,124
microsoft-industrial-foundation-models,,,,0
microsoft-BioGPT,1.49,2.75,0.0%,59
RadFM,,,,0
roberta_zh,,,,0
ChatGlm-6B,,,,0
R1-Omni,,,,0
OpenVoice,,,,0
seamless_communication,,,,0
timesfm,1.01,26.88,0.7%,146
TabPFN,16.3,150.7,68.9%,553
efficientvit,,,,0
ace-step,,,,0
ClimaX,,,,0
InternImage,,,,0
evo,,,,0
UNI,,,,0
microsoft-aurora,3.95,233.17,12.0%,1594
helicalAI-helical,6.84,152.67,26.0%,1154
bowang-lab-BioReason,0.67,0.78,0.0%,4
NVlabs-MambaVision,,,,0
