project,commit_hash,author,date,lines_added,lines_deleted,files_changed,total_impact,branch
t5,e081111ccd,Hana Joo,2025-04-29,1,1,1,2,origin/HEAD
t5,2c2c0d52f0,Yang Chen,2025-02-28,1,3,1,4,origin/HEAD
Qwen,528817ac8e,Yang An,2025-06-16,0,0,1,0,origin/HEAD
Qwen,1c282d421c,Yang An,2025-06-16,0,0,1,0,origin/HEAD
Qwen,df5866f1be,Yang An,2025-04-29,0,0,1,0,origin/HEAD
Qwen,1ac436a15d,Yang An,2025-04-29,0,0,1,0,origin/HEAD
Qwen,ee455c98bf,Yang An,2025-03-28,0,0,1,0,origin/HEAD
Qwen,698e35f0c1,Yang An,2025-03-28,0,0,1,0,origin/HEAD
Qwen,f7e3e7cb77,Yang An,2025-02-26,0,0,1,0,origin/HEAD
Qwen,319cde1bf4,Yang An,2025-02-26,0,0,1,0,origin/HEAD
Qwen,83d715b4ef,Yang An,2025-02-01,0,0,1,0,origin/HEAD
Qwen,e20ed5801e,Yang An,2025-02-01,0,0,1,0,origin/HEAD
Qwen3,83fbf07d6e,Bihan Rana,2025-06-13,162,0,2,162,origin/HEAD
Qwen3,ac8c783d12,Ren Xuancheng,2025-06-13,1644,2166,19,3810,origin/HEAD
Qwen3,70d9deae58,Yang Fan,2025-06-13,105,0,1,105,origin/HEAD
Qwen3,0eea76c126,Jianhong Tu,2025-06-09,73,754,1,827,origin/HEAD
Qwen3,8b3807a089,THU-LIJX,2025-06-05,105,0,1,105,origin/HEAD
Qwen3,7302765080,NanoCode012,2025-05-29,131,0,2,131,origin/HEAD
Qwen3,52fa975d80,Ren Xuancheng,2025-05-29,50,148,5,198,origin/HEAD
Qwen3,2a23ce01c8,Bo Li,2025-05-22,10,1,1,11,origin/HEAD
Qwen3,c7f51a1a1c,Ren Xuancheng,2025-05-20,100,127,8,227,origin/HEAD
Qwen3,ac7272455d,Ren Xuancheng,2025-05-16,2120,3558,6,5678,origin/HEAD
Qwen3,728493158d,Ren Xuancheng,2025-05-14,0,0,1,0,origin/HEAD
Qwen3,72e3c9fe33,Ren Xuancheng,2025-05-14,5,2,1,7,origin/HEAD
Qwen3,c3132b7711,Jack,2025-05-14,5,0,1,5,origin/HEAD
Qwen3,8dd7dfd880,Ren Xuancheng,2025-05-14,0,0,1,0,origin/HEAD
Qwen3,714df5bce8,Ren Xuancheng,2025-05-09,1,6,1,7,origin/HEAD
Qwen3,1d87faccb5,renxuancheng.rxc,2025-05-07,251,197,14,448,origin/HEAD
Qwen3,0263b5c84e,Jianhong Tu,2025-05-07,38,19,1,57,origin/HEAD
Qwen3,91ff7a4281,BearBiscuit,2025-05-07,296,84,5,380,origin/HEAD
Qwen3,8925421aba,donghee choi,2025-05-06,7,7,1,14,origin/HEAD
Qwen3,d0a53038f2,Jintao,2025-05-06,457,513,2,970,origin/HEAD
Qwen3,644d4c1765,Jianhong Tu,2025-05-06,72,74,1,146,origin/HEAD
Qwen3,2af51e0e5c,Ren Xuancheng,2025-04-30,1,1,1,2,origin/HEAD
Qwen3,8e4e4f5a94,Ren Xuancheng,2025-04-29,9,1,1,10,origin/HEAD
Qwen3,2b4515c1c7,Ren Xuancheng,2025-04-29,0,4,1,4,origin/HEAD
Qwen3,9a7f8e7524,Ren Xuancheng,2025-04-29,1,1,1,2,origin/HEAD
Qwen3,2b567c638f,Ren Xuancheng,2025-04-29,743,831,27,1574,origin/HEAD
Qwen3,320861c7c7,jojomanar,2025-04-29,1,1,1,2,origin/HEAD
Qwen3,a7048e574d,Kaiyu Shi,2025-04-29,1,1,1,2,origin/HEAD
Qwen3,e5cde02890,Ren Xuancheng,2025-04-29,13,1,1,14,origin/HEAD
Qwen3,4a65ffa4f3,Ren Xuancheng,2025-04-29,1,1,1,2,origin/HEAD
Qwen3,e5a1d3263e,Binyuan Hui,2025-04-29,9439,8120,66,17559,origin/HEAD
Qwen3,7091d4aae2,renxuancheng.rxc,2025-04-29,4,0,1,4,origin/HEAD
Qwen3,c5d7280d48,renxuancheng.rxc,2025-04-29,4,4,2,8,origin/HEAD
Qwen3,a905f63066,renxuancheng.rxc,2025-04-29,3,2,1,5,origin/HEAD
Qwen3,f4d356cb55,renxuancheng.rxc,2025-04-29,9433,8119,66,17552,origin/HEAD
Qwen3,2abc0f3243,jinghanhu,2025-04-22,762,0,8,762,origin/HEAD
