name,Runs Analyzed,Broken >2 Days,Broken >4 Days,Max Broken Days
t5,92,0,0,1
Qwen,410,0,0,0
Qwen3,365,0,0,0
RWKV-LM,0,,,
gpt-neox,500,2,2,250
OpenAI-CLIP,5,0,0,0
Yalm,0,,,
Dbrx,0,,,
Yi,268,1,1,21
Deepseek-V3,138,0,0,0
Deepseek-Janus,0,,,
YuE,0,,,
ChronosForecasting,500,1,0,3
InternVideo,0,,,
lag-llama,0,,,
Otter,0,,,
Clay-foundation-model,360,0,0,1
whisper,95,4,2,21
microsoft-industrial-foundation-models,0,,,
microsoft-BioGPT,62,0,0,0
RadFM,0,,,
roberta_zh,0,,,
Ernie,0,,,
ChatGlm-6B,0,,,
ChatGlm-6B,0,,,
R1-Omni,0,,,
Hibiki,13,0,0,0
