name,Last Commit Date,Total Commits (Last 90d),Avg Commits/Weekday (Mon–Fri),Avg Commits/Day (All Days),Infrequent (<2.36)
t5,2025-04-29,2,0.03,0.02,Yes
Qwen,2025-06-16,6,0.09,0.07,Yes
Qwen3,2025-06-13,36,0.55,0.4,Yes
RWKV-LM,2025-06-18,27,0.42,0.3,Yes
gpt-neox,2025-06-10,7,0.11,0.08,Yes
OpenAI-CLIP,2024-06-05,1,0.02,0.01,Yes
Yalm,2023-01-25,1,0.02,0.01,Yes
Dbrx,2024-04-20,9,0.14,0.1,Yes
Yi,2024-11-27,60,0.92,0.67,Yes
Deepseek-V3,2025-06-16,7,0.11,0.08,Yes
Deepseek-Janus,2025-02-01,8,0.12,0.09,Yes
YuE,2025-06-05,23,0.35,0.26,Yes
ChronosForecasting,2025-05-06,9,0.14,0.1,Yes
InternVideo,2025-06-16,9,0.14,0.1,Yes
lag-llama,2025-06-07,1,0.02,0.01,Yes
Otter,2024-03-06,17,0.26,0.19,Yes
Clay-foundation-model,2025-05-26,3,0.05,0.03,Yes
whisper,2025-05-14,4,0.06,0.04,Yes
microsoft-industrial-foundation-models,2024-08-19,10,0.15,0.11,Yes
microsoft-BioGPT,2023-11-14,1,0.02,0.01,Yes
RadFM,2025-05-06,6,0.09,0.07,Yes
roberta_zh,2022-06-15,2,0.03,0.02,Yes
Ernie,2023-03-28,8,0.12,0.09,Yes
ChatGlm-6B,2024-06-27,3,0.05,0.03,Yes
R1-Omni,2025-03-24,24,0.37,0.27,Yes
Hibiki,2025-04-15,33,0.51,0.37,Yes
