name,Avg Duration (min),Max Duration (min),Long Builds >10min,Runs Counted
t5,2.07,5.17,0.0%,90
EleutherAI-gpt-neox,5.1,49.2,6.4%,886
Qwen,0.28,19.95,0.2%,400
RWKV-LM,,,,0
OpenAI-CLIP,15.7,47.67,40.0%,5
Yalm,,,,0
Dbrx,,,,0
Yi,1.21,80.0,1.9%,258
Deepseek-V3,0.3,2.52,0.0%,142
Deepseek-Janus,,,,0
YuE,,,,0
ChronosForecasting,2.37,61.82,0.4%,706
InternVideo,,,,0
lag-llama,,,,0
Otter,,,,0
Clay-foundation-model,,,,0
whisper,3.4,73.37,5.6%,89
microsoft-industrial-foundation-models,,,,0
microsoft-BioGPT,1.62,2.75,0.0%,61
RadFM,,,,0
roberta_zh,,,,0
ChatGlm-6B,,,,0
R1-Omni,,,,0
OpenVoice,,,,0
seamless_communication,1.12,1.83,0.0%,3
timesfm,1.0,26.88,0.8%,125
TabPFN,13.49,150.7,50.9%,275
efficientvit,,,,0
ace-step,,,,0
ClimaX,,,,0
InternImage,,,,0
evo,,,,0
UNI,,,,0
microsoft-aurora,3.78,233.17,11.9%,1584
helicalAI-helical,7.23,152.67,25.3%,1171
bowang-lab-BioReason,0.67,0.78,0.0%,4
NVlabs-MambaVision,,,,0
