name,SLOC,Category,Languages
t5,11459,Medium,"Python (8552), Text (2086), Markdown (443), Jupyter Notebook (343), YAML (32), INI (2), JSON (1)"
EleutherAI-gpt-neox,131201,Large,"JSON (100598), Python (19941), YAML (4463), Markdown (2595), C/C++ Header (1634), C++ (818), CUDA (640), TOML (175), Text (142), Windows Module Definition (64), Bourne Shell (55), Dockerfile (50), INI (19), make (7)"
Qwen,15590,Medium,"Markdown (7996), Python (5764), Jupyter Notebook (825), Bourne Shell (536), YAML (187), JSON (106), Dockerfile (89), Text (77), Jinja Template (5), Properties (5)"
RWKV-LM,250388,Large,"Text (131061), JSON (105974), Python (10946), CUDA (1372), Markdown (724), C++ (168), Bourne Shell (142), YAML (1)"
OpenAI-CLIP,4789,Small,"Markdown (3492), Jupyter Notebook (631), Python (627), YAML (33), Text (6)"
Yalm,16631,Medium,"Python (13385), Bourne Shell (1027), C/C++ Header (718), Markdown (543), C++ (527), JSON (207), CUDA (125), Dockerfile (43), TeX (35), make (16), Text (5)"
Dbrx,2046,Small,"Python (1519), Markdown (373), JSON (145), Text (9)"
Yi,50918,Medium,"Jupyter Notebook (35101), Markdown (5338), Python (4068), YAML (3072), JSON (3000), Text (190), Bourne Shell (68), Dockerfile (40), TOML (27), SVG (14)"
Deepseek-V3,1169,Small,"Python (714), Markdown (361), JSON (61), YAML (29), Text (4)"
Deepseek-Janus,5367,Small,"Python (4456), Markdown (546), Jupyter Notebook (205), make (69), TOML (50), SVG (23), Text (18)"
YuE,5506709,Very Large,"Text (5498676), Python (5422), JSON (886), C++ (566), Markdown (372), CSV (320), Bourne Shell (285), SVG (166), YAML (9), make (7)"
ChronosForecasting,8689,Small,"SVG (4742), Python (2222), YAML (561), CSV (485), Markdown (359), Jupyter Notebook (176), JSON (105), TOML (39)"
InternVideo,233421,Large,"Python (177195), Bourne Shell (17489), C++ (16311), Markdown (7093), JSON (6766), YAML (5108), CUDA (760), C (727), Text (480), C/C++ Header (450), Bourne Again Shell (305), CSV (262), Jupyter Notebook (155), Cython (146), TOML (63), reStructuredText (52), DOS Batch (26), Dockerfile (18), make (15)"
lag-llama,2893,Small,"Python (2723), Bourne Shell (74), Markdown (51), TOML (22), JSON (15), Text (8)"
Otter,27779,Medium,"Python (23962), JSON (2192), Markdown (852), Bourne Shell (314), YAML (261), Jupyter Notebook (153), Text (37), TOML (5), INI (3)"
Clay-foundation-model,7390,Small,"Python (2602), Jupyter Notebook (2391), Markdown (1622), YAML (729), Bourne Shell (28), TOML (18)"
whisper,14135,Medium,"SVG (8205), Python (3158), JSON (2063), Markdown (270), Jupyter Notebook (233), YAML (152), TOML (47), Text (7)"
microsoft-industrial-foundation-models,75658,Medium,"JSON (71433), Python (3936), Markdown (148), Bourne Shell (141)"
microsoft-BioGPT,805045,Large,"JSON (337886), XML (316174), Text (148276), Python (1955), Bourne Shell (383), Markdown (318), YAML (31), DTD (22)"
RadFM,64542,Medium,"JSON (29263), Text (28921), Python (6176), Markdown (137), CSV (45)"
roberta_zh,23670,Medium,"Text (21128), Python (2335), Markdown (199), Bourne Shell (8)"
ChatGlm-6B,5119,Small,"Python (3818), Markdown (967), JSON (121), Bourne Shell (115), YAML (90), Text (8)"
R1-Omni,30364,Medium,"JSON (21718), Python (7838), Bourne Shell (387), Markdown (239), YAML (100), Jupyter Notebook (82)"
OpenVoice,3185,Small,"Python (2887), Jupyter Notebook (151), Markdown (131), Text (16)"
seamless_communication,86417,Medium,"C (28900), Python (24701), C/C++ Header (7197), C++ (6580), CUDA (5308), JavaScript (3176), Metal (1747), Markdown (1648), YAML (1423), SVG (1087), Objective-C (978), CMake (895), Jupyter Notebook (728), HTML (723), Zig (682), CSS (350), Bourne Shell (194), make (40), TOML (33), Text (27)"
timesfm,5743,Small,"Python (4597), Jupyter Notebook (698), Markdown (330), TOML (65), Bourne Shell (27), YAML (26)"
TabPFN,13800,Medium,"Python (12523), Jupyter Notebook (373), TOML (290), Markdown (280), YAML (263), JSON (71)"
efficientvit,16613,Medium,"Python (15148), Markdown (940), Bourne Shell (245), YAML (231), Text (36), TOML (13)"
ace-step,28501,Medium,"JSON (18014), Python (9883), Markdown (384), Text (83), Jupyter Notebook (70), Dockerfile (36), YAML (31)"
ClimaX,4659,Small,"Python (2902), YAML (1201), Markdown (255), HTML (232), Dockerfile (34), TOML (24), SVG (6), CSS (5)"
InternImage,98211,Medium,"Python (55945), JSON (34885), CUDA (2434), Markdown (2398), Text (1013), YAML (554), Bourne Shell (381), C++ (276), C/C++ Header (219), Jupyter Notebook (106)"
evo,3101,Small,"Python (2352), Markdown (236), YAML (199), Jupyter Notebook (156), JSON (116), CSV (38), Text (4)"
UNI,1746,Small,"Python (900), Markdown (592), Jupyter Notebook (254)"
microsoft-aurora,6736,Small,"Python (4374), Jupyter Notebook (1058), Markdown (958), YAML (197), TOML (99), reStructuredText (19), Text (18), make (10), HTML (3)"
helicalAI-helical,17877,Medium,"Python (14605), Markdown (1615), Jupyter Notebook (786), YAML (578), CSS (153), TOML (59), Dockerfile (37), Windows Module Definition (14), TeX (10), Text (8), CSV (5), JSON (5), Bourne Shell (2)"
bowang-lab-BioReason,8975,Small,"Jupyter Notebook (4467), Python (3961), Bourne Shell (273), Markdown (132), JSON (78), TOML (51), Text (13)"
NVlabs-MambaVision,31163,Medium,"Python (27720), YAML (2119), Markdown (1027), Bourne Shell (282), Text (8), Dockerfile (4), JSON (3)"
