Repo,URL,Last Push,Active in Past Year,Includes Source Code,Includes Training Code,HF Weights Available
google-research/text-to-text-transfer-transformer,https://github.com/google-research/text-to-text-transfer-transformer,2025-04-28T17:33:03Z,Yes,Yes,Yes,No
EleutherAI/gpt-neox,https://github.com/EleutherAI/gpt-neox,2025-06-21T06:55:38Z,Yes,Yes,Yes,Yes
QwenLM/Qwen,https://github.com/QwenLM/Qwen,2025-06-16T08:59:28Z,Yes,Yes,Yes,Yes
BlinkDL/RWKV-LM,https://github.com/BlinkDL/RWKV-LM,2025-06-17T12:02:32Z,Yes,Yes,Yes,No
openai/CLIP,https://github.com/openai/CLIP,2024-07-23T01:30:44Z,Yes,Yes,No,Yes
yandex/YaLM-100B,https://github.com/yandex/YaLM-100B,2023-07-10T00:54:27Z,No,Yes,Yes,No
databricks/dbrx,https://github.com/databricks/dbrx,2024-05-01T21:06:57Z,No,Yes,No,Yes
01-ai/Yi,https://github.com/01-ai/Yi,2024-11-27T09:25:57Z,Yes,Yes,Yes,Yes
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,2025-06-16T06:50:08Z,Yes,Yes,No,Yes
deepseek-ai/Janus,https://github.com/deepseek-ai/Janus,2025-02-01T07:58:29Z,Yes,Yes,Yes,No
multimodal-art-projection/YuE,https://github.com/multimodal-art-projection/YuE,2025-06-04T13:08:48Z,Yes,Yes,Yes,No
amazon-science/chronos-forecasting,https://github.com/amazon-science/chronos-forecasting,2025-05-28T12:15:13Z,Yes,Yes,Yes,No
OpenGVLab/InternVideo,https://github.com/OpenGVLab/InternVideo,2025-06-16T08:13:55Z,Yes,Yes,Yes,Yes
time-series-foundation-models/lag-llama,https://github.com/time-series-foundation-models/lag-llama,2025-06-06T12:23:52Z,Yes,Yes,Yes,No
EvolvingLMMs-Lab/Otter,https://github.com/EvolvingLMMs-Lab/Otter,2024-03-05T15:56:06Z,No,Yes,Yes,No
Clay-foundation/model,https://github.com/Clay-foundation/model,2025-05-26T08:37:12Z,Yes,Yes,Yes,No
openai/whisper,https://github.com/openai/whisper,2025-05-13T18:22:39Z,Yes,Yes,No,Yes
microsoft/Industrial-Foundation-Models,https://github.com/microsoft/Industrial-Foundation-Models,2024-08-19T09:53:23Z,Yes,Yes,Yes,No
microsoft/BioGPT,https://github.com/microsoft/BioGPT,2024-07-25T10:33:53Z,Yes,Yes,No,Yes
chaoyi-wu/RadFM,https://github.com/chaoyi-wu/RadFM,2025-06-12T07:44:27Z,Yes,Yes,Yes,No
brightmart/roberta_zh,https://github.com/brightmart/roberta_zh,2024-07-22T15:02:06Z,Yes,Yes,Yes,No
PaddlePaddle/ERNIE,https://github.com/PaddlePaddle/ERNIE,2024-08-31T00:09:47Z,Yes,Yes,Yes,Yes
THUDM/ChatGLM-6B,https://github.com/THUDM/ChatGLM-6B,2024-06-27T04:05:25Z,Yes,Yes,Yes,Yes
HumanMLLM/R1-Omni,https://github.com/HumanMLLM/R1-Omni,2025-03-24T03:54:33Z,Yes,Yes,Yes,No
myshell-ai/OpenVoice,https://github.com/myshell-ai/OpenVoice,2025-04-19T16:00:00Z,Yes,Yes,No,No
facebookresearch/seamless_communication,https://github.com/facebookresearch/seamless_communication,2024-11-14T09:32:01Z,Yes,Yes,Yes,No
