Project,Repo URL,Created At,First CI Run Date,Time to First CI (months),Active Period (months),Total PRs,Total Issues,Contributors,Workflows Used,Workflow Runs (Success),Workflow Runs (Failure)
t5,https://github.com/google-research/text-to-text-transfer-transformer,2019-10-17T21:45:14Z,2024-05-13,55,68,592,997,61,Yes,70,21
EleutherAI-gpt-neox,https://github.com/EleutherAI/gpt-neox,2020-12-22T14:37:54Z,2024-05-10,41,54,834,1292,134,Yes,1,1007
Qwen,https://github.com/QwenLM/Qwen,2023-08-03T04:56:38Z,2024-05-09,9,23,146,1260,33,Yes,410,1
RWKV-LM,https://github.com/BlinkDL/RWKV-LM,2021-08-08T06:05:27Z,,,46,45,295,5,No,0,0
OpenAI-CLIP,https://github.com/openai/CLIP,2020-12-16T11:24:42Z,2024-06-03,42,54,69,497,21,Yes,3,1
Yalm,https://github.com/yandex/YaLM-100B,2022-06-22T16:24:16Z,,,36,6,34,3,No,0,0
Dbrx,https://github.com/databricks/dbrx,2024-03-26T20:21:43Z,,,15,10,34,6,No,0,0
Yi,https://github.com/01-ai/Yi,2023-11-03T16:08:37Z,2024-05-13,6,20,269,561,50,Yes,249,17
Deepseek-V3,https://github.com/deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,2025-02-08,1,6,161,719,25,Yes,136,0
Deepseek-Janus,https://github.com/deepseek-ai/Janus,2024-10-18T03:48:16Z,,,8,33,213,10,No,0,0
YuE,https://github.com/multimodal-art-projection/YuE,2025-01-23T06:21:58Z,,,5,9,125,9,No,0,0
ChronosForecasting,https://github.com/amazon-science/chronos-forecasting,2024-02-23T10:35:42Z,2024-05-09,2,16,97,195,12,Yes,687,40
InternVideo,https://github.com/OpenGVLab/InternVideo,2022-11-23T12:57:00Z,,,31,24,291,24,No,0,0
lag-llama,https://github.com/time-series-foundation-models/lag-llama,2024-02-07T10:35:52Z,,,16,11,129,6,No,0,0
Otter,https://github.com/EvolvingLMMs-Lab/Otter,2023-04-01T12:31:49Z,,,27,181,345,11,No,0,0
Clay-foundation-model,https://github.com/Clay-foundation/model,2023-09-29T12:08:10Z,2024-05-09,7,21,166,300,20,Yes,342,4
whisper,https://github.com/openai/whisper,2022-09-16T20:02:54Z,2024-08-19,23,33,304,303,74,Yes,76,17
microsoft-industrial-foundation-models,https://github.com/microsoft/Industrial-Foundation-Models,2024-03-22T02:53:12Z,,,15,3,11,3,No,0,0
microsoft-BioGPT,https://github.com/microsoft/BioGPT,2022-08-15T05:55:55Z,2024-05-13,21,34,24,117,8,Yes,62,0
RadFM,https://github.com/chaoyi-wu/RadFM,2023-08-02T11:00:02Z,,,23,0,42,2,No,0,0
roberta_zh,https://github.com/brightmart/roberta_zh,2019-09-02T17:11:57Z,,,70,5,100,2,No,0,0
ChatGlm-6B,https://github.com/THUDM/ChatGLM-6B,2023-03-13T12:00:18Z,,,27,121,1427,49,No,0,0
R1-Omni,https://github.com/HumanMLLM/R1-Omni,2025-03-09T08:53:53Z,,,3,4,38,1,No,0,0
OpenVoice,https://github.com/myshell-ai/OpenVoice,2023-11-29T12:17:01Z,,,19,58,364,13,No,0,0
seamless_communication,https://github.com/facebookresearch/seamless_communication,2023-08-01T20:36:21Z,2024-06-01,10,23,131,516,37,Yes,1,1
timesfm,https://github.com/google-research/timesfm,2024-04-29T21:26:26Z,2024-07-12,2,14,91,265,16,Yes,37,93
TabPFN,https://github.com/PriorLabs/TabPFN,2022-07-01T11:54:47Z,2025-01-16,31,36,106,327,24,Yes,154,136
efficientvit,https://github.com/mit-han-lab/efficientvit,2023-04-05T23:30:46Z,,,27,14,180,14,No,0,0
ace-step,https://github.com/ace-step/ACE-Step,2025-04-28T07:03:09Z,,,2,95,257,23,No,0,0
ClimaX,https://github.com/microsoft/ClimaX,2022-12-08T17:43:46Z,,,30,10,47,6,No,0,0
InternImage,https://github.com/OpenGVLab/InternImage,2022-11-10T09:24:57Z,,,31,49,322,14,No,0,0
evo,https://github.com/evo-design/evo,2024-02-17T19:11:33Z,,,16,31,104,8,No,0,0
UNI,https://github.com/mahmoodlab/UNI,2024-02-02T06:49:11Z,,,17,6,66,5,No,0,0
microsoft-aurora,https://github.com/microsoft/aurora,2024-07-15T14:23:39Z,2024-07-24,0,11,56,115,12,Yes,1466,127
helicalAI-helical,https://github.com/helicalAI/helical,2024-04-27T09:46:06Z,2024-05-17,1,14,225,239,10,Yes,889,225
bowang-lab-BioReason,https://github.com/bowang-lab/BioReason,2025-06-01T22:07:20Z,2025-06-01,0,1,2,12,3,Yes,4,0
NVlabs-MambaVision,https://github.com/NVlabs/MambaVision,2024-06-10T17:46:08Z,,,12,18,96,2,No,0,0
