project,total_commits,large_commits,percent_large_commits
t5,2,0,0.0
Qwen,10,0,0.0
Qwen3,45,8,17.78
RWKV-LM,61,2,3.28
gpt-neox,79,14,17.72
OpenAI-CLIP,1,0,0.0
Yalm,1,0,0.0
Dbrx,9,1,11.11
Yi,219,13,5.94
Deepseek-V3,68,2,2.94
Deepseek-Janus,21,5,23.81
YuE,153,16,10.46
ChronosForecasting,24,1,4.17
InternVideo,25,0,0.0
lag-llama,7,0,0.0
Otter,595,47,7.9
Clay-foundation-model,20,4,20.0
whisper,10,0,0.0
microsoft-industrial-foundation-models,10,1,10.0
microsoft-BioGPT,3,0,0.0
RadFM,15,1,6.67
roberta_zh,2,0,0.0
Ernie,1,0,0.0
ChatGlm-6B,3,0,0.0
R1-Omni,24,2,8.33
Hibiki,33,3,9.09
