project,commit_hash,author,date,message
t5,e081111ccd,Hana Joo,2025-04-29,"No public description

PiperOrigin-RevId: 752360861"
t5,2c2c0d52f0,Yang Chen,2025-02-28,"Migrate `tf.data.experimental.RandomDataset` to `tf.data.Dataset.random`.

PiperOrigin-RevId: 731853332"
Qwen,528817ac8e,Yang An,2025-06-16,Add files via upload
Qwen,1c282d421c,Yang An,2025-06-16,Delete assets/wechat.png
Qwen,df5866f1be,Yang An,2025-04-29,Add files via upload
Qwen,1ac436a15d,Yang An,2025-04-29,Delete assets/wechat.png
Qwen,ee455c98bf,Yang An,2025-03-28,Add files via upload
Qwen,698e35f0c1,Yang An,2025-03-28,Delete assets/wechat.png
Qwen3,83fbf07d6e,Bihan Rana,2025-06-13,"Add deployment doc with dstack (#1) (#1492)

* Add deployment doc with dstack

* Resolve Review Comments

* Update See also section

---------

Co-authored-by: Bihan  Rana <bihan@Bihans-MacBook-Pro.local>"
Qwen3,ac8c783d12,Ren Xuancheng,2025-06-13,"[doc] thinking_budget and other minor updates (#1495)

* [doc] thinking_budget and other minor updates

* [doc] format training related"
Qwen3,0eea76c126,Jianhong Tu,2025-06-09,"update function calling doc (#1488)

* update qwen-agent doc for qwen3

* update qwen-agent doc

* fix parameter

* update qwen-agent doc

* split config example

* update function calling doc"
Qwen3,8b3807a089,THU-LIJX,2025-06-05,docs: Add thinking budget example
Qwen3,7302765080,NanoCode012,2025-05-29,"[axolotl] feat(doc): add qwen3 training doc with axolotl (#1428)

* feat: add qwen3 training doc with axolotl

* feat: add axolotl rst to tree

* fix: qwen3 model name"
Qwen3,52fa975d80,Ren Xuancheng,2025-05-29,[doc] update on yarn and fp8
Qwen3,2a23ce01c8,Bo Li,2025-05-22,Update README.md for TensorRT-LLM. (#1432)
Qwen3,c7f51a1a1c,Ren Xuancheng,2025-05-20,update doc
Qwen3,ac7272455d,Ren Xuancheng,2025-05-16,[doc] update speed benchmark
Qwen3,728493158d,Ren Xuancheng,2025-05-14,Update Qwen3_Technical_Report.pdf
Qwen3,72e3c9fe33,Ren Xuancheng,2025-05-14,Update README.md
Qwen3,c3132b7711,Jack,2025-05-14,Add ExecuTorch example to readme (#1397)
Qwen3,8dd7dfd880,Ren Xuancheng,2025-05-14,Add Qwen3 Technical Report
Qwen3,714df5bce8,Ren Xuancheng,2025-05-09,Update README.md
Qwen3,1d87faccb5,renxuancheng.rxc,2025-05-07,update docs
Qwen3,0263b5c84e,Jianhong Tu,2025-05-07,"update qwen-agent doc (#1375)

* update qwen-agent doc for qwen3

* update qwen-agent doc

* fix parameter

* update qwen-agent doc

* split config example"
Qwen3,91ff7a4281,BearBiscuit,2025-05-07,"[verl] add verl support for Qwen3 (#1362)

* update for verl

* update

* add verl info in qwen3 doc

* add more info about resource"
Qwen3,8925421aba,donghee choi,2025-05-06,"Update transformers.md (#1353)

{""generated_text""} is not working; changed into [""generated_text""]"
Qwen3,d0a53038f2,Jintao,2025-05-06,"[docs] Update ms-swift docs to support Qwen3 (#1358)

* Update ms-swift documentation to support Qwen3

* update docs

* fix grpo"
Qwen3,644d4c1765,Jianhong Tu,2025-05-06,"update qwen-agent doc for qwen3 (#1351)

* update qwen-agent doc for qwen3

* update qwen-agent doc

* fix parameter"
Qwen3,2af51e0e5c,Ren Xuancheng,2025-04-30,Update README.md
Qwen3,8e4e4f5a94,Ren Xuancheng,2025-04-29,Update README.md
Qwen3,2b4515c1c7,Ren Xuancheng,2025-04-29,Update vllm.md
Qwen3,9a7f8e7524,Ren Xuancheng,2025-04-29,Update README.md
Qwen3,2b567c638f,Ren Xuancheng,2025-04-29,"Update qwen3 (#1308)

* update qwen3

* update issue template

---------

Co-authored-by: renxuancheng.rxc <renxuancheng.rxc@alibaba-inc.com>"
Qwen3,320861c7c7,jojomanar,2025-04-29,"Update quickstart.po, remove invalid '>' (#1284)"
Qwen3,a7048e574d,Kaiyu Shi,2025-04-29,Fix vLLM enable-reasoning argument (#1292)
Qwen3,e5cde02890,Ren Xuancheng,2025-04-29,Update README.md
Qwen3,4a65ffa4f3,Ren Xuancheng,2025-04-29,Update README.md
Qwen3,7091d4aae2,renxuancheng.rxc,2025-04-29,add modelers
Qwen3,c5d7280d48,renxuancheng.rxc,2025-04-29,update
Qwen3,a905f63066,renxuancheng.rxc,2025-04-29,update mlx-lm
Qwen3,f4d356cb55,renxuancheng.rxc,2025-04-29,add qwen3
Qwen3,2abc0f3243,jinghanhu,2025-04-22,"Doc: add ms-swift doc (#1266)

* init

* polish'

* zh init

* update

* fix

* fix

* polish

* polish

* rm

* polish

* done

* fix

* memory

---------

Co-authored-by: hjh <hjh@U-413PHRX2-2043.local>"
RWKV-LM,49cfc1e5dd,PENG Bo,2025-06-18,Update README.md
RWKV-LM,247ce631e3,PENG Bo,2025-06-11,Update README.md
RWKV-LM,ad3a763020,PENG Bo,2025-06-11,Create README.md
RWKV-LM,c718c5dd2a,PENG Bo,2025-06-06,Update README.md
RWKV-LM,8ca1efff00,Bo,2025-05-26,v8 rc00
RWKV-LM,a08ab8e5da,PENG Bo,2025-05-23,Update README.md
RWKV-LM,8fb8a703b4,PENG Bo,2025-05-23,Update README.md
RWKV-LM,b9b5e645b9,Bo,2025-05-22,.
RWKV-LM,768ba99261,PENG Bo,2025-05-17,Update README.md
RWKV-LM,150be29143,Bo,2025-05-17,.
RWKV-LM,7c583e96a2,PENG Bo,2025-05-14,Delete RWKV-v7/train_temp/demo.jsonl
RWKV-LM,c7aedaa943,PENG Bo,2025-05-14,Delete RWKV-v7/train_temp/make_data.py
RWKV-LM,6bf7ac334f,PENG Bo,2025-05-08,Update README.md
RWKV-LM,b3b4d056d0,Bo,2025-05-07,better rwkv7 init
RWKV-LM,f42cff34e2,PENG Bo,2025-04-30,Update README.md
RWKV-LM,63bc8d0f9a,PENG Bo,2025-04-30,Update README.md
RWKV-LM,1bd0951f34,PENG Bo,2025-04-30,Update README.md
RWKV-LM,58d7405763,PENG Bo,2025-04-30,Update README.md
RWKV-LM,38d86384ce,PENG Bo,2025-04-23,Update README.md
RWKV-LM,4091ba141b,PENG Bo,2025-04-23,Update README.md
RWKV-LM,59ed0d2b32,PENG Bo,2025-04-23,Update README.md
