name,SLOC,Category,Languages
bitshifter/glam-rs,177377,Large,Rust (177377)
meilisearch/meilisearch,171385,Large,Rust (171385)
RustCrypto/elliptic-curves,161078,Large,Rust (161078)
oxidecomputer/progenitor,148383,Large,Rust (148383)
webrtc-rs/webrtc,115730,Large,Rust (115730)
mattsse/chromiumoxide,112194,Large,Rust (112194)
zaeleus/noodles,89512,Medium,Rust (89512)
tokio-rs/tokio,87138,Medium,Rust (87138)
ruma/ruma,81976,Medium,Rust (81976)
twilight-rs/twilight,80502,Medium,Rust (80502)
warycat/rustgym,76894,Medium,Rust (76894)
linkerd/linkerd2-proxy,74869,Medium,Rust (74869)
fltk-rs/fltk-rs,66571,Medium,Rust (66571)
alloy-rs/alloy,64452,Medium,Rust (64452)
zhiburt/tabled,63763,Medium,Rust (63763)
wooorm/markdown-rs,61337,Medium,Rust (61337)
rhaiscript/rhai,53575,Medium,Rust (53575)
chipsenkbeil/distant,52726,Medium,Rust (52726)
servo/ipc-channel,50206,Medium,Rust (50206)
grovesNL/glow,49015,Medium,Rust (49015)
gimli-rs/object,48559,Medium,Rust (48559)
lapce/floem,47932,Medium,Rust (47932)
Plonky3/Plonky3,43810,Medium,Rust (43810)
dimforge/parry,43202,Medium,Rust (43202)
gimli-rs/gimli,41697,Medium,Rust (41697)
cloudflare/pingora,41130,Medium,Rust (41130)
akula-bft/akula,41107,Medium,Rust (41107)
dimforge/rapier,40452,Medium,Rust (40452)
facebookexperimental/MIRAI,39458,Medium,Rust (39458)
pop-os/libcosmic,37495,Medium,Rust (37495)
zcash/halo2,36572,Medium,Rust (36572)
ProvableHQ/leo,36238,Medium,Rust (36238)
juhaku/utoipa,35374,Medium,Rust (35374)
KipData/KiteSQL,35118,Medium,Rust (35118)
bluealloy/revm,34543,Medium,Rust (34543)
youki-dev/youki,34354,Medium,Rust (34354)
tafia/quick-xml,34165,Medium,Rust (34165)
time-rs/time,34096,Medium,Rust (34096)
nats-io/nats.rs,32252,Medium,Rust (32252)
serde-rs/serde,31581,Medium,Rust (31581)
TheAlgorithms/Rust,31528,Medium,Rust (31528)
Jondolf/avian,31487,Medium,Rust (31487)
latex-lsp/texlab,31417,Medium,Rust (31417)
quinn-rs/quinn,30795,Medium,Rust (30795)
rust-ndarray/ndarray,30234,Medium,Rust (30234)
rust-lang/futures-rs,29870,Medium,Rust (29870)
n0-computer/iroh,29822,Medium,Rust (29822)
JelteF/derive_more,29386,Medium,Rust (29386)
SeaQL/sea-query,29370,Medium,Rust (29370)
barter-rs/barter-rs,29183,Medium,Rust (29183)
TimelyDataflow/differential-dataflow,29183,Medium,Rust (29183)
image-rs/image,28033,Medium,Rust (28033)
rayon-rs/rayon,28032,Medium,Rust (28032)
rust-lang/rls,27521,Medium,Rust (27521)
tauri-apps/tao,27124,Medium,Rust (27124)
jonasbb/serde_with,26760,Medium,Rust (26760)
pendulum-project/ntpd-rs,26628,Medium,Rust (26628)
oxidecomputer/typify,26408,Medium,Rust (26408)
XAMPPRocky/octocrab,26110,Medium,Rust (26110)
rkyv/rkyv,25736,Medium,Rust (25736)
Nazariglez/notan,25452,Medium,Rust (25452)
smartcorelib/smartcore,25414,Medium,Rust (25414)
avhz/RustQuant,24740,Medium,Rust (24740)
Axect/Peroxide,24470,Medium,Rust (24470)
kube-rs/kube,23925,Medium,Rust (23925)
ron-rs/ron,23493,Medium,Rust (23493)
moka-rs/moka,23485,Medium,Rust (23485)
SamiPerttu/fundsp,23292,Medium,Rust (23292)
redox-os/orbtk,23104,Medium,Rust (23104)
dfrg/swash,22774,Medium,Rust (22774)
microsoft/Nova,22700,Medium,Rust (22700)
TheDan64/inkwell,22291,Medium,Rust (22291)
bytedance/monoio,21934,Medium,Rust (21934)
chenxiaolong/avbroot,21894,Medium,Rust (21894)
J-F-Liu/lopdf,21841,Medium,Rust (21841)
jpochyla/psst,21562,Medium,Rust (21562)
avr-rust/ruduino,20601,Medium,Rust (20601)
ferrilab/bitvec,20274,Medium,Rust (20274)
chronotope/chrono,20197,Medium,Rust (20197)
paritytech/jsonrpsee,19787,Medium,Rust (19787)
servo/core-foundation-rs,19723,Medium,Rust (19723)
sfackler/rust-postgres,19397,Medium,Rust (19397)
esp-rs/esp-idf-hal,19293,Medium,Rust (19293)
alexykn/sps,18897,Medium,Rust (18897)
statrs-dev/statrs,18800,Medium,Rust (18800)
Eugeny/russh,18390,Medium,Rust (18390)
plotters-rs/plotters,18280,Medium,Rust (18280)
dropbox/pb-jelly,18206,Medium,Rust (18206)
tokio-rs/io-uring,17867,Medium,Rust (17867)
obi1kenobi/cargo-semver-checks,17858,Medium,Rust (17858)
greshake/i3status-rust,17812,Medium,Rust (17812)
bitcoindevkit/bdk,17793,Medium,Rust (17793)
rust-bakery/nom,17650,Medium,Rust (17650)
vnt-dev/vnt,17538,Medium,Rust (17538)
foyer-rs/foyer,17515,Medium,Rust (17515)
microsoft/edit,17402,Medium,Rust (17402)
fdehau/tui-rs,17402,Medium,Rust (17402)
diwic/dbus-rs,17401,Medium,Rust (17401)
RustCrypto/hashes,17369,Medium,Rust (17369)
kawasin73/prsqlite,17086,Medium,Rust (17086)
image-rs/imageproc,16891,Medium,Rust (16891)
tikv/raft-rs,16878,Medium,Rust (16878)
hyperium/h3,16743,Medium,Rust (16743)
serde-rs/json,16434,Medium,Rust (16434)
cksac/fake-rs,16326,Medium,Rust (16326)
racer-rust/racer,16225,Medium,Rust (16225)
microsoft/windows-drivers-rs,16176,Medium,Rust (16176)
iliekturtles/uom,16147,Medium,Rust (16147)
nushell/reedline,15710,Medium,Rust (15710)
Xudong-Huang/may,15497,Medium,Rust (15497)
async-rs/async-std,15497,Medium,Rust (15497)
general-works/Glint,15466,Medium,Rust (15466)
jam1garner/binrw,15461,Medium,Rust (15461)
RoaringBitmap/roaring-rs,15410,Medium,Rust (15410)
rust-itertools/itertools,15392,Medium,Rust (15392)
Fullstop000/wickdb,15307,Medium,Rust (15307)
ryanmcgrath/cacao,14953,Medium,Rust (14953)
sharksforarms/deku,14913,Medium,Rust (14913)
RustCrypto/AEADs,14838,Medium,Rust (14838)
RustCrypto/block-ciphers,14830,Medium,Rust (14830)
