name,Runs Analyzed,Broken >2 Days,Broken >4 Days,Max Broken Days
select.rs,8,0,0,0
zino,480,0,0,1
cornucopia,0,,,
cicada,38,0,0,0
tuono,500,2,0,3
ipc-channel,240,1,0,3
btleplug,60,2,2,24
bevy_game_template,75,3,3,23
portable-simd,150,2,1,19
nox,500,0,0,0
eframe_template,162,1,1,22
riscv,500,0,0,0
lorri,0,,,
rutie,5,1,1,186
lodestone,13,1,1,9
lingua-rs,500,0,0,0
kati,76,0,0,2
confy,158,0,0,0
tetra,15,0,0,0
voicevox_core,500,0,0,0
onetun,172,4,4,14
hydro,500,0,0,0
alloy,500,0,0,1
printpdf,249,6,4,60
tmux-thumbs,0,,,
pathfinding,500,4,4,10
avml,500,1,0,3
bdk,500,0,0,0
argc,58,0,0,0
swift-bridge,108,2,2,90
snow,276,0,0,2
bstr,452,4,3,35
realworld-axum-sqlx,0,,,
color-eyre,3,1,1,390
fundsp,54,2,1,238
pulsar,500,2,2,21
customasm,95,3,2,55
lemurs,47,2,2,152
kunai,500,2,1,20
pwninit,1,0,0,0
trow,178,8,4,12
rust-zmq,14,1,1,84
tachyonfx,500,2,1,7
ClojureRS,0,,,
serie,223,1,0,4
env_logger,363,0,0,2
glaredb,500,0,0,0
cargo-mutants,500,3,1,6
rustypaste,500,0,0,1
kira,228,3,3,14
kas,241,1,0,3
autopy,42,1,1,6
chromiumoxide,39,2,2,70
aliyundrive-fuse,0,,,
tun2proxy,500,0,0,2
telegram-bot,0,,,
neolink,500,1,1,340
sentry-cli,500,0,0,1
madsim,69,2,2,90
kameo,500,2,1,13
gxhash,283,1,0,3
book,181,0,0,0
cv,6,0,0,0
envy,186,0,0,2
nsh,0,,,
paperclip,500,0,0,0
mooneye-gb,0,,,
duct.rs,41,0,0,0
rustrogueliketutorial,0,,,
book-cn,14,1,0,4
volt,0,,,
macmon,41,2,2,81
cargo-cache,410,1,1,409
cn-font-split,500,2,0,4
ratzilla,393,1,1,5
Glint,4,1,1,18
steam-tui,4,1,1,145
ntpd-rs,500,0,0,2
hwatch,27,0,0,0
gimli,110,0,0,2
websurfx,500,0,0,0
rustgym,15,0,0,0
fas-rs,500,2,0,3
notan,461,0,0,0
rinha-de-compiler,0,,,
backon,500,0,0,1
anyrun,500,11,10,97
rpgp,500,3,1,5
heim,412,1,0,4
Dorion,500,9,7,34
minirust,497,7,4,7
cyme,346,4,2,8
submillisecond,0,,,
cortex-m,500,1,1,8
trybuild,500,0,0,2
testcontainers-rs,388,16,11,14
cocogitto,217,11,9,27
nexus-cli,500,0,0,2
zine,0,,,
bupstash,0,,,
tremor-runtime,500,0,0,0
router,500,0,0,0
boxer,12,1,1,265
sailfish,61,4,4,137
mayastor,500,0,0,1
NimPlant,8,0,0,0
amber,453,0,0,1
xitca-web,500,2,2,26
iamb,316,2,2,41
wagi,0,,,
whisper-rs,113,2,2,57
datenlord,500,0,0,0
cudarc,500,1,1,14
rustfinity,230,0,0,1
catfs,0,,,
govee2mqtt,500,0,0,0
seam,59,0,0,0
OpenVehicleDiag,33,1,1,28
memflow,58,4,4,181
magic-wormhole.rs,500,1,1,61
motorhead,36,11,11,139
mailcrab,49,1,1,53
clog-cli,33,0,0,0
headcrab,0,,,
cargo-wizard,6,0,0,0
szyszka,236,1,1,200
ironbar,500,0,0,0
ollama-rs,385,4,4,7
doh-server,297,0,0,0
open-xiaoai,12,0,0,0
rust-ctor,109,2,2,71
rune,233,10,4,121
fern,36,1,1,180
eva,415,0,0,1
nanocl,500,2,1,6
pls,116,7,7,98
scooter,500,0,0,1
goose,466,1,1,28
sail,500,0,0,0
bytemuck,163,2,1,18
fastrace,500,1,1,7
rust-yew-realworld-example-app,0,,,
async-channel,95,4,4,56
SwayOSD,100,6,5,21
gurk-rs,332,1,1,13
fend,202,1,1,7
toml,500,1,1,15
core,500,9,3,14
libbpf-rs,500,0,0,0
jwt-hack,177,2,2,13
cairo-contracts,500,0,0,2
x86_64,500,26,20,19
filprofiler,46,1,1,103
miniserde,448,1,1,5
cookcli,34,0,0,0
y-sweet,500,0,0,0
mustang,29,0,0,0
bb8,239,3,0,3
ntsc-rs,176,1,1,21
snark,78,5,5,120
thorium,34,1,1,72
rvemu,0,,,
dezoomify-rs,83,5,5,75
llama-node,0,,,
cargo-mommy,127,2,2,226
Leafish,3,2,2,396
dhat-rs,1,1,1,183
shellfirm,27,0,0,0
ula,9,0,0,0
imageproc,500,0,0,2
apalis,500,2,1,6
awesome-rust,36,0,0,0
rust-brotli,201,0,0,0
window-switcher,66,0,0,0
bluetui,66,1,1,10
envio,19,0,0,0
winterfell,298,7,7,30
biodiff,8,0,0,0
agatedb,0,,,
flowgger,6,0,0,2
noita_entangled_worlds,500,0,0,0
lantern,500,2,1,14
lakekeeper,500,0,0,0
openapi-tui,17,2,2,67
terminator,500,0,0,2
ripsecrets,59,9,7,131
laminar,0,,,
num-traits,78,1,1,191
femtovg,213,0,0,2
axum-login,339,1,1,48
rbw,104,5,4,75
cargo-sweep,32,0,0,0
rdedup,410,3,0,4
synapse,0,,,
proc-macro2,500,1,1,6
rustfix,0,,,
kurbo,500,5,3,21
eyra,40,0,0,1
cases,337,0,0,2
libimagequant,25,0,0,1
yara-x,500,0,0,0
pods,500,0,0,0
rustybox,0,,,
starlark-rust,343,2,1,38
cargo-show-asm,308,3,2,7
stack-graphs,184,8,6,6
srgn,500,1,0,3
actix-extras,500,4,3,7
rust_serialization_benchmark,99,1,1,36
rusty-sando,0,,,
shuttle,256,5,1,5
Good-MITM,0,,,
hyperion,500,2,1,5
azure-sdk-for-rust,500,0,0,0
jieba-rs,115,0,0,0
bevy_mod_picking,28,1,1,383
golem,500,0,0,0
rusty-celery,4,1,1,246
leafwing-input-manager,419,8,3,6
ImHex-Patterns,500,2,0,4
edge-runtime,500,2,0,4
bootimage,415,7,7,144
ngx-rust,500,0,0,2
rust-av,69,0,0,1
moxie,0,,,
datafrog,2,0,0,0
xcp,65,0,0,2
ch57x-keyboard-tool,5,0,0,0
AEADs,500,0,0,0
jmcomic-downloader,31,0,0,0
arrayvec,58,4,4,52
trane,464,1,1,112
eureka,0,,,
rust-cpp,3,1,1,276
plonky2,380,3,2,17
book,3,0,0,0
arrayfire-rust,0,,,
stratisd,500,0,0,1
reStream,2,1,1,161
cargo-ndk,146,2,1,5
luxtorpeda,233,9,7,7
roaring-rs,153,8,7,27
slab,85,2,2,63
cargo-lambda,500,0,0,0
autometrics-rs,25,3,3,305
copper-rs,500,4,1,5
codesnap.nvim,74,2,2,62
MirrorX,0,,,
bus,411,0,0,0
zkevm-circuits,0,,,
jolt,500,0,0,0
wluma,97,1,0,3
rust-sciter,0,,,
flux,11,0,0,0
orz,189,1,1,6
rendy,0,,,
halo2,142,1,1,34
tuc,120,1,0,4
directories-rs,1,0,0,0
arbitrary,68,4,3,17
fishnet,38,0,0,0
hl,500,0,0,0
smartcore,478,6,5,105
solana-playground,460,1,1,30
pxp,192,1,1,9
migrate-to-uv,500,1,1,9
arboard,97,3,3,60
lv_binding_rust,49,2,1,24
bite,3,0,0,0
shipyard,84,0,0,0
jsonrpc,0,,,
onetagger,33,1,1,36
fcp,0,,,
renet,93,7,6,99
nanoserde,85,2,1,15
cntr,500,0,0,0
lorri,94,2,2,187
nftables-nat-rust,45,0,0,0
matugen,242,8,6,37
pg_vectorize,500,2,2,25
rsmpeg,192,0,0,1
felix,64,0,0,0
koto,396,0,0,0
llm-ls,7,1,1,340
compio,500,2,1,10
rust-sloth,0,,,
gossip,96,0,0,1
rust_os,100,6,5,58
goxlr-utility,258,6,5,32
tunshell,0,,,
spring-rs,486,1,0,3
rust-esp32-std-demo,26,1,1,23
