name,Avg Duration (min),Max Duration (min),Long Builds >10min,Runs Counted
select.rs,1.45,2.3,0.0%,7
zino,3.53,8.22,0.0%,50
cornucopia,,,,0
cicada,4.71,14.83,18.6%,43
tuono,2.4,8.75,0.0%,50
ipc-channel,11.15,169.72,26.0%,50
btleplug,11.99,152.12,14.0%,50
bevy_game_template,14.8,37.08,50.0%,50
portable-simd,43.77,83.73,64.0%,50
nox,0.39,3.17,0.0%,50
eframe_template,7.98,236.78,2.0%,50
riscv,7.74,23.07,38.0%,50
lorri,,,,0
rutie,6.31,7.68,0.0%,5
lodestone,26.46,38.13,100.0%,5
lingua-rs,4.99,18.98,18.0%,50
kati,2.07,2.95,0.0%,50
confy,1.45,5.87,0.0%,50
tetra,1.61,2.85,0.0%,9
voicevox_core,4.54,15.18,6.0%,50
onetun,1.23,6.3,0.0%,50
hydro,5.65,29.25,20.0%,50
alloy,9.3,43.2,26.0%,50
printpdf,2.87,6.33,0.0%,50
tmux-thumbs,,,,0
pathfinding,1.69,3.88,0.0%,50
avml,4.61,12.27,28.0%,50
bdk,5.58,53.38,6.0%,50
argc,2.49,6.17,0.0%,48
swift-bridge,1.8,10.03,2.0%,50
snow,1.55,4.05,0.0%,50
bstr,2.83,5.08,0.0%,50
realworld-axum-sqlx,,,,0
color-eyre,,,,0
fundsp,8.08,193.77,2.4%,41
pulsar,12.19,43.33,50.0%,50
customasm,0.96,31.65,2.0%,50
lemurs,0.55,2.03,0.0%,37
kunai,1.92,20.47,6.0%,50
pwninit,,,,0
trow,5.04,12.18,6.0%,50
rust-zmq,3.65,5.23,0.0%,14
tachyonfx,1.31,2.6,0.0%,50
ClojureRS,,,,0
serie,6.07,157.2,6.0%,50
env_logger,1.54,6.42,0.0%,50
glaredb,14.83,41.85,54.0%,50
cargo-mutants,7.16,31.13,20.0%,50
rustypaste,17.63,93.33,18.0%,50
kira,0.75,1.58,0.0%,50
kas,8.2,9.57,0.0%,50
autopy,1.54,5.52,0.0%,41
chromiumoxide,3.95,4.67,0.0%,16
aliyundrive-fuse,,,,0
tun2proxy,1.35,5.62,0.0%,50
telegram-bot,,,,0
neolink,0.24,0.35,0.0%,50
sentry-cli,8.95,96.35,18.0%,50
madsim,10.38,81.6,17.0%,47
kameo,3.18,3.75,0.0%,50
gxhash,1.32,3.97,0.0%,50
book,0.96,2.88,0.0%,50
cv,89.73,178.18,50.0%,4
envy,0.89,5.8,0.0%,50
nsh,,,,0
paperclip,2.93,6.12,0.0%,50
mooneye-gb,,,,0
duct.rs,1.86,7.78,0.0%,40
rustrogueliketutorial,,,,0
book-cn,41.02,137.65,40.0%,10
volt,,,,0
macmon,1.23,13.68,2.4%,41
cargo-cache,1.6,1.7,0.0%,50
cn-font-split,2.04,11.25,2.0%,50
ratzilla,2.23,12.63,2.0%,50
Glint,1.23,1.37,0.0%,4
steam-tui,62.82,185.53,33.3%,3
ntpd-rs,3.6,8.0,0.0%,50
hwatch,6.01,16.03,4.0%,25
gimli,7.55,53.1,2.0%,50
websurfx,1.1,3.48,0.0%,50
rustgym,1.35,2.82,0.0%,15
fas-rs,4.67,8.75,0.0%,50
notan,0.29,5.2,0.0%,50
rinha-de-compiler,,,,0
backon,1.1,2.2,0.0%,50
anyrun,2.28,15.75,2.0%,50
rpgp,23.73,39.38,72.0%,50
heim,2.83,3.0,0.0%,50
Dorion,5.81,15.85,26.0%,50
minirust,1.83,2.52,0.0%,50
cyme,6.82,12.42,10.0%,50
submillisecond,,,,0
cortex-m,4.32,14.32,10.0%,50
trybuild,2.09,10.92,2.0%,50
testcontainers-rs,17.19,198.97,34.0%,50
cocogitto,6.16,61.05,8.0%,50
nexus-cli,7.61,135.0,14.0%,50
zine,,,,0
bupstash,,,,0
tremor-runtime,0.63,1.03,0.0%,50
router,0.2,0.27,0.0%,50
boxer,0.0,0.0,0.0%,12
sailfish,5.16,101.3,4.0%,50
mayastor,12.32,52.43,36.0%,50
NimPlant,4.22,5.12,0.0%,4
amber,1.25,10.47,2.0%,50
xitca-web,5.96,20.6,32.0%,50
iamb,8.47,19.52,24.0%,50
wagi,,,,0
whisper-rs,7.72,196.3,2.0%,50
datenlord,53.16,229.82,42.0%,50
cudarc,0.51,1.4,0.0%,50
rustfinity,9.93,237.2,10.0%,50
catfs,,,,0
govee2mqtt,0.61,5.98,0.0%,50
seam,2.67,3.27,0.0%,50
OpenVehicleDiag,0.29,0.92,0.0%,33
memflow,5.07,39.83,2.4%,41
magic-wormhole.rs,1.37,8.63,0.0%,50
motorhead,0.88,1.3,0.0%,33
mailcrab,3.43,6.27,0.0%,46
clog-cli,,,,0
headcrab,,,,0
cargo-wizard,4.07,6.35,0.0%,5
szyszka,15.0,77.78,36.0%,50
ironbar,3.19,9.63,0.0%,50
ollama-rs,4.85,125.38,2.0%,50
doh-server,0.19,3.68,0.0%,50
open-xiaoai,1.28,8.93,0.0%,12
rust-ctor,8.44,22.9,32.0%,50
rune,9.28,45.93,24.0%,50
fern,2.62,4.08,0.0%,36
eva,2.78,3.55,0.0%,50
nanocl,13.39,42.72,52.0%,50
pls,3.05,36.07,4.0%,50
scooter,2.04,7.22,0.0%,50
goose,0.75,9.5,0.0%,50
sail,3.35,64.93,16.0%,50
bytemuck,3.84,7.03,0.0%,50
fastrace,6.69,81.07,4.0%,50
rust-yew-realworld-example-app,,,,0
async-channel,3.57,8.52,0.0%,50
SwayOSD,0.47,0.63,0.0%,50
gurk-rs,9.17,16.47,70.0%,50
fend,6.24,8.55,0.0%,50
