name,repo,language,sloc
select.rs,utkarshkukreti/select.rs,Rust,1456
ipc-channel,servo/ipc-channel,Rust,50206
portable-simd,rust-lang/portable-simd,Rust,7692
confy,rust-cli/confy,Rust,480
onetun,aramperes/onetun,Rust,2226
pathfinding,evenfurther/pathfinding,Rust,8374
avml,microsoft/avml,Rust,1870
bdk,bitcoindevkit/bdk,Rust,17793
alloy,alloy-rs/alloy,Rust,64452
snow,mcginty/snow,Rust,5081
bstr,BurntSushi/bstr,Rust,6251
fundsp,SamiPerttu/fundsp,Rust,23292
rust-zmq,erickt/rust-zmq,Rust,4413
rustypaste,orhun/rustypaste,Rust,2808
serie,lusingander/serie,Rust,7456
cargo-mutants,sourcefrog/cargo-mutants,Rust,12755
kira,tesselode/kira,Rust,11948
telegram-bot,telegram-rs/telegram-bot,Rust,6670
chromiumoxide,mattsse/chromiumoxide,Rust,112194
kameo,tqwewe/kameo,Rust,12895
gxhash,ogxd/gxhash,Rust,1698
cv,rust-cv/cv,Rust,12076
duct.rs,oconnor663/duct.rs,Rust,1916
cargo-cache,matthiaskrgr/cargo-cache,Rust,9505
volt,suptejas/volt,Rust,14122
Glint,general-works/Glint,Rust,15466
ratzilla,orhun/ratzilla,Rust,5428
ntpd-rs,pendulum-project/ntpd-rs,Rust,26628
gimli,gimli-rs/gimli,Rust,41697
rinha-de-compiler,aripiprazole/rinha-de-compiler,Rust,442
notan,Nazariglez/notan,Rust,25452
backon,Xuanwo/backon,Rust,1864
rustgym,warycat/rustgym,Rust,76894
heim,heim-rs/heim,Rust,12337
submillisecond,lunatic-solutions/submillisecond,Rust,6651
trybuild,dtolnay/trybuild,Rust,3466
magic-wormhole.rs,magic-wormhole/magic-wormhole.rs,Rust,9155
cargo-wizard,Kobzol/cargo-wizard,Rust,3247
doh-server,DNSCrypt/doh-server,Rust,2336
rust-ctor,mmastrac/rust-ctor,Rust,1905
fern,daboross/fern,Rust,2744
bytemuck,Lokathor/bytemuck,Rust,5206
fastrace,fast/fastrace,Rust,6326
rust-yew-realworld-example-app,jetli/rust-yew-realworld-example-app,Rust,2422
async-channel,smol-rs/async-channel,Rust,1374
jwt-hack,hahwul/jwt-hack,Rust,4211
miniserde,dtolnay/miniserde,Rust,3224
bb8,djc/bb8,Rust,2167
cargo-mommy,Gankra/cargo-mommy,Rust,373
dhat-rs,nnethercote/dhat-rs,Rust,1454
imageproc,image-rs/imageproc,Rust,16891
awesome-rust,awesome-rust-com/awesome-rust,Rust,3
biodiff,8051Enthusiast/biodiff,Rust,11390
flowgger,awslabs/flowgger,Rust,7704
num-traits,rust-num/num-traits,Rust,4683
proc-macro2,dtolnay/proc-macro2,Rust,5185
rustfix,rust-lang/rustfix,Rust,865
kurbo,linebender/kurbo,Rust,12663
cargo-show-asm,pacak/cargo-show-asm,Rust,3612
actix-extras,actix/actix-extras,Rust,8912
bevy_mod_picking,aevyrie/bevy_mod_picking,Rust,5100
leafwing-input-manager,Leafwing-Studios/leafwing-input-manager,Rust,12850
jieba-rs,messense/jieba-rs,Rust,2416
bootimage,rust-osdev/bootimage,Rust,1316
rust-av,rust-av/rust-av,Rust,4682
datafrog,rust-lang/datafrog,Rust,1400
ch57x-keyboard-tool,kriomant/ch57x-keyboard-tool,Rust,1130
AEADs,RustCrypto/AEADs,Rust,14838
arrayvec,bluss/arrayvec,Rust,2222
cargo-ndk,bbqsrc/cargo-ndk,Rust,2023
slab,tokio-rs/slab,Rust,1445
roaring-rs,RoaringBitmap/roaring-rs,Rust,15410
autometrics-rs,autometrics-dev/autometrics-rs,Rust,4010
bus,jonhoo/bus,Rust,649
rust-sciter,sciter-sdk/rust-sciter,Rust,9842
tuc,riquito/tuc,Rust,6050
halo2,zcash/halo2,Rust,36572
directories-rs,dirs-dev/directories-rs,Rust,540
arbitrary,rust-fuzz/arbitrary,Rust,3240
