name,SLOC,Category,Languages
windows-rs,2238376,Very Large,Rust (2238376)
rusoto,1133712,Very Large,Rust (1133712)
polkadot-sdk,1072116,Very Large,Rust (1072116)
typos,1009632,Very Large,Rust (1009632)
rustc_codegen_clr,601618,Large,Rust (601618)
swc,591481,Large,Rust (591481)
iced,583064,Large,Rust (583064)
databend,575814,Large,Rust (575814)
risingwave,540441,Large,Rust (540441)
pgvecto.rs,501120,Large,Rust (501120)
jito-solana,495433,Large,Rust (495433)
wasmtime,485142,Large,Rust (485142)
solana,452924,Large,Rust (452924)
datafusion,431361,Large,Rust (431361)
union,416383,Large,Rust (416383)
greptimedb,415173,Large,Rust (415173)
substrate,407460,Large,Rust (407460)
oxc,404929,Large,Rust (404929)
pgrx,388937,Large,Rust (388937)
rust,379982,Large,Rust (379982)
wezterm,379662,Large,Rust (379662)
csbindgen,376241,Large,Rust (376241)
artemis,363383,Large,Rust (363383)
rustybox,361602,Large,Rust (361602)
tfhe-rs,360566,Large,Rust (360566)
polars,333324,Large,Rust (333324)
bevy,332642,Large,Rust (332642)
nearcore,329892,Large,Rust (329892)
stdarch,327983,Large,Rust (327983)
prisma-engines,327505,Large,Rust (327505)
veloren,324803,Large,Rust (324803)
diem,323590,Large,Rust (323590)
rivet,319943,Large,Rust (319943)
roc,289758,Large,Rust (289758)
atsamd,286797,Large,Rust (286797)
qsharp,275272,Large,Rust (275272)
Leafish,271890,Large,Rust (271890)
si,263196,Large,Rust (263196)
nym,260203,Large,Rust (260203)
conflux-rust,258452,Large,Rust (258452)
wasm-bindgen,251487,Large,Rust (251487)
arrow-rs,250425,Large,Rust (250425)
ZLUDA,246460,Large,Rust (246460)
whitebox-tools,242395,Large,Rust (242395)
lighthouse,242366,Large,Rust (242366)
reth,241658,Large,Rust (241658)
convex-backend,238186,Large,Rust (238186)
wasmer,236671,Large,Rust (236671)
stalwart,234958,Large,Rust (234958)
rust-brotli,234603,Large,Rust (234603)
neon,229848,Large,Rust (229848)
bite,229412,Large,Rust (229412)
namada,222470,Large,Rust (222470)
matrix-rust-sdk,221167,Large,Rust (221167)
qdrant,218085,Large,Rust (218085)
nautilus_trader,217594,Large,Rust (217594)
tock,216259,Large,Rust (216259)
gtk4-rs,215007,Large,Rust (215007)
cube,213833,Large,Rust (213833)
vulkano,213662,Large,Rust (213662)
quickwit,211449,Large,Rust (211449)
noir,209656,Large,Rust (209656)
azul,209549,Large,Rust (209549)
openobserve,208760,Large,Rust (208760)
Fyrox,207956,Large,Rust (207956)
opencv-rust,206119,Large,Rust (206119)
icu4x,204107,Large,Rust (204107)
grafbase,202173,Large,Rust (202173)
polkadot,200292,Large,Rust (200292)
surrealdb,198659,Large,Rust (198659)
winapi-rs,196758,Large,Rust (196758)
rust-lightning,194405,Large,Rust (194405)
tensorbase,193784,Large,Rust (193784)
s2n-quic,193637,Large,Rust (193637)
feldera,190552,Large,Rust (190552)
ruffle,187365,Large,Rust (187365)
veryl,187276,Large,Rust (187276)
burn,184632,Large,Rust (184632)
rust-clippy,182111,Large,Rust (182111)
lance,182001,Large,Rust (182001)
cudarc,181247,Large,Rust (181247)
move,180431,Large,Rust (180431)
cairo,180018,Large,Rust (180018)
glam-rs,177377,Large,Rust (177377)
pathfinder,177258,Large,Rust (177258)
fhevm,176930,Large,Rust (176930)
firefly,176424,Large,Rust (176424)
embassy,175422,Large,Rust (175422)
