name,Last Commit Date,Total Commits (Last 90d),Avg Commits/Weekday (Mon–Fri),Infrequent (<2.36)
aws-sdk-rust,Error,Error,Error,Error
alloy,2025-08-23,230,3.54,No
serie,2025-08-23,13,0.2,Yes
trybuild,2025-08-23,19,0.29,Yes
rune,2025-08-23,179,2.75,No
sail,2025-08-23,186,2.86,No
miniserde,2025-08-23,5,0.08,Yes
noita_entangled_worlds,2025-08-23,271,4.17,No
proc-macro2,2025-08-23,32,0.49,Yes
tuc,2025-08-23,51,0.78,Yes
migrate-to-uv,2025-08-23,96,1.48,Yes
audioserve,2025-08-23,32,0.49,Yes
erased-serde,2025-08-23,3,0.05,Yes
linkme,2025-08-23,6,0.09,Yes
disruptor-rs,2025-08-23,16,0.25,Yes
reflect,2025-08-23,2,0.03,Yes
rmqtt,2025-08-23,127,1.95,Yes
obliteration,2025-08-23,27,0.42,Yes
magnus,2025-08-23,21,0.32,Yes
rama,2025-08-23,214,3.29,No
dyn-clone,2025-08-23,12,0.18,Yes
avbroot,2025-08-23,64,0.98,Yes
typst.ts,2025-08-23,23,0.35,Yes
indoc,2025-08-23,8,0.12,Yes
always-online-stun,2025-08-23,1945,29.92,No
g3,2025-08-23,264,4.06,No
stu,2025-08-23,77,1.18,Yes
prettyplease,2025-08-23,18,0.28,Yes
lux,2025-08-23,221,3.4,No
rnet,2025-08-23,87,1.34,Yes
pingap,2025-08-23,105,1.62,Yes
donutbrowser,2025-08-23,656,10.09,No
ryu,2025-08-23,3,0.05,Yes
semver,2025-08-23,2,0.03,Yes
dbus-rs,2025-08-23,2,0.03,Yes
fedimint,2025-08-23,242,3.72,No
vless,2025-08-23,1788,27.51,No
RSA,2025-08-23,29,0.45,Yes
rust-phf,2025-08-23,37,0.57,Yes
tinymist,2025-08-23,179,2.75,No
verus,2025-08-23,201,3.09,No
doxx,2025-08-23,54,0.83,Yes
case-studies,2025-08-23,2,0.03,Yes
tao,2025-08-23,9,0.14,Yes
rust-quiz,2025-08-23,7,0.11,Yes
ferrumc,2025-08-23,124,1.91,Yes
si,2025-08-23,1660,25.54,No
AngryOxide,2025-08-23,94,1.45,Yes
toasty,2025-08-23,23,0.35,Yes
icu4x,2025-08-23,150,2.31,Yes
cargo-semver-checks,2025-08-23,93,1.43,Yes
quote,2025-08-23,5,0.08,Yes
ferrocene,2025-08-23,7802,120.03,No
watt,2025-08-23,8,0.12,Yes
typetag,2025-08-23,4,0.06,Yes
plugins-workspace,2025-08-23,102,1.57,Yes
oxigraph,2025-08-23,113,1.74,Yes
rocketmq-rust,2025-08-23,273,4.2,No
walker,2025-08-23,267,4.11,No
FingerprintHub,2025-08-23,164,2.52,No
rmk,2025-08-23,562,8.65,No
inko,2025-08-23,58,0.89,Yes
rustsbi,2025-08-23,23,0.35,Yes
ros2_rust,2025-08-23,19,0.29,Yes
inventory,2025-08-23,7,0.11,Yes
no-panic,2025-08-23,1,0.02,Yes
arkflow,2025-08-23,289,4.45,No
Mousai,2025-08-23,13,0.2,Yes
kftray,2025-08-23,80,1.23,Yes
doukutsu-rs,2025-08-23,17,0.26,Yes
DragonOS,2025-08-23,63,0.97,Yes
brush,2025-08-23,115,1.77,Yes
hyperlight,2025-08-23,233,3.58,No
rusqlite,2025-08-23,35,0.54,Yes
pyrefly,2025-08-23,2544,39.14,No
asterinas,2025-08-23,348,5.35,No
flox,2025-08-23,594,9.14,No
crates.io,2025-08-23,464,7.14,No
Daft,2025-08-23,349,5.37,No
syn,2025-08-23,95,1.46,Yes
datafusion-sqlparser-rs,2025-08-23,110,1.69,Yes
arrow-rs,2025-08-23,320,4.92,No
qsv,2025-08-23,693,10.66,No
trailbase,2025-08-23,300,4.62,No
Kooha,2025-08-23,28,0.43,Yes
hftbacktest,2025-08-23,111,1.71,Yes
cargo-expand,2025-08-23,32,0.49,Yes
LACT,2025-08-23,112,1.72,Yes
iggy,2025-08-23,132,2.03,Yes
rustic,2025-08-23,21,0.32,Yes
spiceai,2025-08-23,449,6.91,No
RapidRAW,2025-08-23,455,7.0,No
gitu,2025-08-23,36,0.55,Yes
skia-canvas,2025-08-23,400,6.15,No
mlua,2025-08-23,105,1.62,Yes
async-trait,2025-08-23,11,0.17,Yes
phantun,2025-08-23,15,0.23,Yes
neqo,2025-08-23,186,2.86,No
deno,2025-08-23,480,7.38,No
union,2025-08-23,1296,19.94,No
uv,2025-08-23,752,11.57,No
zed,2025-08-23,2330,35.85,No
rust,2025-08-23,8365,128.69,No
awesome-rust,2025-08-23,106,1.63,Yes
bevy,2025-08-23,770,11.85,No
codex,2025-08-23,549,8.45,No
yazi,2025-08-23,92,1.42,Yes
swc,2025-08-23,464,7.14,No
actix-web,2025-08-23,43,0.66,Yes
tree-sitter,2025-08-23,124,1.91,Yes
coreutils,2025-08-23,1061,16.32,No
Graphite,2025-08-23,248,3.82,No
mdBook,2025-08-23,183,2.82,No
biome,2025-08-23,597,9.18,No
slint,2025-08-23,622,9.57,No
jj,2025-08-23,548,8.43,No
leptos,2025-08-23,222,3.42,No
hurl,2025-08-23,261,4.02,No
goose,2025-08-23,814,12.52,No
ruffle,2025-08-23,595,9.15,No
openobserve,2025-08-23,481,7.4,No
nautilus_trader,2025-08-23,871,13.4,No
pyo3,2025-08-23,111,1.71,Yes
turso,2025-08-23,3259,50.14,No
binwalk,2025-08-23,28,0.43,Yes
burn,2025-08-23,204,3.14,No
rust-clippy,2025-08-23,770,11.85,No
rolldown,2025-08-23,899,13.83,No
clash-nyanpasu,2025-08-23,441,6.78,No
rerun,2025-08-23,539,8.29,No
databend,2025-08-23,443,6.82,No
Fyrox,2025-08-23,304,4.68,No
risingwave,2025-08-23,411,6.32,No
rustfs,2025-08-23,684,10.52,No
datafusion,2025-08-23,532,8.18,No
napi-rs,2025-08-23,217,3.34,No
convex-backend,2025-08-23,741,11.4,No
tailspin,2025-08-23,27,0.42,Yes
sapling,2025-08-23,1619,24.91,No
cxx,2025-08-23,15,0.23,Yes
watchexec,2025-08-23,8,0.12,Yes
anyhow,2025-08-23,9,0.14,Yes
aptos-core,2025-08-23,364,5.6,No
materialize,2025-08-23,1459,22.45,No
PacBao,2025-08-23,5,0.08,Yes
winit,2025-08-23,35,0.54,Yes
greptimedb,2025-08-23,407,6.26,No
lance,2025-08-23,349,5.37,No
serenity,2025-08-23,14,0.22,Yes
roc,2025-08-23,2240,34.46,No
thiserror,2025-08-23,24,0.37,Yes
reth,2025-08-23,911,14.02,No
dynamo,2025-08-23,738,11.35,No
cloud-hypervisor,2025-08-23,207,3.18,No
proc-macro-workshop,2025-08-23,1,0.02,Yes
smol,2025-08-23,4,0.06,Yes
buck2,2025-08-23,1506,23.17,No
ipc-channel,2025-08-22,11,0.17,Yes
pathfinding,2025-08-22,12,0.18,Yes
bdk,2025-08-22,72,1.11,Yes
tachyonfx,2025-08-22,52,0.8,Yes
rustypaste,2025-08-22,14,0.22,Yes
kas,2025-08-22,352,5.42,No
gimli,2025-08-22,15,0.23,Yes
fas-rs,2025-08-22,90,1.38,Yes
nexus-cli,2025-08-22,177,2.72,No
router,2025-08-22,697,10.72,No
iamb,2025-08-22,35,0.54,Yes
ironbar,2025-08-22,132,2.03,Yes
nanocl,2025-08-22,6,0.09,Yes
bytemuck,2025-08-22,15,0.23,Yes
toml,2025-08-22,341,5.25,No
libbpf-rs,2025-08-22,54,0.83,Yes
terminator,2025-08-22,917,14.11,No
kurbo,2025-08-22,30,0.46,Yes
actix-extras,2025-08-22,17,0.26,Yes
azure-sdk-for-rust,2025-08-22,189,2.91,No
jolt,2025-08-22,189,2.91,No
fishnet,2025-08-22,14,0.22,Yes
solana-playground,2025-08-22,90,1.38,Yes
tower-http,2025-08-22,19,0.29,Yes
cot,2025-08-22,40,0.62,Yes
meteroid,2025-08-22,54,0.83,Yes
dovi_tool,2025-08-22,12,0.18,Yes
etl,2025-08-22,184,2.83,No
cartero,2025-08-22,131,2.02,Yes
core,2025-08-22,193,2.97,No
winnow,2025-08-22,20,0.31,Yes
Ares,2025-08-22,68,1.05,Yes
algebra,2025-08-22,19,0.29,Yes
Acala,2025-08-22,9,0.14,Yes
actix-net,2025-08-22,33,0.51,Yes
