name,Last Commit Date,Total Commits (since inception),Avg Commits/Weekday (Mon–Fri)
servo/ipc-channel,2025-08-28,705,0.18
linebender/kurbo,2025-08-28,652,0.33
chenxiaolong/avbroot,2025-08-28,822,0.68
pradt2/always-online-stun,2025-08-28,28542,20.68
baoyachi/shadow-rs,2025-08-28,749,0.41
bahdotsh/wrkflw,2025-08-28,181,1.28
databricks/click,2025-08-28,635,0.27
servo/core-foundation-rs,2025-08-28,2182,0.53
Ralith/hecs,2025-08-28,585,0.17
foyer-rs/foyer,2025-08-28,725,1.07
dtolnay/cargo-expand,2025-08-28,881,0.24
image-rs/image,2025-08-28,3640,0.8
alloy-rs/alloy,2025-08-27,2121,3.05
lusingander/serie,2025-08-27,124,0.26
Lokathor/bytemuck,2025-08-27,456,0.23
bee-san/Ares,2025-08-27,652,0.52
pubgrub-rs/pubgrub,2025-08-27,306,0.18
ruma/ruma,2025-08-27,6129,1.89
robertpsoane/ducker,2025-08-27,197,0.33
bluealloy/revm,2025-08-27,1981,1.67
J-F-Liu/lopdf,2025-08-27,502,0.18
tauri-apps/tao,2025-08-27,3287,0.84
rust-embedded/heapless,2025-08-27,1200,0.45
rust-av/Av1an,2025-08-27,2487,1.22
orhun/gpg-tui,2025-08-27,790,0.48
SeaQL/sea-query,2025-08-27,1787,1.0
enigo-rs/enigo,2025-08-27,739,0.25
colin-kiegel/rust-derive-builder,2025-08-27,481,0.15
cyphar/paperback,2025-08-27,278,0.12
time-rs/time,2025-08-27,1111,0.54
rust-shell-script/rust_cmd_lib,2025-08-27,580,0.25
g1mv/density,2025-08-27,690,0.16
ron-rs/ron,2025-08-27,536,0.15
rust-lang/hashbrown,2025-08-27,1142,0.49
rustic-rs/rustic,2025-08-27,1721,1.46
rust-embedded/embedded-hal,2025-08-27,926,0.37
linkerd/linkerd2-proxy,2025-08-27,3705,1.77
microsoft/edit,2025-08-27,383,2.68
youki-dev/youki,2025-08-27,5558,4.15
ProvableHQ/leo,2025-08-27,7707,4.83
quinn-rs/quinn,2025-08-27,3992,1.54
rust-lang/portable-simd,2025-08-26,807,0.4
microsoft/avml,2025-08-26,541,0.33
orhun/rustypaste,2025-08-26,559,0.4
gimli-rs/gimli,2025-08-26,1480,0.49
actix/actix-extras,2025-08-26,3891,1.41
riquito/tuc,2025-08-26,517,0.24
RustCrypto/elliptic-curves,2025-08-26,1139,0.61
veeso/tui-realm,2025-08-26,363,0.18
oxidecomputer/progenitor,2025-08-26,980,0.8
oxidecomputer/typify,2025-08-26,728,0.64
RustCrypto/traits,2025-08-26,1634,0.56
pop-os/libcosmic,2025-08-26,1516,1.47
purpleprotocol/mimalloc_rust,2025-08-26,232,0.12
open-source-cooperative/keyring-rs,2025-08-26,511,0.13
serialport/serialport-rs,2025-08-26,809,0.27
vincent-herlemont/native_db,2025-08-26,474,0.5
RustCrypto/RSA,2025-08-26,401,0.19
alceal/plotlars,2025-08-26,212,0.41
rust-fuzz/afl.rs,2025-08-26,860,0.24
tokio-rs/io-uring,2025-08-26,367,0.16
oxidecomputer/dropshot,2025-08-26,1227,0.87
bnjbvr/cargo-machete,2025-08-26,169,0.11
i3visio/solana-mev-bot,2025-08-26,858,0.21
shshemi/tabiew,2025-08-26,596,1.15
meilisearch/meilisearch,2025-08-26,12426,6.25
rayon-rs/rayon,2025-08-26,2282,0.66
serde-rs/serde,2025-08-26,4190,1.04
rust-bakery/nom,2025-08-26,2751,0.64
RustCrypto/password-hashes,2025-08-25,501,0.19
davidB/kubectl-view-allocations,2025-08-25,458,0.19
Plonky3/Plonky3,2025-08-25,1133,1.5
zaeleus/noodles,2025-08-25,8381,3.79
asomers/mockall,2025-08-25,1052,0.37
pythops/oryx,2025-08-25,74,0.2
obi1kenobi/cargo-semver-checks,2025-08-25,1023,0.98
amqp-rs/lapin,2025-08-25,2043,0.76
supabase/pg_jsonschema,2025-08-25,118,0.13
Manishearth/rust-gc,2025-08-25,357,0.09
lapce/floem,2025-08-25,859,0.97
oxipng/oxipng,2025-08-25,881,0.29
YS-L/csvlens,2025-08-25,406,0.13
evenfurther/pathfinding,2025-08-24,1451,0.49
nashaofu/xcap,2025-08-24,155,0.1
dfrg/swash,2025-08-24,186,0.14
taiki-e/cargo-hack,2025-08-24,1024,0.47
LukeMathWalker/wiremock-rs,2025-08-24,201,0.1
dtolnay/indoc,2025-08-24,358,0.08
taiki-e/pin-project,2025-08-24,1408,0.55
EmbarkStudios/puffin,2025-08-24,340,0.25
tafia/quick-xml,2025-08-24,1666,0.43
dtolnay/inventory,2025-08-24,236,0.1
Jondolf/avian,2025-08-24,1065,0.8
RustAudio/rodio,2025-08-24,1251,0.33
dtolnay/anyhow,2025-08-24,868,0.36
dtolnay/thiserror,2025-08-24,799,0.31
rhaiscript/rhai,2025-08-24,4611,1.37
webrtc-rs/webrtc,2025-08-24,3464,1.34
dtolnay/trybuild,2025-08-23,681,0.25
dtolnay/miniserde,2025-08-23,320,0.11
dtolnay/proc-macro2,2025-08-23,1231,0.36
1Password/arboard,2025-08-23,341,0.09
dtolnay/erased-serde,2025-08-23,379,0.11
dtolnay/reflect,2025-08-23,202,0.08
dtolnay/dyn-clone,2025-08-23,167,0.06
dtolnay/prettyplease,2025-08-23,526,0.35
dtolnay/ryu,2025-08-23,352,0.09
dtolnay/semver,2025-08-23,656,0.17
diwic/dbus-rs,2025-08-23,1142,0.27
rust-phf/rust-phf,2025-08-23,845,0.17
dtolnay/case-studies,2025-08-23,81,0.03
console-rs/dialoguer,2025-08-23,374,0.11
dtolnay/quote,2025-08-23,667,0.18
dtolnay/typetag,2025-08-23,274,0.1
jamesmunns/postcard,2025-08-23,363,0.18
dtolnay/no-panic,2025-08-23,225,0.08
cksac/fake-rs,2025-08-23,582,0.2
iliekturtles/uom,2025-08-23,638,0.17
dtolnay/async-trait,2025-08-23,675,0.3
serde-rs/json,2025-08-23,1809,0.48
