name,Last Commit Date,Total Commits (since inception),Avg_Commits_Weekday
facebook/relay,Error,Error,Error
clockworklabs/SpacetimeDB,Error,Error,Error
anyrun-org/anyrun,2025-09-13,252,0.29
stratis-storage/stratisd,2025-09-13,6138,2.51
luxtorpeda-dev/luxtorpeda,2025-09-13,706,0.38
pamburus/hl,2025-09-13,1260,0.68
mbround18/valheim-docker,2025-09-13,832,0.54
chatmail/core,2025-09-13,9390,4.02
matsadler/magnus,2025-09-13,855,0.53
bytedance/g3,2025-09-13,2802,3.77
vicanso/pingap,2025-09-13,1132,1.36
rust-diplomat/diplomat,2025-09-13,610,0.51
NiREvil/vless,2025-09-13,12216,15.3
jito-foundation/jito-solana,2025-09-13,29655,13.59
anza-xyz/pinocchio,2025-09-13,281,0.82
Brooooooklyn/canvas,2025-09-13,1143,0.72
Myriad-Dreamin/tinymist,2025-09-13,1599,2.83
mattwparas/steel,2025-09-13,995,0.49
uiua-lang/uiua,2025-09-13,7990,8.74
systeminit/si,2025-09-13,14616,8.57
Ragnt/AngryOxide,2025-09-13,674,0.93
jni-rs/jni-rs,2025-09-13,541,0.2
kivikakk/comrak,2025-09-13,1541,0.55
mxsm/rocketmq-rust,2025-09-13,2141,3.27
romanz/electrs,2025-09-13,1689,0.65
abenz1267/walker,2025-09-13,1489,2.63
0x727/FingerprintHub,2025-09-13,1863,1.45
argmin-rs/argmin,2025-09-13,1323,0.44
release-plz/release-plz,2025-09-13,1942,1.34
apache/datafusion-comet,2025-09-13,1121,2.39
cberner/fuser,2025-09-13,861,0.17
Oxen-AI/Oxen,2025-09-13,4866,4.76
cberner/redb,2025-09-13,1387,0.43
rust-lang/crates.io,2025-09-13,21178,5.89
oxidecomputer/hubris,2025-09-13,2105,1.43
dathere/qsv,2025-09-13,13480,3.36
maplibre/martin,2025-09-13,2040,0.8
lycheeverse/lychee,2025-09-13,1834,1.2
ilya-zlobintsev/LACT,2025-09-13,909,0.39
cocoindex-io/cocoindex,2025-09-13,796,4.27
squidowl/halloy,2025-09-13,2567,2.33
nextest-rs/nextest,2025-09-13,3800,2.49
spiceai/spiceai,2025-09-13,3860,3.4
ironcalc/IronCalc,2025-09-13,526,0.74
bodo-run/yek,2025-09-13,600,1.64
modelcontextprotocol/rust-sdk,2025-09-13,242,1.45
zed-industries/zed,2025-09-13,31068,24.24
starship/starship,2025-09-13,3933,1.79
openai/codex,2025-09-13,1184,9.86
rust-lang/rust,2025-09-13,305347,58.57
bevyengine/bevy,2025-09-13,9761,5.05
sxyazi/yazi,2025-09-13,1186,1.51
atuinsh/atuin,2025-09-13,1432,0.91
tokio-rs/axum,2025-09-13,1690,1.1
chroma-core/chroma,2025-09-13,3381,4.06
swc-project/swc,2025-09-13,11119,4.43
uutils/coreutils,2025-09-13,16568,3.7
GraphiteEditor/Graphite,2025-09-13,2285,1.11
RustPython/RustPython,2025-09-13,14724,5.03
biomejs/biome,2025-09-13,8550,4.9
gleam-lang/gleam,2025-09-13,9722,2.95
jj-vcs/jj,2025-09-13,9823,5.96
jdx/mise,2025-09-13,4681,4.83
eza-community/eza,2025-09-13,3327,0.74
block/goose,2025-09-13,2241,7.55
ruffle-rs/ruffle,2025-09-13,15181,4.73
oxc-project/oxc,2025-09-13,11762,13.36
gitbutlerapp/gitbutler,2025-09-13,17177,22.22
rust-lang/rust-analyzer,2025-09-13,35892,13.6
openobserve/openobserve,2025-09-13,4246,5.58
diesel-rs/diesel,2025-09-13,6980,2.21
tursodatabase/turso,2025-09-13,8825,10.83
LGUG2Z/komorebi,2025-09-13,1479,1.04
nautechsystems/nautilus_trader,2025-09-13,15782,5.48
rust-lang/rust-clippy,2025-09-13,23694,6.39
rust-lang/cargo,2025-09-13,20567,5.73
libnyanpasu/clash-nyanpasu,2025-09-13,5463,3.93
rolldown/rolldown,2025-09-13,4785,7.11
Canop/broot,2025-09-13,1832,0.75
web-infra-dev/rspack,2025-09-13,7016,7.72
eythaann/Seelen-UI,2025-09-13,1742,3.38
GitoxideLabs/gitoxide,2025-09-13,14554,5.74
stalwartlabs/stalwart,2025-09-13,1066,1.21
tensorzero/tensorzero,2025-09-13,1869,5.59
foundry-rs/foundry,2025-09-13,5238,4.1
hatoo/oha,2025-09-13,1490,0.56
SeaQL/sea-orm,2025-09-13,2880,1.87
awslabs/llrt,2025-09-13,900,1.55
FyroxEngine/Fyrox,2025-09-13,7466,3.04
databendlabs/databend,2025-09-13,33394,21.83
wasm-bindgen/wasm-bindgen,2025-09-13,4015,1.73
rustfs/rustfs,2025-09-13,1847,4.85
gyroflow/gyroflow,2025-09-13,2416,1.99
louis-e/arnis,2025-09-13,1077,0.72
embassy-rs/embassy,2025-09-13,11099,6.88
apache/datafusion,2025-09-13,11294,3.74
napi-rs/napi-rs,2025-09-13,3345,1.44
EasyTier/EasyTier,2025-09-13,641,1.01
MystenLabs/sui,2025-09-13,17638,11.69
get-convex/convex-backend,2025-09-13,4147,9.85
dtolnay/cxx,2025-09-13,4145,1.95
facebook/sapling,2025-09-13,99716,16.16
aptos-labs/aptos-core,2025-09-13,23169,12.91
veloren/veloren,2025-09-13,17453,6.95
tock/tock,2025-09-13,15334,4.99
MaterializeInc/materialize,2025-09-13,45543,20.87
Sjj1024/PacBao,2025-09-13,1,0.0
jtroo/kanata,2025-09-13,1327,0.56
raphamorim/rio,2025-09-13,3497,3.22
rust-lang/miri,2025-09-13,19300,5.49
lancedb/lance,2025-09-13,2836,3.05
BoundaryML/baml,2025-09-13,2373,4.04
tummychow/git-absorb,2025-09-13,371,0.12
roc-lang/roc,2025-09-13,34198,13.97
supabase-community/postgres-language-server,2025-09-13,799,0.99
loro-dev/loro,2025-09-13,1954,2.03
paradigmxyz/reth,2025-09-13,11453,13.03
cloud-hypervisor/cloud-hypervisor,2025-09-13,8943,5.12
antinomyhq/forge,2025-09-13,1704,6.39
immunant/c2rust,2025-09-13,8409,3.65
0xPlaygrounds/rig,2025-09-13,622,1.74
rivet-gg/rivet,2025-09-13,3490,4.96
facebook/buck2,2025-09-13,22059,27.76
hydro-project/hydro,2025-09-12,1938,1.78
kas-gui/kas,2025-09-12,4883,2.21
getsentry/sentry-cli,2025-09-12,2639,0.97
shadow3aaa/fas-rs,2025-09-12,1717,2.11
rpgp/rpgp,2025-09-12,1048,0.34
nexus-xyz/nexus-cli,2025-09-12,338,1.09
apollographql/router,2025-09-12,7577,6.71
lakehq/sail,2025-09-12,609,1.16
next-hat/nanocl,2025-09-12,1558,1.5
arkworks-rs/snark,2025-09-12,515,0.24
mediar-ai/terminator,2025-09-12,1196,9.71
VirusTotal/yara-x,2025-09-12,2165,2.58
Azure/azure-sdk-for-rust,2025-09-12,2572,0.91
nginx/ngx-rust,2025-09-12,285,0.12
golemcloud/golem,2025-09-12,3639,6.18
copper-project/copper-rs,2025-09-12,738,0.4
solana-playground/solana-playground,2025-09-12,1750,1.43
CensoredUsername/dynasm-rs,2025-09-12,460,0.16
meteroid-oss/meteroid,2025-09-12,422,0.56
openmls/openmls,2025-09-12,1732,1.18
supabase/etl,2025-09-12,938,2.09
