name,Avg Duration (min),Max Duration (min),Long Builds >10min,Runs Counted
utkarshkukreti/select.rs,1.45,2.3,0.0%,7
servo/ipc-channel,11.5,169.72,28.0%,50
rust-lang/portable-simd,44.85,83.73,66.0%,50
rust-cli/confy,1.34,5.15,0.0%,50
aramperes/onetun,1.24,6.3,0.0%,50
evenfurther/pathfinding,1.66,3.88,0.0%,50
microsoft/avml,3.6,11.75,22.0%,50
bitcoindevkit/bdk,5.22,53.38,6.0%,50
alloy-rs/alloy,8.01,65.3,10.0%,50
mcginty/snow,1.55,4.05,0.0%,50
BurntSushi/bstr,2.83,5.08,0.0%,50
SamiPerttu/fundsp,8.18,193.77,2.5%,40
erickt/rust-zmq,3.93,5.23,0.0%,13
orhun/rustypaste,19.41,93.33,20.0%,50
lusingander/serie,5.89,157.2,6.0%,50
sourcefrog/cargo-mutants,6.63,31.13,18.0%,50
tesselode/kira,0.75,1.58,0.0%,50
telegram-rs/telegram-bot,,,,0
mattsse/chromiumoxide,3.95,4.67,0.0%,16
tqwewe/kameo,3.16,3.75,0.0%,50
ogxd/gxhash,1.32,3.97,0.0%,50
rust-cv/cv,89.73,178.18,50.0%,4
oconnor663/duct.rs,1.86,7.78,0.0%,40
matthiaskrgr/cargo-cache,1.61,1.93,0.0%,50
suptejas/volt,,,,0
general-works/Glint,1.23,1.37,0.0%,4
orhun/ratzilla,2.23,12.63,2.0%,50
pendulum-project/ntpd-rs,3.94,8.0,0.0%,50
gimli-rs/gimli,7.6,53.1,2.0%,50
aripiprazole/rinha-de-compiler,,,,0
Nazariglez/notan,0.29,5.2,0.0%,50
Xuanwo/backon,0.99,2.2,0.0%,50
warycat/rustgym,1.35,2.82,0.0%,15
heim-rs/heim,2.83,3.0,0.0%,50
lunatic-solutions/submillisecond,,,,0
dtolnay/trybuild,2.34,10.92,2.0%,50
magic-wormhole/magic-wormhole.rs,0.88,8.63,0.0%,50
Kobzol/cargo-wizard,4.07,6.35,0.0%,5
DNSCrypt/doh-server,0.2,3.68,0.0%,50
mmastrac/rust-ctor,8.44,22.9,32.0%,50
daboross/fern,2.62,4.08,0.0%,36
Lokathor/bytemuck,4.41,7.5,0.0%,50
fast/fastrace,6.69,81.07,4.0%,50
jetli/rust-yew-realworld-example-app,,,,0
smol-rs/async-channel,3.57,8.52,0.0%,50
hahwul/jwt-hack,13.03,112.43,36.0%,50
dtolnay/miniserde,6.68,13.4,4.0%,50
djc/bb8,1.67,4.17,0.0%,50
Gankra/cargo-mommy,1.73,3.93,0.0%,50
nnethercote/dhat-rs,29.93,29.93,100.0%,1
image-rs/imageproc,3.14,10.53,2.0%,50
awesome-rust-com/awesome-rust,0.44,0.82,0.0%,28
8051Enthusiast/biodiff,,,,0
awslabs/flowgger,3.5,16.4,16.7%,6
rust-num/num-traits,2.54,9.02,0.0%,50
dtolnay/proc-macro2,8.65,22.45,34.0%,50
rust-lang/rustfix,,,,0
linebender/kurbo,2.17,23.73,2.0%,50
pacak/cargo-show-asm,2.96,6.45,0.0%,50
actix/actix-extras,3.78,8.93,0.0%,50
aevyrie/bevy_mod_picking,3.77,7.27,0.0%,14
Leafwing-Studios/leafwing-input-manager,7.66,75.88,28.0%,50
messense/jieba-rs,3.02,12.13,2.0%,50
rust-osdev/bootimage,5.17,15.13,8.0%,50
rust-av/rust-av,0.91,3.85,0.0%,50
rust-lang/datafrog,0.67,0.68,0.0%,2
kriomant/ch57x-keyboard-tool,2.32,3.02,0.0%,4
RustCrypto/AEADs,1.37,3.42,0.0%,50
bluss/arrayvec,1.65,3.13,0.0%,39
bbqsrc/cargo-ndk,8.45,18.1,50.0%,50
tokio-rs/slab,4.09,41.6,2.0%,50
RoaringBitmap/roaring-rs,32.96,218.28,58.0%,50
autometrics-dev/autometrics-rs,3.77,7.82,0.0%,10
jonhoo/bus,0.38,0.47,0.0%,50
sciter-sdk/rust-sciter,,,,0
riquito/tuc,0.64,0.95,0.0%,50
zcash/halo2,36.28,208.03,38.0%,50
dirs-dev/directories-rs,1.68,1.68,0.0%,1
rust-fuzz/arbitrary,6.46,60.62,6.4%,47
lichess-org/fishnet,93.46,189.37,96.3%,27
