name,Avg Duration (min),Max Duration (min),Long Builds >10min,Runs Counted
tuono-labs/tuono,3.86,9.72,0.0%,50
mitnk/cicada,4.71,14.83,18.6%,43
cornucopia-rs/cornucopia,,,,0
deviceplug/btleplug,11.99,152.12,14.0%,50
zino-rs/zino,4.39,38.98,8.0%,50
NiklasEi/bevy_game_template,14.8,37.08,50.0%,50
fluencelabs/nox,0.39,3.17,0.0%,50
target/lorri,,,,0
rust-embedded/riscv,2.67,14.2,22.0%,50
emilk/eframe_template,7.98,236.78,2.0%,50
danielpclark/rutie,6.31,7.68,0.0%,5
google/kati,2.61,31.6,2.0%,50
17cupsofcoffee/tetra,1.61,2.85,0.0%,9
Lodestone-Team/lodestone,,,,0
fschutt/printpdf,3.01,6.8,0.0%,50
fcsonline/tmux-thumbs,,,,0
hydro-project/hydro,4.43,31.07,14.0%,50
sigoden/argc,2.49,6.17,0.0%,48
chinedufn/swift-bridge,6.39,64.3,16.0%,50
pemistahl/lingua-rs,3.92,20.13,10.0%,50
launchbadge/realworld-axum-sqlx,,,,0
eyre-rs/color-eyre,,,,0
hlorenzi/customasm,0.96,31.65,2.0%,50
coastalwhite/lemurs,0.55,2.03,0.0%,37
kunai-project/kunai,1.93,20.47,6.0%,50
Trow-Registry/trow,5.22,12.22,8.0%,50
io12/pwninit,,,,0
clojure-rs/ClojureRS,,,,0
exein-io/pulsar,12.19,43.33,50.0%,50
VOICEVOX/voicevox_core,1.93,4.38,0.0%,50
kas-gui/kas,8.56,11.07,6.0%,50
autopilot-rs/autopy,1.58,5.52,0.0%,45
GlareDB/glaredb,18.78,48.25,62.0%,50
junkdog/tachyonfx,1.04,1.45,0.0%,50
messense/aliyundrive-fuse,,,,0
tun2proxy/tun2proxy,3.67,36.18,6.0%,50
thirtythreeforty/neolink,0.24,0.35,0.0%,50
madsim-rs/madsim,10.38,81.6,17.0%,47
rust-cli/book,0.96,2.88,0.0%,50
getsentry/sentry-cli,1.8,12.1,2.0%,50
softprops/envy,0.93,5.8,0.0%,50
nuta/nsh,,,,0
Gekkio/mooneye-gb,,,,0
paperclip-rs/paperclip,3.0,6.72,0.0%,50
vladkens/macmon,1.23,13.68,2.4%,41
rust-lang-cn/book-cn,41.02,137.65,40.0%,10
dmadisetti/steam-tui,62.82,185.53,33.3%,3
amethyst/rustrogueliketutorial,,,,0
KonghaYao/cn-font-split,2.02,11.25,2.0%,50
neon-mmd/websurfx,0.55,3.35,0.0%,50
blacknon/hwatch,6.01,16.03,4.0%,25
