Project,Repo URL,Created At,First CI Run Date,Time to First CI (months),Active Period (months),Total PRs,Total Issues,Contributors,Workflows Used,Workflow Runs (Success),Workflow Runs (Failure)
utkarshkukreti/select.rs,https://github.com/utkarshkukreti/utkarshkukreti/select.rs,2015-07-15T14:01:00Z,2025-03-15,116,121,31,48,18,Yes,8,0
rust-cli/confy,https://github.com/rust-cli/rust-cli/confy,2018-03-26T14:17:52Z,2024-08-22,77,89,71,51,32,Yes,155,2
rust-lang/portable-simd,https://github.com/rust-lang/rust-lang/portable-simd,2020-09-22T01:47:36Z,2024-08-07,46,59,273,202,72,Yes,129,23
aramperes/onetun,https://github.com/aramperes/aramperes/onetun,2021-10-10T21:51:49Z,2024-12-01,38,47,74,35,12,Yes,150,23
servo/ipc-channel,https://github.com/servo/servo/ipc-channel,2015-06-23T20:28:18Z,2024-07-14,109,122,288,122,72,Yes,188,40
mcginty/snow,https://github.com/mcginty/mcginty/snow,2016-10-16T12:09:30Z,2024-07-23,93,106,120,76,43,Yes,261,19
SamiPerttu/fundsp,https://github.com/SamiPerttu/SamiPerttu/fundsp,2020-11-15T18:52:09Z,2024-07-12,44,57,41,32,17,Yes,42,10
BurntSushi/bstr,https://github.com/BurntSushi/BurntSushi/bstr,2019-02-11T15:46:10Z,2024-07-15,65,78,105,98,38,Yes,365,86
erickt/rust-zmq,https://github.com/erickt/erickt/rust-zmq,2011-12-14T16:48:50Z,2024-12-12,156,164,257,166,60,Yes,6,7
lusingander/serie,https://github.com/lusingander/lusingander/serie,2024-07-28T07:22:08Z,2024-07-28,0,13,53,36,12,Yes,217,18
evenfurther/pathfinding,https://github.com/evenfurther/evenfurther/pathfinding,2016-12-27T18:53:12Z,2024-07-26,91,104,612,85,35,Yes,1017,144
tesselode/kira,https://github.com/tesselode/tesselode/kira,2020-07-27T05:35:03Z,2024-08-10,48,61,43,83,21,Yes,138,90
telegram-rs/telegram-bot,https://github.com/telegram-rs/telegram-rs/telegram-bot,2015-06-26T09:55:12Z,,,122,143,129,37,No,0,0
mattsse/chromiumoxide,https://github.com/mattsse/mattsse/chromiumoxide,2020-11-28T22:11:09Z,2024-07-23,44,57,142,123,37,Yes,22,17
microsoft/avml,https://github.com/microsoft/microsoft/avml,2019-06-06T23:01:51Z,2024-07-15,61,75,685,25,10,Yes,1267,92
orhun/rustypaste,https://github.com/orhun/orhun/rustypaste,2021-07-27T10:29:28Z,2024-07-17,36,49,371,77,27,Yes,1110,90
rust-cv/cv,https://github.com/rust-cv/rust-cv/cv,2020-04-04T17:46:04Z,2025-07-21,64,65,32,51,12,Yes,5,1
ogxd/gxhash,https://github.com/ogxd/ogxd/gxhash,2023-09-12T20:05:01Z,2024-07-29,11,23,68,51,12,Yes,178,103
oconnor663/duct.rs,https://github.com/oconnor663/oconnor663/duct.rs,2016-02-20T18:54:26Z,2024-08-01,101,114,27,94,14,Yes,31,9
suptejas/volt,https://github.com/suptejas/suptejas/volt,2021-05-10T15:39:26Z,,,52,50,15,17,No,0,0
sourcefrog/cargo-mutants,https://github.com/sourcefrog/sourcefrog/cargo-mutants,2021-09-08T15:56:21Z,2024-07-14,34,48,234,253,22,Yes,895,154
general-works/Glint,https://github.com/general-works/general-works/Glint,2025-05-18T14:32:37Z,2025-05-18,0,3,0,1,2,Yes,1,3
tqwewe/kameo,https://github.com/tqwewe/tqwewe/kameo,2024-03-29T14:57:41Z,2024-09-02,5,17,135,67,19,Yes,478,130
matthiaskrgr/cargo-cache,https://github.com/matthiaskrgr/matthiaskrgr/cargo-cache,2017-12-05T23:31:11Z,2024-07-15,79,93,17,128,8,Yes,0,410
aripiprazole/rinha-de-compiler,https://github.com/aripiprazole/aripiprazole/rinha-de-compiler,2023-09-06T16:08:00Z,,,24,279,17,193,No,0,0
gimli-rs/gimli,https://github.com/gimli-rs/gimli-rs/gimli,2016-06-15T00:39:04Z,2024-07-16,97,110,560,225,73,Yes,104,10
orhun/ratzilla,https://github.com/orhun/orhun/ratzilla,2025-01-01T23:56:29Z,2025-01-14,0,8,77,47,17,Yes,312,53
warycat/rustgym,https://github.com/warycat/warycat/rustgym,2019-06-26T04:14:32Z,2024-11-13,65,74,27,50,6,Yes,11,3
Nazariglez/notan,https://github.com/Nazariglez/Nazariglez/notan,2019-10-09T09:55:11Z,2024-07-14,57,71,225,131,32,Yes,451,10
lunatic-solutions/submillisecond,https://github.com/lunatic-solutions/lunatic-solutions/submillisecond,2022-05-04T13:20:43Z,,,40,84,43,10,No,0,0
heim-rs/heim,https://github.com/heim-rs/heim-rs/heim,2019-04-11T12:37:15Z,2024-07-15,63,77,134,240,18,Yes,366,45
dtolnay/trybuild,https://github.com/dtolnay/dtolnay/trybuild,2019-05-04T20:27:23Z,2024-07-15,62,76,169,143,26,Yes,502,14
Kobzol/cargo-wizard,https://github.com/Kobzol/Kobzol/cargo-wizard,2024-03-03T15:21:27Z,2025-04-25,14,18,14,13,2,Yes,5,0
Xuanwo/backon,https://github.com/Xuanwo/Xuanwo/backon,2022-04-12T11:48:23Z,2024-07-17,27,41,127,54,25,Yes,773,54
DNSCrypt/doh-server,https://github.com/DNSCrypt/DNSCrypt/doh-server,2018-02-05T23:29:47Z,2024-11-03,81,91,44,61,8,Yes,294,8
mmastrac/rust-ctor,https://github.com/mmastrac/mmastrac/rust-ctor,2018-12-06T03:50:42Z,2024-09-13,69,81,270,71,31,Yes,65,44
daboross/fern,https://github.com/daboross/daboross/fern,2014-12-16T01:43:47Z,2024-10-20,118,128,66,83,24,Yes,16,18
Lokathor/bytemuck,https://github.com/Lokathor/Lokathor/bytemuck,2019-09-20T00:43:50Z,2024-07-21,58,71,177,137,68,Yes,149,26
jetli/rust-yew-realworld-example-app,https://github.com/jetli/jetli/rust-yew-realworld-example-app,2019-11-04T03:57:57Z,,,70,24,27,6,No,0,0
magic-wormhole/magic-wormhole.rs,https://github.com/magic-wormhole/magic-wormhole/magic-wormhole.rs,2018-03-15T20:33:15Z,2024-07-14,76,89,173,145,33,Yes,683,184
smol-rs/async-channel,https://github.com/smol-rs/smol-rs/async-channel,2020-05-31T00:00:08Z,2024-07-21,50,63,61,49,24,Yes,77,18
hahwul/jwt-hack,https://github.com/hahwul/hahwul/jwt-hack,2020-07-02T16:17:09Z,2024-07-19,49,62,28,26,9,Yes,155,19
fast/fastrace,https://github.com/fast/fast/fastrace,2024-07-16T09:42:30Z,2024-07-16,0,13,87,44,36,Yes,376,131
Gankra/cargo-mommy,https://github.com/Gankra/Gankra/cargo-mommy,2022-12-19T06:50:20Z,2024-07-15,19,32,56,36,17,Yes,56,72
nnethercote/dhat-rs,https://github.com/nnethercote/nnethercote/dhat-rs,2020-12-07T01:09:42Z,2025-02-20,50,57,15,28,8,Yes,0,1
dtolnay/miniserde,https://github.com/dtolnay/dtolnay/miniserde,2018-09-13T15:58:47Z,2024-07-15,70,83,38,23,7,Yes,433,15
awesome-rust-com/awesome-rust,https://github.com/awesome-rust-com/awesome-rust-com/awesome-rust,2019-08-29T07:24:51Z,2024-07-17,59,72,54,8,52,Yes,34,0
djc/bb8,https://github.com/djc/djc/bb8,2018-01-29T21:38:04Z,2024-07-19,78,91,160,99,45,Yes,193,48
8051Enthusiast/biodiff,https://github.com/8051Enthusiast/8051Enthusiast/biodiff,2021-05-23T06:37:49Z,2024-08-06,38,51,3,19,4,Yes,6,2
awslabs/flowgger,https://github.com/awslabs/awslabs/flowgger,2015-08-09T17:08:53Z,2025-06-16,118,121,47,40,17,Yes,5,1
rust-num/num-traits,https://github.com/rust-num/rust-num/num-traits,2017-12-19T01:37:18Z,2024-07-21,79,92,175,186,131,Yes,46,28
rust-lang/rustfix,https://github.com/rust-lang/rust-lang/rustfix,2016-07-07T09:24:03Z,,,110,108,102,35,No,0,0
dtolnay/proc-macro2,https://github.com/dtolnay/dtolnay/proc-macro2,2017-05-20T02:35:07Z,2024-07-15,86,99,295,222,31,Yes,552,43
image-rs/imageproc,https://github.com/image-rs/image-rs/imageproc,2015-09-27T18:11:32Z,2024-07-15,106,119,468,255,80,Yes,683,52
linebender/kurbo,https://github.com/linebender/linebender/kurbo,2018-12-27T17:17:06Z,2024-07-22,67,80,381,110,49,Yes,456,57
aevyrie/bevy_mod_picking,https://github.com/aevyrie/aevyrie/bevy_mod_picking,2020-08-31T03:39:05Z,2024-07-14,46,60,186,160,54,Yes,4,23
pacak/cargo-show-asm,https://github.com/pacak/pacak/cargo-show-asm,2022-03-04T02:12:53Z,2024-07-22,29,42,293,110,28,Yes,234,67
pendulum-project/ntpd-rs,https://github.com/pendulum-project/pendulum-project/ntpd-rs,2022-03-04T19:15:34Z,2024-07-15,28,42,1656,280,34,Yes,2466,379
messense/jieba-rs,https://github.com/messense/messense/jieba-rs,2018-05-06T09:41:22Z,2024-12-25,80,88,79,50,19,Yes,108,8
bitcoindevkit/bdk,https://github.com/bitcoindevkit/bitcoindevkit/bdk,2020-01-22T21:16:35Z,2024-07-15,54,67,1173,625,89,Yes,4543,767
rust-lang/datafrog,https://github.com/rust-lang/rust-lang/datafrog,2018-05-16T13:37:32Z,2024-11-05,78,87,42,12,13,Yes,2,0
kriomant/ch57x-keyboard-tool,https://github.com/kriomant/kriomant/ch57x-keyboard-tool,2023-01-16T20:18:30Z,2024-08-25,19,31,18,111,12,Yes,5,0
rust-av/rust-av,https://github.com/rust-av/rust-av/rust-av,2016-01-30T22:32:47Z,2024-09-14,103,115,118,78,23,Yes,65,4
bluss/arrayvec,https://github.com/bluss/bluss/arrayvec,2015-05-19T15:08:23Z,2024-07-30,110,123,191,103,44,Yes,37,18
rust-osdev/bootimage,https://github.com/rust-osdev/rust-osdev/bootimage,2018-01-19T14:25:27Z,2024-07-15,78,91,42,57,15,Yes,69,346
Leafwing-Studios/leafwing-input-manager,https://github.com/Leafwing-Studios/Leafwing-Studios/leafwing-input-manager,2021-12-24T17:19:41Z,2024-07-15,31,44,398,295,67,Yes,310,113
tokio-rs/slab,https://github.com/tokio-rs/tokio-rs/slab,2015-06-08T21:13:52Z,2024-07-21,109,123,116,40,38,Yes,70,15
autometrics-dev/autometrics-rs,https://github.com/autometrics-dev/autometrics-dev/autometrics-rs,2023-01-12T10:58:47Z,2024-07-19,18,31,126,59,16,Yes,12,9
bbqsrc/cargo-ndk,https://github.com/bbqsrc/bbqsrc/cargo-ndk,2018-04-14T13:34:46Z,2024-08-17,76,88,51,112,22,Yes,61,47
RoaringBitmap/roaring-rs,https://github.com/RoaringBitmap/RoaringBitmap/roaring-rs,2014-12-27T05:50:48Z,2024-08-05,115,128,235,104,45,Yes,60,93
sciter-sdk/rust-sciter,https://github.com/sciter-sdk/sciter-sdk/rust-sciter,2016-03-07T08:02:47Z,,,114,45,104,19,No,0,0
actix/actix-extras,https://github.com/actix/actix/actix-extras,2020-01-29T10:11:59Z,2024-07-15,54,67,411,145,304,Yes,610,121
dirs-dev/directories-rs,https://github.com/dirs-dev/dirs-dev/directories-rs,2017-12-18T06:32:24Z,2025-01-12,85,92,37,54,16,Yes,1,0
riquito/tuc,https://github.com/riquito/riquito/tuc,2020-05-30T08:13:49Z,2024-08-01,50,63,189,17,8,Yes,115,12
zcash/halo2,https://github.com/zcash/zcash/halo2,2020-08-24T19:19:43Z,2024-12-13,52,60,507,335,40,Yes,81,57
