Project,Repo URL,Created At,First CI Run Date,Time to First CI (months),Active Period (months),Total PRs,Total Issues,Contributors,Workflows Used,Workflow Runs (Success),Workflow Runs (Failure)
utkarshkukreti/select.rs,https://github.com/utkarshkukreti/utkarshkukreti/select.rs,2015-07-15T14:01:00Z,2025-03-15,116,122,31,48,18,Yes,8,0
aramperes/onetun,https://github.com/aramperes/aramperes/onetun,2021-10-10T21:51:49Z,2024-12-01,38,47,76,35,12,Yes,157,23
rust-lang/portable-simd,https://github.com/rust-lang/rust-lang/portable-simd,2020-09-22T01:47:36Z,2024-08-07,46,60,276,205,72,Yes,134,25
rust-cli/confy,https://github.com/rust-cli/rust-cli/confy,2018-03-26T14:17:52Z,2024-08-22,77,90,72,51,32,Yes,170,5
servo/ipc-channel,https://github.com/servo/servo/ipc-channel,2015-06-23T20:28:18Z,2024-07-28,109,123,288,122,72,Yes,179,40
mcginty/snow,https://github.com/mcginty/mcginty/snow,2016-10-16T12:09:30Z,2024-08-19,94,107,120,76,43,Yes,271,19
SamiPerttu/fundsp,https://github.com/SamiPerttu/SamiPerttu/fundsp,2020-11-15T18:52:09Z,2024-07-28,44,58,41,32,17,Yes,38,6
erickt/rust-zmq,https://github.com/erickt/erickt/rust-zmq,2011-12-14T16:48:50Z,2024-12-12,156,165,257,167,60,Yes,6,7
BurntSushi/bstr,https://github.com/BurntSushi/BurntSushi/bstr,2019-02-11T15:46:10Z,2024-07-28,65,79,107,100,38,Yes,364,86
evenfurther/pathfinding,https://github.com/evenfurther/evenfurther/pathfinding,2016-12-27T18:53:12Z,2024-08-02,91,104,615,85,35,Yes,1025,145
lusingander/serie,https://github.com/lusingander/lusingander/serie,2024-07-28T07:22:08Z,2024-07-28,0,13,54,37,12,Yes,226,18
microsoft/avml,https://github.com/microsoft/microsoft/avml,2019-06-06T23:01:51Z,2024-07-29,62,75,687,25,10,Yes,1270,94
telegram-rs/telegram-bot,https://github.com/telegram-rs/telegram-rs/telegram-bot,2015-06-26T09:55:12Z,,,123,143,129,37,No,0,0
sourcefrog/cargo-mutants,https://github.com/sourcefrog/sourcefrog/cargo-mutants,2021-09-08T15:56:21Z,2024-07-29,35,48,235,255,22,Yes,872,155
orhun/rustypaste,https://github.com/orhun/orhun/rustypaste,2021-07-27T10:29:28Z,2024-07-27,36,49,378,78,27,Yes,1109,86
mattsse/chromiumoxide,https://github.com/mattsse/mattsse/chromiumoxide,2020-11-28T22:11:09Z,2024-08-02,44,57,142,124,37,Yes,20,16
tesselode/kira,https://github.com/tesselode/tesselode/kira,2020-07-27T05:35:03Z,2024-08-10,48,61,44,83,21,Yes,138,90
rust-cv/cv,https://github.com/rust-cv/rust-cv/cv,2020-04-04T17:46:04Z,2025-07-21,64,65,32,51,12,Yes,5,1
oconnor663/duct.rs,https://github.com/oconnor663/oconnor663/duct.rs,2016-02-20T18:54:26Z,2024-08-01,101,115,27,94,14,Yes,31,9
suptejas/volt,https://github.com/suptejas/suptejas/volt,2021-05-10T15:39:26Z,2025-08-29,52,52,50,15,17,Yes,0,1
general-works/Glint,https://github.com/general-works/general-works/Glint,2025-05-18T14:32:37Z,2025-05-18,0,4,0,1,2,Yes,1,3
ogxd/gxhash,https://github.com/ogxd/ogxd/gxhash,2023-09-12T20:05:01Z,2024-07-29,11,24,68,51,12,Yes,178,103
matthiaskrgr/cargo-cache,https://github.com/matthiaskrgr/matthiaskrgr/cargo-cache,2017-12-05T23:31:11Z,2024-07-28,80,93,17,128,8,Yes,0,411
gimli-rs/gimli,https://github.com/gimli-rs/gimli-rs/gimli,2016-06-15T00:39:04Z,2024-07-31,98,111,563,225,72,Yes,104,10
orhun/ratzilla,https://github.com/orhun/orhun/ratzilla,2025-01-01T23:56:29Z,2025-01-14,0,8,77,48,17,Yes,315,54
tqwewe/kameo,https://github.com/tqwewe/tqwewe/kameo,2024-03-29T14:57:41Z,2024-09-02,5,17,138,67,19,Yes,494,132
warycat/rustgym,https://github.com/warycat/warycat/rustgym,2019-06-26T04:14:32Z,2024-11-13,65,75,27,50,6,Yes,11,3
aripiprazole/rinha-de-compiler,https://github.com/aripiprazole/aripiprazole/rinha-de-compiler,2023-09-06T16:08:00Z,,,24,279,17,193,No,0,0
Nazariglez/notan,https://github.com/Nazariglez/Nazariglez/notan,2019-10-09T09:55:11Z,2024-07-27,58,71,225,131,32,Yes,452,10
lunatic-solutions/submillisecond,https://github.com/lunatic-solutions/lunatic-solutions/submillisecond,2022-05-04T13:20:43Z,,,40,84,43,10,No,0,0
heim-rs/heim,https://github.com/heim-rs/heim-rs/heim,2019-04-11T12:37:15Z,2024-07-28,64,77,134,241,18,Yes,368,43
dtolnay/trybuild,https://github.com/dtolnay/dtolnay/trybuild,2019-05-04T20:27:23Z,2024-07-28,63,76,170,144,26,Yes,502,15
Xuanwo/backon,https://github.com/Xuanwo/Xuanwo/backon,2022-04-12T11:48:23Z,2024-07-29,28,41,130,54,25,Yes,781,57
Kobzol/cargo-wizard,https://github.com/Kobzol/Kobzol/cargo-wizard,2024-03-03T15:21:27Z,2025-04-25,14,18,14,13,2,Yes,5,0
mmastrac/rust-ctor,https://github.com/mmastrac/mmastrac/rust-ctor,2018-12-06T03:50:42Z,2024-09-13,69,81,270,72,31,Yes,65,44
daboross/fern,https://github.com/daboross/daboross/fern,2014-12-16T01:43:47Z,2024-10-20,118,129,67,83,24,Yes,16,19
DNSCrypt/doh-server,https://github.com/DNSCrypt/DNSCrypt/doh-server,2018-02-05T23:29:47Z,2024-11-03,81,91,44,62,8,Yes,329,11
magic-wormhole/magic-wormhole.rs,https://github.com/magic-wormhole/magic-wormhole/magic-wormhole.rs,2018-03-15T20:33:15Z,2024-07-27,76,90,174,147,33,Yes,574,142
Lokathor/bytemuck,https://github.com/Lokathor/Lokathor/bytemuck,2019-09-20T00:43:50Z,2024-07-28,58,72,177,137,69,Yes,147,29
jetli/rust-yew-realworld-example-app,https://github.com/jetli/jetli/rust-yew-realworld-example-app,2019-11-04T03:57:57Z,,,70,24,27,6,No,0,0
smol-rs/async-channel,https://github.com/smol-rs/smol-rs/async-channel,2020-05-31T00:00:08Z,2024-07-28,50,63,61,49,24,Yes,77,17
hahwul/jwt-hack,https://github.com/hahwul/hahwul/jwt-hack,2020-07-02T16:17:09Z,2024-08-02,49,62,37,30,10,Yes,211,29
fast/fastrace,https://github.com/fast/fast/fastrace,2024-07-16T09:42:30Z,2024-07-28,0,14,87,45,36,Yes,331,108
Gankra/cargo-mommy,https://github.com/Gankra/Gankra/cargo-mommy,2022-12-19T06:50:20Z,2024-07-27,19,33,56,36,17,Yes,52,71
dtolnay/miniserde,https://github.com/dtolnay/dtolnay/miniserde,2018-09-13T15:58:47Z,2024-07-28,70,84,38,23,7,Yes,436,16
nnethercote/dhat-rs,https://github.com/nnethercote/nnethercote/dhat-rs,2020-12-07T01:09:42Z,2025-02-20,50,57,15,28,8,Yes,0,1
awesome-rust-com/awesome-rust,https://github.com/awesome-rust-com/awesome-rust-com/awesome-rust,2019-08-29T07:24:51Z,2024-08-17,60,72,55,8,52,Yes,28,0
djc/bb8,https://github.com/djc/djc/bb8,2018-01-29T21:38:04Z,2024-07-27,78,91,160,99,45,Yes,197,46
8051Enthusiast/biodiff,https://github.com/8051Enthusiast/8051Enthusiast/biodiff,2021-05-23T06:37:49Z,2024-08-06,38,52,3,19,4,Yes,6,2
awslabs/flowgger,https://github.com/awslabs/awslabs/flowgger,2015-08-09T17:08:53Z,2025-06-16,118,121,47,40,17,Yes,7,1
rust-num/num-traits,https://github.com/rust-num/rust-num/num-traits,2017-12-19T01:37:18Z,2024-07-27,79,93,175,186,131,Yes,46,28
rust-lang/rustfix,https://github.com/rust-lang/rust-lang/rustfix,2016-07-07T09:24:03Z,,,110,108,102,35,No,0,0
image-rs/imageproc,https://github.com/image-rs/image-rs/imageproc,2015-09-27T18:11:32Z,2024-07-28,106,119,468,255,80,Yes,661,59
dtolnay/proc-macro2,https://github.com/dtolnay/dtolnay/proc-macro2,2017-05-20T02:35:07Z,2024-07-28,86,100,295,222,31,Yes,557,45
pendulum-project/ntpd-rs,https://github.com/pendulum-project/pendulum-project/ntpd-rs,2022-03-04T19:15:34Z,2024-07-28,29,42,1661,280,34,Yes,2373,390
linebender/kurbo,https://github.com/linebender/linebender/kurbo,2018-12-27T17:17:06Z,2024-08-02,67,80,393,110,49,Yes,486,67
