name,Has Tests (static),Tests in CI (configured),Tests in CI (recent runs),Test Tool (guess),Test Evidence,Coverage Latest (%),Coverage Mean (%),Coverage Best (%),Coverage Samples,Method,Latest Run ID,Latest Run Date
select.rs,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,16561185726,2025-07-28T05:50:42Z
zino,No,Yes,No,cargo,workflow,,,,0,,17210654168,2025-08-25T13:43:10Z
cornucopia,Yes,Yes,No,cargo,files/workflow,,,,0,,,
cicada,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,17179470254,2025-08-23T19:47:40Z
tuono,No,Yes,Yes,cargo,jobs/workflow,,,,0,,17217450523,2025-08-25T18:32:51Z
ipc-channel,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,17162776533,2025-08-22T18:14:33Z
btleplug,No,Yes,Yes,cargo,jobs/workflow,,,,0,,16416019516,2025-07-21T11:42:43Z
bevy_game_template,No,Yes,Yes,cargo,jobs/workflow,,,,0,,16024140702,2025-07-02T11:41:28Z
portable-simd,No,Yes,Yes,cargo,jobs/workflow,,,,0,,17250478031,2025-08-26T21:07:16Z
nox,No,Yes,Yes,pytest,jobs/logs/workflow,,,,0,,15387977949,2025-06-02T08:50:31Z
eframe_template,No,Yes,Yes,cargo,jobs/workflow,,,,0,,16215532554,2025-07-11T08:30:07Z
riscv,No,Yes,Yes,cargo,jobs/workflow,,,,0,,16932329262,2025-08-13T08:49:33Z
lorri,Yes,Yes,No,cargo,files/workflow,,,,0,,,
rutie,No,Yes,No,cargo,workflow,,,,0,,,
lodestone,No,Yes,No,cargo,workflow,,,,0,,,
lingua-rs,Yes,Yes,No,pytest,files/workflow,,,,0,,17245529102,2025-08-26T17:19:54Z
kati,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,17209578488,2025-08-25T13:00:13Z
confy,No,Yes,No,cargo,workflow,,,,0,,17213131635,2025-08-25T15:21:40Z
tetra,No,Yes,No,cargo,workflow,,,,0,,15137182637,2025-05-20T12:12:26Z
voicevox_core,No,Yes,No,cargo,workflow,,,,0,,17242390734,2025-08-26T15:09:49Z
onetun,No,Yes,No,cargo,workflow,,,,0,,17218105564,2025-08-25T19:02:29Z
hydro,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,17253543148,2025-08-27T00:08:25Z
alloy,No,Yes,Yes,cargo,jobs/workflow,,,,0,,17252891602,2025-08-26T23:23:00Z
printpdf,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,17207175777,2025-08-25T11:13:37Z
tmux-thumbs,No,Yes,No,cargo,workflow,,,,0,,,
pathfinding,Yes,Yes,No,cargo,files/workflow,,,,0,,17191888823,2025-08-24T17:46:32Z
avml,Yes,Yes,No,cargo,files/workflow,,,,0,,17251758704,2025-08-26T22:14:25Z
bdk,No,Yes,Yes,cargo,jobs/workflow,,,,0,,17237371423,2025-08-26T11:57:47Z
argc,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,16818340532,2025-08-07T23:46:55Z
swift-bridge,No,Yes,Yes,cargo,jobs/workflow,,,,0,,15258773188,2025-05-26T16:51:45Z
snow,Yes,No,No,cargo,files,,,,0,,17232836566,2025-08-26T08:42:09Z
bstr,No,Yes,Yes,cargo,jobs/workflow,,,,0,,17225342710,2025-08-26T01:33:07Z
realworld-axum-sqlx,No,Yes,No,cargo,workflow,,,,0,,,
color-eyre,Yes,Yes,No,cargo,files/workflow,,,,0,,,
fundsp,Yes,Yes,No,cargo,files/workflow,,,,0,,17111811935,2025-08-20T22:26:37Z
pulsar,No,Yes,Yes,,jobs/workflow,,,,0,,16619830936,2025-07-30T10:17:05Z
customasm,Yes,Yes,No,cargo,files/workflow,,,,0,,16572595434,2025-07-28T15:01:39Z
lemurs,No,No,No,,,,,,0,,15051486413,2025-05-15T17:32:58Z
kunai,No,Yes,Yes,,jobs/workflow,,,,0,,17240226911,2025-08-26T13:50:00Z
pwninit,No,Yes,No,cargo,workflow,,,,0,,,
trow,Yes,Yes,Yes,go,files/jobs/logs/workflow,,,,0,,17215195431,2025-08-25T16:52:06Z
rust-zmq,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,16019457459,2025-07-02T07:59:25Z
tachyonfx,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,17197597556,2025-08-25T02:40:59Z
ClojureRS,No,Yes,No,cargo,workflow,,,,0,,,
serie,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,17211332731,2025-08-25T14:10:02Z
env_logger,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,17143312979,2025-08-22T01:18:04Z
glaredb,No,Yes,No,cargo,workflow,,,,0,,17247855813,2025-08-26T19:04:00Z
cargo-mutants,Yes,Yes,No,cargo,files/workflow,,,,0,,17195968391,2025-08-25T00:38:48Z
rustypaste,No,Yes,No,,workflow,,,,0,,17237364536,2025-08-26T11:57:27Z
kira,No,Yes,Yes,cargo,jobs/workflow,,,,0,,16874013092,2025-08-11T07:47:24Z
kas,Yes,Yes,Yes,cargo,files/jobs/workflow,,,,0,,17149654947,2025-08-22T07:58:45Z
autopy,No,No,No,,,,,,0,,17157915077,2025-08-22T14:25:09Z
chromiumoxide,No,Yes,Yes,cargo,jobs/workflow,,,,0,,15933526774,2025-06-27T18:39:51Z
