name,Has Tests (static),Tests in CI (configured),Tests in CI (recent runs),Coverage in CI (configured),Coverage Tool (configured),Test Tool (guess),Test Evidence,Coverage Latest (%),Coverage Mean (%),Coverage Best (%),Coverage Samples,Method,Latest Run ID,Latest Run Date
select.rs,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,16561185726,2025-07-28T05:50:42Z
ipc-channel,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17285607029,2025-08-28T04:15:06Z
portable-simd,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17250478031,2025-08-26T21:07:16Z
confy,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17213131635,2025-08-25T15:21:40Z
onetun,No,Yes,No,Yes,cargo/upload-artifact,cargo,workflow,,,,0,,17218105564,2025-08-25T19:02:29Z
pathfinding,Yes,Yes,No,Yes,cargo,cargo,files/workflow,,,,0,,17191888823,2025-08-24T17:46:32Z
avml,Yes,Yes,No,Yes,upload-artifact,cargo,files/workflow,,,,0,,17280295515,2025-08-27T22:29:21Z
bdk,No,Yes,Yes,Yes,codecov/coveralls/llvm-cov/report-file/upload-artifact,cargo,jobs/workflow,79.1,80.4,82.7,3,logs,17282925858,2025-08-28T01:17:29Z
alloy,No,Yes,Yes,Yes,llvm-tools,cargo,jobs/workflow,,,,0,,17288783862,2025-08-28T07:20:32Z
snow,Yes,No,Yes,Yes,llvm-tools,cargo,files/jobs/workflow,,,,0,,17290407071,2025-08-28T08:33:22Z
bstr,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17283157754,2025-08-28T01:32:40Z
fundsp,Yes,Yes,No,Yes,cargo,cargo,files/workflow,,,,0,,17111811935,2025-08-20T22:26:37Z
rust-zmq,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,16019457459,2025-07-02T07:59:25Z
rustypaste,No,Yes,No,Yes,codecov/llvm-cov/llvm-tools/report-file,,files/workflow,,,,0,,17265514615,2025-08-27T11:33:51Z
serie,Yes,Yes,Yes,Yes,upload-artifact,cargo,files/jobs/workflow,,,,0,,17281618692,2025-08-27T23:53:05Z
cargo-mutants,Yes,Yes,No,Yes,llvm-tools/upload-artifact,cargo,files/workflow,,,,0,,17195968391,2025-08-25T00:38:48Z
kira,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,16874013092,2025-08-11T07:47:24Z
telegram-bot,No,Yes,No,Yes,cargo,cargo,workflow,,,,0,,,
chromiumoxide,No,Yes,Yes,Yes,cargo,cargo,jobs/workflow,,,,0,,15933526774,2025-06-27T18:39:51Z
kameo,Yes,Yes,Yes,No,,cargo,files/jobs/logs/workflow,,,,0,,17203709227,2025-08-25T08:36:44Z
gxhash,Yes,Yes,Yes,Yes,upload-artifact,cargo,files/jobs/workflow,,,,0,,15096439182,2025-05-18T13:28:08Z
cv,No,Yes,Yes,Yes,cargo,cargo,jobs/workflow,,,,0,,16455957941,2025-07-22T21:30:30Z
duct.rs,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,16708565185,2025-08-03T19:21:31Z
cargo-cache,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17284949215,2025-08-28T03:31:08Z
volt,No,No,No,Yes,cargo,,workflow,,,,0,,,
Glint,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17101372505,2025-08-20T14:26:46Z
ratzilla,No,Yes,Yes,Yes,llvm-tools,cargo,jobs/workflow,,,,0,,17072370876,2025-08-19T14:15:10Z
ntpd-rs,No,Yes,Yes,Yes,codecov/instrument-coverage/llvm-cov/llvm-tools/report-file/upload-artifact,cargo,files/jobs/workflow,,,,0,,17285495578,2025-08-28T04:07:40Z
gimli,Yes,Yes,Yes,Yes,coveralls/llvm-tools/report-file/tarpaulin/upload-artifact,cargo,files/jobs/workflow,,,,0,,17287554238,2025-08-28T06:19:18Z
rinha-de-compiler,No,No,No,Yes,cargo,,workflow,,,,0,,,
notan,No,Yes,No,Yes,cargo,cargo,workflow,,,,0,,17265444148,2025-08-27T11:30:34Z
backon,No,Yes,No,No,,cargo,workflow,,,,0,,17268269105,2025-08-27T13:32:47Z
rustgym,No,Yes,No,No,,cargo,workflow,,,,0,,12557231223,2024-12-31T08:14:41Z
