name,Has Tests (static),Tests in CI (configured),Tests in CI (recent runs),Coverage in CI (configured),Coverage Tool (configured),Test Tool (guess),Test Evidence,Coverage Latest (%),Coverage Mean (%),Coverage Best (%),Coverage Samples,Method,Latest Run ID,Latest Run Date
cornucopia,Yes,Yes,No,Yes,cargo,cargo,files/workflow,,,,0,,,
tuono,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17358243092,2025-08-31T14:10:40Z
cicada,Yes,Yes,Yes,Yes,upload-artifact,cargo,files/jobs/workflow,,,,0,,17179470254,2025-08-23T19:47:40Z
btleplug,No,Yes,No,Yes,codecov/grcov/instrument-coverage/report-file,cargo,workflow,,,,0,,16416019516,2025-07-21T11:42:43Z
zino,No,Yes,No,No,,cargo,workflow,,,,0,,17634165116,2025-09-11T04:37:42Z
bevy_game_template,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,16024140702,2025-07-02T11:41:28Z
eframe_template,No,Yes,Yes,Yes,cargo,cargo,jobs/workflow,,,,0,,16215532554,2025-07-11T08:30:07Z
riscv,No,Yes,No,No,,cargo,workflow,,,,0,,17630013117,2025-09-11T00:09:16Z
rutie,No,Yes,No,No,,cargo,workflow,,,,0,,13400448231,2025-02-18T21:32:30Z
lorri,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,,
nox,No,Yes,No,Yes,llvm-tools/upload-artifact,pytest,workflow,,,,0,,15387977949,2025-06-02T08:50:31Z
kati,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17618131726,2025-09-10T15:06:40Z
lodestone,No,Yes,No,Yes,cargo/upload-artifact,cargo,workflow,,,,0,,,
tetra,No,Yes,No,No,,cargo,workflow,,,,0,,15137182637,2025-05-20T12:12:26Z
printpdf,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17595573739,2025-09-09T21:03:09Z
tmux-thumbs,No,Yes,No,Yes,coveralls/tarpaulin/upload-artifact,cargo,workflow,,,,0,,,
argc,Yes,Yes,Yes,Yes,llvm-tools,cargo,files/jobs/workflow,,,,0,,16818340532,2025-08-07T23:46:55Z
hydro,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17633643794,2025-09-11T04:03:44Z
