name,Runs Analyzed,Number of Broken Builds,First Quartile,Mean Duration,Third Quartile
0x192/universal-android-debloater,1,1,284,284.0,284
0x676e67/thunder,0,,,,
1Password/arboard,100,10,0,8.1,5
3Hren/msgpack-rust,2,1,220,220.0,220
8051Enthusiast/biodiff,8,2,0,0.0,0
Abraxas-365/langchain-rust,100,20,0,4.8,7
Aleph-Alpha/ts-rs,100,7,0,2.0,5
Aloxaf/silicon,11,2,0,176.0,352
Amanieu/parking_lot,45,2,0,63.5,127
Axect/Peroxide,81,10,0,0.7,0
BurntSushi/aho-corasick,100,1,9,9.0,9
BurntSushi/bstr,100,1,4,4.0,4
BurntSushi/byteorder,100,0,0,0,0
Canop/termimad,21,0,0,0,0
Chleba/netscanner,42,2,0,0.5,1
Cretezy/lazyjj,100,18,0,0.67,1
DNSCrypt/doh-server,100,3,0,0.0,0
DNSCrypt/encrypted-dns-server,100,2,0,0.0,0
Detegr/rust-ctrlc,20,2,0,0.0,0
EFForg/apkeep,14,0,0,0,0
EmbarkStudios/cargo-deny,100,6,0,3.33,1
EmbarkStudios/puffin,100,31,0,0.29,0
Eugeny/russh,100,4,0,0.0,0
Findomain/Findomain,100,16,0,0.0,0
Fullstop000/wickdb,0,,,,
Gankra/cargo-mommy,100,1,247,247.0,247
HigherOrderCO/Bend,100,13,0,9.38,3
J-F-Liu/lopdf,100,10,0,2.7,4
JakWai01/lurk,19,2,0,0.0,0
JelteF/derive_more,100,6,0,0.0,0
Jondolf/avian,100,15,0,0.53,0
Julien-cpsn/ATAC,100,9,0,0.0,0
KOBA789/relly,0,,,,
Keats/jsonwebtoken,28,4,3,80.5,153
Keats/validator,50,5,0,6.8,3
KipData/KiteSQL,100,21,0,0.05,0
Kobzol/cargo-pgo,65,5,0,15.6,36
Kobzol/cargo-wizard,6,0,0,0,0
Leafwing-Studios/leafwing-input-manager,100,12,0,1.83,3
LeeeSe/MessAuto,20,2,0,0.0,0
Lokathor/bytemuck,100,6,0,4.5,9
LukeMathWalker/cargo-chef,100,0,0,0,0
LukeMathWalker/wiremock-rs,100,9,0,0.0,0
Macchina-CLI/macchina,55,10,0,5.6,0
Manishearth/rust-gc,8,1,0,0.0,0
Marwes/combine,4,0,0,0,0
Nazariglez/notan,100,1,0,0.0,0
NiklasEi/bevy_asset_loader,81,11,0,15.73,43
Nilirad/bevy_prototype_lyon,100,7,0,27.86,6
NilsIrl/MozWire,4,0,0,0,0
Nukesor/comfy-table,100,5,1,3.0,4
PaulJuliusMartinez/jless,8,1,371,371.0,371
Peternator7/strum,37,8,0,4.88,0
