name,Runs Analyzed,Number of Broken Builds,First Quartile,Mean Duration,Third Quartile
01mf02/jaq,100,13,0,0.69,1
0b01/tectonicdb,0,,,,
0x676e67/ninja,0,,,,
0x676e67/rnet,100,10,0,0.0,0
0x727/FingerprintHub,100,6,0,0.17,0
0xAlcibiades/mev-bundle-generator,0,,,,
0xMiden/miden-vm,100,4,0,0.0,0
0xPlaygrounds/rig,100,12,0,0.0,0
0xPolygonZero/plonky2,100,12,0,0.17,0
0xlane/wechat-dump-rs,30,0,0,0,0
1595901624/gpt-aggregated-edition,0,,,,
17cupsofcoffee/tetra,15,1,0,0.0,0
1Password/typeshare,100,4,0,0.0,0
AFLplusplus/LibAFL,100,14,0,0.36,0
AcalaNetwork/Acala,100,17,0,2.94,0
AccessKit/accesskit,100,6,0,1.33,1
AlexEne/twiggy,100,0,0,0,0
AmbientRun/Ambient,2,0,0,0,0
AmmarAbouZor/tui-journal,100,4,0,5.25,0
AmrDeveloper/GQL,100,3,0,0.0,0
Andy-Python-Programmer/aero,27,1,0,0.0,0
Anush008/fastembed-rs,100,14,0,1.79,2
AppFlowy-IO/AppFlowy-Cloud,100,9,0,3.67,7
ArroyoSystems/arroyo,100,8,0,0.0,0
ArthurBrussee/brush,100,7,0,0.0,0
AsahiLinux/muvm,100,12,0,1.67,2
AstarNetwork/Astar,100,12,0,0.0,0
Atome-FE/llama-node,0,,,,
Auburn/FastNoiseLite,0,,,,
Automattic/harper,100,1,0,0.0,0
Azure/azure-sdk-for-rust,100,0,0,0,0
BVE-Reborn/rend3,1,1,250,250.0,250
Barre/privaxy,100,1,4,4.0,4
BinChengZhao/delicate,3,1,386,386.0,386
BloopAI/bloop,41,0,0,0,0
BloopAI/vibe-kanban,100,18,0,0.0,0
Borber/Tran,100,0,0,0,0
Borber/seam,59,0,0,0,0
BoundaryML/baml,100,11,0,0.0,0
BrainiumLLC/cargo-mobile,0,,,,
Brendonovich/prisma-client-rust,8,2,33,109.0,185
Brooooooklyn/canvas,100,17,0,0.53,0
Builditluc/wiki-tui,36,1,6,6.0,6
BurntSushi/fst,100,3,0,0.67,1
BurntSushi/jiff,100,5,1,4.0,1
BurntSushi/memchr,100,3,0,0.0,0
BurntSushi/quickcheck,100,2,0,0.5,1
BurntSushi/ripgrep,100,7,0,0.0,0
BurntSushi/rust-csv,100,3,0,3.33,9
BurntSushi/walkdir,100,2,0,2.5,5
Byron/dua-cli,77,12,0,7.75,12
CADmium-Co/CADmium,65,1,8,8.0,8
CSML-by-Clevy/csml-engine,0,,,,
Canop/broot,100,1,0,0.0,0
CensoredUsername/dynasm-rs,82,0,0,0,0
ChainSafe/forest,100,9,0,0.0,0
ChuckHend/pg_vectorize,100,15,0,0.0,0
ClementTsang/bottom,100,2,0,0.0,0
ComunidadAylas/PackSquash,100,16,0,2.25,0
Conflux-Chain/conflux-rust,100,7,0,0.0,0
CosmWasm/cosmwasm,8,0,0,0,0
Cubxity/typstudio,1,1,155,155.0,155
CyberTimon/RapidRAW,100,4,0,0.0,0
Cyfrin/aderyn,100,9,0,0.0,0
Cysharp/csbindgen,100,0,0,0,0
DataDog/glommio,53,10,0,6.7,0
David-OConnor/pyflow,4,1,388,388.0,388
DelSkayn/rquickjs,100,10,0,0.4,0
DeterminateSystems/nix-installer,100,5,0,0.2,0
Devolutions/IronRDP,100,14,0,0.07,0
DioCrafts/OxiCloud,38,1,59,59.0,59
DioxusLabs/blitz,100,11,0,0.0,0
DioxusLabs/dioxus,100,4,0,0.0,0
DioxusLabs/taffy,100,7,0,0.57,0
Doctave/doctave,0,,,,
DragonOS-Community/DragonOS,100,0,0,0,0
Dushistov/flapigen-rs,100,11,0,6.73,4
Dusk-Labs/dim,2,1,132,132.0,132
EFForg/rayhunter,100,8,0,0.0,0
EasyTier/EasyTier,100,6,0,0.0,0
EmbarkStudios/cargo-about,98,20,0,14.5,1
EmbarkStudios/kajiya,3,1,114,114.0,114
EmbarkStudios/physx-rs,1,0,0,0,0
EmbarkStudios/rust-gpu,20,2,38,200.0,362
EmbarkStudios/texture-synthesis,0,,,,
Enter-tainer/cxx2flow,0,,,,
Equim-chan/Mortal,11,0,0,0,0
Equim-chan/mjai-reviewer,2,1,0,0.0,0
EricLBuehler/mistral.rs,100,16,0,0.25,0
ErikReider/SwayOSD,100,16,0,3.5,5
Eventual-Inc/Daft,100,19,0,0.0,0
FedericoBruzzone/tgt,100,0,0,0,0
Feel-ix-343/markdown-oxide,100,4,0,0.0,0
FoxIO-LLC/ja4,100,13,0,0.0,0
FractalFir/rustc_codegen_clr,100,15,0,14.47,22
Fredolx/open-tv,100,6,0,0.83,0
FuelLabs/fuel-core,100,7,0,0.0,0
FuelLabs/fuels-rs,100,20,0,0.0,0
FuelLabs/sway,100,14,0,0.0,0
FuelLabs/sway-applications,9,1,368,368.0,368
FyroxEngine/Fyrox,100,20,0,0.45,1
GREsau/okapi,8,1,86,86.0,86
GREsau/schemars,100,4,0,1.5,0
GRVYDEV/Project-Lightspeed,0,,,,
Gekkio/mooneye-gb,0,,,,
GetFirefly/firefly,0,,,,
GitoxideLabs/gitoxide,100,2,0,0.0,0
GlareDB/glaredb,100,26,0,0.0,0
GoXLR-on-Linux/goxlr-utility,100,11,0,1.64,1
GraphiteEditor/Graphite,100,5,0,0.0,0
GreptimeTeam/greptimedb,100,8,0,0.0,0
GuillaumeGomez/sysinfo,100,9,0,2.67,0
GyulyVGC/sniffnet,100,7,0,0.0,0
H-M-H/Weylus,47,6,0,20.0,42
HEnquist/camilladsp,100,8,0,4.25,8
HFQR/xitca-web,100,21,0,3.52,0
HaoboGu/rmk,100,11,0,0.18,0
HelixDB/helix-db,100,11,0,0.0,0
HerringtonDarkholme/vue-compiler,100,30,0,0.0,0
Hyde46/hoard,56,12,0,0.33,0
ImageOptim/gifski,20,1,0,0.0,0
ImageOptim/libimagequant,25,2,0,0.5,1
InioX/matugen,100,3,0,2.33,7
Inlyne-Project/inlyne,100,3,0,1.67,5
IntQuant/noita_entangled_worlds,100,8,0,0.12,0
Isona/dirble,79,7,0,33.14,7
JakeStanger/ironbar,100,10,0,0.0,0
JamieMason/syncpack,100,4,0,0.25,0
JohnnyMorganz/StyLua,100,4,0,0.0,0
Jon-Becker/heimdall-rs,100,1,0,0.0,0
Joystream/joystream,100,7,0,3.14,0
JuliaLang/juliaup,100,10,0,0.0,0
KDAB/cxx-qt,100,7,0,0.0,0
KSXGitHub/parallel-disk-usage,100,4,0,0.0,0
Kampfkarren/selene,100,18,0,0.83,0
Keats/tera,100,1,98,98.0,98
KiwiTalk/KiwiTalk,100,0,0,0,0
KonghaYao/cn-font-split,100,6,0,0.5,0
LGFae/swww,100,10,0,5.2,11
LGUG2Z/komorebi,100,4,0,0.25,0
LGUG2Z/whkd,100,0,0,0,0
Lagrange-Labs/deep-prove,100,24,0,0.17,0
LaurentMazare/tch-rs,100,1,367,367.0,367
Lea-fish/Leafish,0,,,,
LeonHartley/Coerce-rs,0,,,,
LibreQoE/LibreQoS,100,38,0,0.0,0
Lissy93/AdGuardian-Term,100,2,0,0.0,0
LlamaEdge/LlamaEdge,100,7,0,0.0,0
Lodestone-Team/lodestone,6,1,9,9.0,9
Lokathor/tinyvec,27,1,0,0.0,0
Lonami/grammers,100,10,0,3.5,0
Losses/rune,100,17,0,11.47,4
LucasPickering/slumber,100,15,0,0.0,0
LukeMathWalker/pavex,100,12,0,0.0,0
LukeMathWalker/zero-to-production,100,1,99,99.0,99
Luminarys/synapse,0,,,,
MCHPR/MCHPRS,100,8,0,2.5,0
MaikKlein/unreal-rust,0,,,,
Marekkon5/onetagger,32,6,0,0.0,0
Martichou/rquickshare,100,16,0,2.56,2
MaterializeInc/materialize,100,1,0,0.0,0
MatthiasGrandl/Loungy,0,,,,
Mic92/cntr,100,0,0,0,0
MirrorX-Desktop/MirrorX,0,,,,
MitMaro/git-interactive-rebase-tool,100,6,0,17.5,8
MobileFirstLLC/social-media-hacker-list,100,17,0,0.41,0
MolotovCherry/virtual-display-rs,100,0,0,0,0
MordechaiHadad/bob,100,16,0,0.88,2
Morganamilo/paru,70,12,0,11.42,18
Myriad-Dreamin/tinymist,100,3,0,0.0,0
Myriad-Dreamin/typst.ts,100,13,0,0.15,0
MystenLabs/sui,100,7,0,0.0,0
Narsil/rdev,87,10,0,0.0,0
NiREvil/vless,100,0,0,0,0
NiklasEi/bevy_game_template,72,17,0,2.0,0
Nukesor/pueue,100,4,0,0.0,0
Ogeon/palette,100,13,0,6.77,0
OpenZeppelin/cairo-contracts,100,4,0,0.0,0
Orange-OpenSource/hurl,100,7,0,0.0,0
Oxen-AI/Oxen,100,15,0,0.33,0
PRQL/prql,100,7,0,0.0,0
PaddiM8/kalker,39,15,0,13.67,0
Pagefind/pagefind,100,6,0,0.0,0
ParkMyCar/compact_str,100,5,0,0.0,0
PhilipK/BoilR,100,11,0,0.45,0
PistonDevelopers/conrod,0,,,,
Plume-org/Plume,14,1,386,386.0,386
PoloDB/PoloDB,100,16,0,7.38,1
PolyMeilex/Neothesia,100,0,0,0,0
PolyMeilex/rfd,100,12,0,3.33,0
ProvableHQ/sdk,100,11,0,0.64,1
ProvableHQ/snarkOS,100,7,0,0.0,0
ProvableHQ/snarkVM,100,6,0,0.17,0
Pumpkin-MC/Pumpkin,100,18,0,0.0,0
PyO3/maturin,100,8,0,0.38,0
PyO3/pyo3,100,13,0,0.0,0
PyO3/rust-numpy,100,19,0,5.63,1
Qiskit/rustworkx,100,7,0,2.71,3
Qovery/Replibyte,46,1,41,41.0,41
RReverser/serde-wasm-bindgen,5,1,179,179.0,179
Ragnt/AngryOxide,100,0,0,0,0
Rahix/avr-hal,100,9,0,0.33,0
ReFirmLabs/binwalk,100,11,0,16.91,21
ReagentX/imessage-exporter,100,2,0,0.0,0
RedisJSON/RedisJSON,100,22,0,0.64,0
Relm4/Relm4,100,8,0,0.0,0
RibirX/Ribir,100,12,0,0.5,0
RiotGames/developer-relations,1,0,0,0,0
Rust-GPU/Rust-CUDA,100,11,0,0.09,0
Rust-GPU/rust-gpu,100,13,0,1.62,1
Rust-SDL2/rust-sdl2,100,16,0,0.0,0
RustAudio/cpal,100,22,0,0.36,0
RustPython/RustPython,100,10,0,0.2,0
Samyak2/toipe,0,,,,
Schniz/fnm,100,15,0,4.4,9
SeaDve/Kooha,89,5,7,33.4,70
SeaDve/Mousai,87,4,0,28.75,48
SeaQL/sea-orm,100,14,0,0.79,2
Sequal32/yourcontrols,16,0,0,0,0
SilasMarvin/lsp-ai,6,1,0,0.0,0
Sjj1024/PacBao,0,,,,
Skallwar/suckit,3,1,93,93.0,93
Skittyblock/aidoku-community-sources,100,8,0,0.38,0
Skxxtz/sherlock,100,6,0,0.17,0
Smithay/smithay,100,13,0,0.69,1
Smithay/wayland-rs,100,12,0,4.25,4
SoptikHa2/desed,13,2,0,0.0,0
SorellaLabs/brontes,100,1,95,95.0,95
Speykious/cve-rs,3,1,56,56.0,56
SpikeHD/Dorion,100,24,0,0.67,0
Spu7Nix/SPWN-language,0,,,,
StarArawn/bevy_ecs_tilemap,100,10,0,1.3,1
StarlightSearch/EmbedAnything,100,0,0,0,0
Start9Labs/start-os,100,18,0,0.0,0
StractOrg/stract,100,5,0,34.6,0
Stranger6667/jsonschema,100,16,0,0.0,0
Stremio/stremio-core,100,3,0,0.0,0
Svetlitski/fcp,0,,,,
TaKO8Ki/frum,0,,,,
TabbyML/tabby,100,15,0,0.0,0
TeamFlos/phira,100,6,0,4.17,3
