name,Runs Analyzed,Broken >2 Days,Max Broken Days
100-exercises-to-learn-rust,100,8,69
AEADs,100,0,0
ALVR,100,0,0
ATAC,100,2,18
Acala,100,4,30
AdGuardian-Term,100,0,0
Ambient,2,0,0
AngryOxide,100,0,0
AppFlowy-Cloud,100,2,10
AppToolkit,0,,
Ares,100,0,0
Astar,100,0,0
Av1an,100,1,3
Bend,100,6,86
BetterNCM-Installer,1,1,328
BoilR,100,1,4
BugStalker,100,0,0
CADmium,62,0,0
ClojureRS,0,,
Coerce-rs,0,,
CreuSAT,5,0,0
Daft,100,0,0
Damn_Vulnerable_C_Program,85,0,0
Dorion,100,2,9
DragonOS,100,0,0
ESP32-Cheap-Yellow-Display,100,1,10
EasyTier,100,0,0
Ebou,0,,
Egregoria,4,1,318
EmbedAnything,100,0,0
FastNoiseLite,0,,
Figment,11,0,0
Findomain,100,0,0
FingerprintHub,100,0,0
Fyrox,100,1,4
GModPatchTool,6,1,334
GQL,100,0,0
Glint,4,2,18
GlobalProtect-openconnect,100,1,71
Good-MITM,0,,
Graphite,100,0,0
IRust,82,0,1
ImHex-Patterns,100,0,2
IronCalc,100,0,0
IronRDP,100,0,0
KeyEcho,0,,
Kindelia,0,,
KiteSQL,100,0,1
KiwiTalk,100,0,0
Kooha,100,3,81
Krakatau,2,0,0
LACT,100,0,0
Leafish,2,1,400
LibAFL,100,1,3
LibreQoS,100,0,0
LlamaEdge,100,0,0
LocustDB,100,1,53
Loungy,0,,
MCHPRS,100,3,15
MIRAI,30,0,0
MarkFlowy,100,0,0
MessAuto,19,0,0
MirrorX,0,,
Mortal,12,0,0
Mousai,94,2,58
MozWire,4,0,0
MusicGPT,78,0,2
Neothesia,100,0,0
NimPlant,8,0,0
Nova,100,1,3
Nping,100,0,0
OctaSine,0,,
OctoBase,91,1,7
OffensiveNotion,0,,
OpenSK,100,0,0
OpenVehicleDiag,33,1,32
Oxen,100,1,3
OxiCloud,37,1,59
PacBao,100,2,10
PackSquash,100,1,22
Peng,100,0,0
Peroxide,87,1,7
Plonky3,100,0,2
Plume,14,1,400
PoloDB,100,3,100
Project-Lightspeed,0,,
Pumpkin,100,0,0
PyOxidizer,100,0,0
RSA,100,0,0
RapidRAW,100,0,0
ReGreet,63,1,44
RedisJSON,100,2,7
Relm4,100,0,0
Replibyte,46,1,23
Ribir,100,0,1
Rocket,100,3,54
Rudra,0,,
Rust,100,0,0
Rust-CUDA,100,0,0
Rust-Flashcards,0,,
RustFFT,33,1,38
RustPython,100,0,0
RustQuant,100,2,5
RustScan,100,0,2
SPWN-language,2,1,409
SQLPage,100,0,0
Satty,100,0,0
Seelen-UI,100,0,2
ServerStatus-Rust,53,3,82
SpacetimeDB,100,0,0
Spartan,25,1,12
StyLua,100,0,0
SwayOSD,100,6,21
Symphonia,100,3,95
Theseus,100,0,1
ToMoon,21,0,0
Toshi,0,,
Tran,100,0,0
VectorChord,100,0,0
WASI,3,0,0
WSL-Hello-sudo,0,,
Weylus,42,2,76
Xline,100,0,0
ZLUDA,100,1,3
ZoKrates,3,0,0
aHash,53,2,59
ab-av1,100,0,0
abscissa,100,0,0
abstreet,17,1,59
accesskit,100,1,7
actix,100,0,1
actix-extras,100,1,3
actix-net,100,0,0
actix-web,100,0,0
ad,100,0,0
adblock-rust,100,0,0
aderyn,100,0,0
adsb_deku,100,1,61
advent-of-code-rust,12,0,0
aero,36,0,0
afl.rs,100,1,4
agate,100,0,0
agatedb,0,,
age-plugin-yubikey,100,0,2
agg,36,0,0
aho-corasick,100,0,0
ai-gateway,100,1,6
aichat,100,1,3
aici,97,5,6
aidoku-community-sources,100,1,3
aigc,0,,
ajour,68,1,343
akri,100,0,0
akula,0,,
alacritty,100,0,1
algebra,100,0,0
aliyundrive-fuse,0,,
aliyundrive-webdav,52,9,147
alloy,100,0,1
allsorts,21,1,40
always-online-stun,100,0,0
amazon-q-developer-cli,100,0,0
amber,100,0,0
amber,100,0,1
amdgpu_top,100,0,0
amethyst,0,,
ammonia,35,2,18
amp,80,1,48
anchor,100,0,1
angle-grinder,51,1,206
ante,100,7,38
anyhow,100,0,0
anyrun,100,2,61
apalis,100,0,0
apkeep,14,0,0
apple-platform-rs,100,0,0
application-services,100,0,2
aptos-core,100,0,0
aquascope,100,4,11
arbiter,100,1,87
arbitrary,68,4,17
arboard,99,3,60
arc-swap,100,3,6
arceos,100,0,0
archgw,100,0,0
argc,58,0,0
argh,19,2,54
argmin,100,0,0
ariadne,37,5,132
arkflow,100,0,0
arnis,100,0,1
arpchat,0,,
arrayfire-rust,0,,
arrayvec,58,4,55
arrow-rs,100,0,0
arrow2,0,,
arroyo,100,0,0
artemis,0,,
artichoke,100,0,0
asciinema,100,2,13
ash,100,0,1
askama,100,0,1
ast-grep,100,0,0
asterinas,100,0,0
async-channel,96,4,56
async-graphql,100,4,56
async-raft,0,,
async-std,41,2,164
async-stream,72,3,185
async-stripe,100,10,33
async-trait,100,0,0
atm-cli,0,,
atsamd,100,2,3
attic,100,0,1
atuin,100,0,0
audioserve,100,0,0
aurae,100,0,0
auron,100,0,0
auto-commit,0,,
autocorrect,100,1,3
autocxx,100,11,21
autometrics-rs,25,3,309
autopy,42,1,6
avail,100,0,0
avail-light,100,3,3
avbroot,100,0,0
avian,100,1,6
avml,100,0,0
avr-hal,100,1,3
awesome-alternatives-in-rust,0,,
awesome-rust,36,0,0
awesome-rust,100,0,0
awrit,100,0,0
aws-lambda-rust-runtime,100,1,7
aws-lambda-web-adapter,100,0,0
aws-sdk-rust,100,0,0
aws-secretsmanager-agent,100,1,4
axum,100,1,7
axum-login,100,0,0
aya,100,0,0
azul,100,2,139
azure-sdk-for-rust,100,0,0
