Project,Bug Issues Before CI,Bug Issues After CI
utkarshkukreti/select.rs,13,0
rust-cli/confy,26,3
rust-lang/portable-simd,53,9
aramperes/onetun,12,0
servo/ipc-channel,49,11
mcginty/snow,20,2
SamiPerttu/fundsp,7,2
BurntSushi/bstr,30,3
erickt/rust-zmq,84,3
lusingander/serie,0,7
evenfurther/pathfinding,18,6
tesselode/kira,23,10
mattsse/chromiumoxide,48,20
microsoft/avml,10,0
orhun/rustypaste,14,12
rust-cv/cv,11,0
ogxd/gxhash,14,4
oconnor663/duct.rs,27,0
sourcefrog/cargo-mutants,74,33
general-works/Glint,0,1
tqwewe/kameo,3,33
matthiaskrgr/cargo-cache,37,5
gimli-rs/gimli,115,9
orhun/ratzilla,3,6
warycat/rustgym,2,0
Nazariglez/notan,39,6
heim-rs/heim,46,2
dtolnay/trybuild,100,10
Kobzol/cargo-wizard,6,0
Xuanwo/backon,9,5
DNSCrypt/doh-server,28,2
mmastrac/rust-ctor,24,8
daboross/fern,34,1
Lokathor/bytemuck,43,11
magic-wormhole/magic-wormhole.rs,39,13
smol-rs/async-channel,15,1
hahwul/jwt-hack,4,1
fast/fastrace,0,16
Gankra/cargo-mommy,4,1
nnethercote/dhat-rs,21,1
dtolnay/miniserde,8,2
awesome-rust-com/awesome-rust,1,0
djc/bb8,45,7
8051Enthusiast/biodiff,8,1
awslabs/flowgger,8,1
rust-num/num-traits,64,3
dtolnay/proc-macro2,101,14
image-rs/imageproc,55,7
linebender/kurbo,31,2
aevyrie/bevy_mod_picking,57,5
pacak/cargo-show-asm,36,11
pendulum-project/ntpd-rs,55,23
messense/jieba-rs,3,1
bitcoindevkit/bdk,226,64
rust-lang/datafrog,3,0
kriomant/ch57x-keyboard-tool,38,10
rust-av/rust-av,15,0
bluss/arrayvec,20,2
rust-osdev/bootimage,38,3
Leafwing-Studios/leafwing-input-manager,75,34
tokio-rs/slab,12,0
autometrics-dev/autometrics-rs,22,2
bbqsrc/cargo-ndk,52,18
RoaringBitmap/roaring-rs,16,3
actix/actix-extras,87,9
dirs-dev/directories-rs,14,0
riquito/tuc,6,0
zcash/halo2,98,0
lichess-org/fishnet,60,2
rust-fuzz/arbitrary,38,10
jonhoo/bus,10,0
lucaspoffo/renet,11,4
1Password/arboard,27,6
ivmarkov/rust-esp32-std-demo,98,0
not-fl3/nanoserde,21,2
robmikh/minesweeper-rs,7,0
kyoheiu/felix,45,5
Trouv/bevy_ecs_ldtk,60,8
tower-rs/tower-http,105,22
smartcorelib/smartcore,29,3
dyc3/steamguard-cli,74,14
nashaofu/xcap,26,14
dfrg/swash,7,4
microsoft/Spartan,5,1
SergioBenitez/Figment,45,13
talwat/lowfi,0,21
tauri-apps/window-vibrancy,18,6
ibraheemdev/papaya,2,6
fspoettel/advent-of-code-rust,7,4
meilisearch/heed,38,11
rust-embedded/svd2rust,140,17
ccxt/binance-rs,33,4
dtolnay/erased-serde,20,5
fu5ha/ultraviolet,17,0
microsoft/Nova,9,2
jonasbb/serde_with,79,18
alloy-rs/alloy,127,185
Nilirad/bevy_prototype_lyon,29,6
RustCrypto/AEADs,39,10
matklad/xshell,26,1
hyperium/h3,32,11
rust-analyzer/rowan,17,10
paritytech/jsonrpsee,175,22
gimli-rs/object,72,10
RustCrypto/password-hashes,34,11
rust-secure-code/cargo-auditable,27,9
mattsse/voyager,3,0
boinkor-net/governor,17,8
jam1garner/binrw,81,11
twilight-rs/twilight,176,4
mlange-42/git-graph,9,0
veeso/tui-realm,31,7
tikv/minitrace-rust,32,0
dtolnay/reflect,4,1
lipanski/mockito,54,5
davidB/kubectl-view-allocations,24,5
jprochazk/garde,36,7
yassinebridi/serpl,4,8
servo/font-kit,40,5
cmyr/cargo-instruments,36,0
bee-san/Ares,40,0
jeromefroe/lru-rs,17,0
dirs-dev/dirs-rs,12,1
LukeMathWalker/wiremock-rs,33,4
dtolnay/dyn-clone,7,0
owo-colors/owo-colors,12,6
avr-rust/ruduino,13,0
taiki-e/cargo-hack,35,8
ccbrown/iocraft,0,19
orhun/halp,10,0
chenxiaolong/avbroot,72,33
dtolnay/indoc,18,0
sstadick/hck,15,1
statrs-dev/statrs,37,10
dimforge/parry,35,14
rust-windowing/gl-rs,81,0
oxidecomputer/progenitor,77,30
n0-computer/sendme,3,12
mdeloof/statig,10,7
tokio-rs/async-stream,23,1
gsquire/topngx,1,0
oxidecomputer/typify,75,31
dtolnay/prettyplease,13,3
Kobzol/cargo-pgo,9,5
yaa110/nomino,6,2
esp-rs/std-training,37,4
alexcrichton/tar-rs,86,6
makeecat/Peng,0,1
rsadsb/adsb_deku,25,3
RustCrypto/block-ciphers,18,3
mbrubeck/agate,31,0
PistonDevelopers/glfw-rs,103,1
smol-rs/polling,31,2
dragostis/chili,0,2
taiki-e/pin-project,36,0
sudipghimire533/ytui-music,17,4
nushell/reedline,81,23
pubgrub-rs/pubgrub,35,7
dropbox/fast_rsync,1,0
RustCrypto/elliptic-curves,53,13
