Project,Bug Issues Before CI,Bug Issues After CI
utkarshkukreti/select.rs,13,0
aramperes/onetun,12,0
rust-lang/portable-simd,53,10
rust-cli/confy,26,3
servo/ipc-channel,49,11
mcginty/snow,20,2
SamiPerttu/fundsp,7,2
erickt/rust-zmq,84,4
BurntSushi/bstr,31,4
evenfurther/pathfinding,18,6
lusingander/serie,0,7
microsoft/avml,10,0
sourcefrog/cargo-mutants,75,32
orhun/rustypaste,14,12
mattsse/chromiumoxide,52,17
tesselode/kira,23,10
rust-cv/cv,11,0
oconnor663/duct.rs,27,0
suptejas/volt,5,0
general-works/Glint,0,1
ogxd/gxhash,14,4
matthiaskrgr/cargo-cache,37,5
gimli-rs/gimli,115,9
orhun/ratzilla,3,7
tqwewe/kameo,3,33
warycat/rustgym,2,0
Nazariglez/notan,39,6
heim-rs/heim,46,2
dtolnay/trybuild,101,10
Xuanwo/backon,9,5
Kobzol/cargo-wizard,6,0
mmastrac/rust-ctor,24,9
daboross/fern,34,1
DNSCrypt/doh-server,28,2
magic-wormhole/magic-wormhole.rs,40,12
Lokathor/bytemuck,43,11
smol-rs/async-channel,15,1
hahwul/jwt-hack,4,1
fast/fastrace,2,14
Gankra/cargo-mommy,4,1
dtolnay/miniserde,8,2
nnethercote/dhat-rs,21,1
awesome-rust-com/awesome-rust,1,0
djc/bb8,46,6
8051Enthusiast/biodiff,8,1
awslabs/flowgger,8,1
rust-num/num-traits,64,3
image-rs/imageproc,56,6
dtolnay/proc-macro2,102,13
pendulum-project/ntpd-rs,57,21
linebender/kurbo,31,2
aevyrie/bevy_mod_picking,60,2
bitcoindevkit/bdk,228,66
pacak/cargo-show-asm,37,10
messense/jieba-rs,3,1
rust-lang/datafrog,3,0
kriomant/ch57x-keyboard-tool,38,10
rust-av/rust-av,15,0
bluss/arrayvec,20,2
rust-osdev/bootimage,38,3
bbqsrc/cargo-ndk,52,19
Leafwing-Studios/leafwing-input-manager,81,28
autometrics-dev/autometrics-rs,23,1
tokio-rs/slab,12,0
RoaringBitmap/roaring-rs,16,3
zcash/halo2,98,0
dirs-dev/directories-rs,14,0
riquito/tuc,6,0
actix/actix-extras,87,10
lichess-org/fishnet,60,2
jonhoo/bus,10,0
rust-fuzz/arbitrary,38,10
lucaspoffo/renet,11,4
1Password/arboard,27,6
not-fl3/nanoserde,21,2
ivmarkov/rust-esp32-std-demo,98,0
robmikh/minesweeper-rs,7,0
kyoheiu/felix,45,5
Trouv/bevy_ecs_ldtk,60,8
tower-rs/tower-http,105,22
smartcorelib/smartcore,29,3
dyc3/steamguard-cli,74,14
microsoft/Spartan,5,1
nashaofu/xcap,26,14
dfrg/swash,7,4
SergioBenitez/Figment,47,11
talwat/lowfi,0,21
tauri-apps/window-vibrancy,20,4
ibraheemdev/papaya,2,6
fspoettel/advent-of-code-rust,7,4
meilisearch/heed,38,11
rust-embedded/svd2rust,140,17
ccxt/binance-rs,37,0
dtolnay/erased-serde,20,5
fu5ha/ultraviolet,17,0
microsoft/Nova,9,2
alloy-rs/alloy,137,178
jonasbb/serde_with,80,17
Nilirad/bevy_prototype_lyon,29,6
hyperium/h3,32,11
linebender/runebender,32,0
matklad/xshell,26,1
paritytech/jsonrpsee,175,22
RustCrypto/AEADs,40,9
rust-analyzer/rowan,17,10
gimli-rs/object,73,9
boinkor-net/governor,17,8
rust-secure-code/cargo-auditable,27,9
mattsse/voyager,3,0
jam1garner/binrw,81,12
twilight-rs/twilight,176,4
veeso/tui-realm,30,7
mlange-42/git-graph,9,0
davidB/kubectl-view-allocations,24,5
dtolnay/reflect,4,1
bee-san/Ares,40,1
lipanski/mockito,54,5
jprochazk/garde,36,7
yassinebridi/serpl,6,6
servo/font-kit,41,4
cmyr/cargo-instruments,36,0
jeromefroe/lru-rs,17,0
RustCrypto/password-hashes,34,13
LukeMathWalker/wiremock-rs,33,4
dirs-dev/dirs-rs,12,1
owo-colors/owo-colors,12,6
avr-rust/ruduino,13,0
taiki-e/cargo-hack,35,8
dtolnay/dyn-clone,7,0
orhun/halp,10,0
ccbrown/iocraft,0,21
chenxiaolong/avbroot,72,34
dtolnay/indoc,18,0
sstadick/hck,16,0
statrs-dev/statrs,37,10
dimforge/parry,35,15
rust-windowing/gl-rs,81,0
oxidecomputer/progenitor,77,30
n0-computer/sendme,3,14
tokio-rs/async-stream,23,1
gsquire/topngx,1,0
mdeloof/statig,10,7
oxidecomputer/typify,75,33
Kobzol/cargo-pgo,10,4
esp-rs/std-training,37,4
yaa110/nomino,6,2
dtolnay/prettyplease,13,3
alexcrichton/tar-rs,86,6
makeecat/Peng,0,1
rsadsb/adsb_deku,25,3
mbrubeck/agate,31,0
RustCrypto/block-ciphers,18,3
PistonDevelopers/glfw-rs,103,1
smol-rs/polling,31,2
