Project,Bug Issues Before CI,Bug Issues After CI
mitnk/cicada,9,1
NiklasEi/bevy_game_template,20,4
deviceplug/btleplug,133,19
danielpclark/rutie,51,3
google/kati,49,0
emilk/eframe_template,42,12
17cupsofcoffee/tetra,87,2
Lodestone-Team/lodestone,57,5
zino-rs/zino,16,6
sigoden/argc,10,7
fschutt/printpdf,34,14
chinedufn/swift-bridge,74,20
eyre-rs/color-eyre,56,0
hlorenzi/customasm,70,5
coastalwhite/lemurs,42,6
fluencelabs/nox,97,0
Trow-Registry/trow,65,10
io12/pwninit,22,0
pemistahl/lingua-rs,17,4
kunai-project/kunai,21,12
kas-gui/kas,34,7
autopilot-rs/autopy,56,1
exein-io/pulsar,30,3
junkdog/tachyonfx,0,3
rust-embedded/riscv,19,12
tun2proxy/tun2proxy,40,34
madsim-rs/madsim,16,3
rust-cli/book,12,3
thirtythreeforty/neolink,129,3
softprops/envy,20,0
paperclip-rs/paperclip,93,5
GlareDB/glaredb,383,32
vladkens/macmon,2,7
rust-lang-cn/book-cn,0,0
dmadisetti/steam-tui,21,0
KonghaYao/cn-font-split,10,15
blacknon/hwatch,19,5
neon-mmd/websurfx,142,18
VOICEVOX/voicevox_core,46,16
shadow3aaa/fas-rs,12,7
getsentry/sentry-cli,817,119
anyrun-org/anyrun,32,20
tuna-f1sh/cyme,9,7
minirust/minirust,16,4
SpikeHD/Dorion,134,78
testcontainers/testcontainers-rs,54,19
rust-embedded/cortex-m,118,11
cocogitto/cocogitto,156,15
dphilla/boxer,0,0
tuono-labs/tuono,0,90
rpgp/rpgp,44,23
chvancooten/NimPlant,11,0
dalance/amber,15,0
tazz4843/whisper-rs,50,20
ulyssa/iamb,65,42
HFQR/xitca-web,16,17
tremor-rs/tremor-runtime,195,12
openebs/mayastor,180,78
nexus-xyz/nexus-cli,0,377
rustfinity/rustfinity,0,14
Borber/seam,7,0
rnd-ash/OpenVehicleDiag,14,0
getmetal/motorhead,4,0
memflow/memflow,25,6
tweedegolf/mailcrab,14,1
rust-sailfish/sailfish,34,1
coreylowman/cudarc,52,36
qarmin/szyszka,13,5
hydro-project/hydro,76,28
idootop/open-xiaoai,0,7
pls-rs/pls,26,6
pepperoni21/ollama-rs,10,24
Losses/rune,0,30
wez/govee2mqtt,112,92
datenlord/datenlord,49,2
ErikReider/SwayOSD,18,19
boxdot/gurk-rs,45,23
printfn/fend,44,9
JakeStanger/ironbar,124,84
tag1consulting/goose,95,16
thomasschafer/scooter,0,10
toml-rs/toml,151,42
libbpf/libbpf-rs,67,17
alloy-rs/core,110,53
pythonspeed/filprofiler,72,1
rust-osdev/x86_64,62,17
cooklang/cookcli,20,4
arkworks-rs/snark,31,0
next-hat/nanocl,37,5
valadaptive/ntsc-rs,30,26
lovasoa/dezoomify-rs,99,16
cisagov/thorium,0,15
kaplanelad/shellfirm,10,1
dotcypress/ula,5,0
sigoden/window-switcher,14,21
pythops/bluetui,2,9
facebook/winterfell,30,11
dropbox/rust-brotli,26,1
envio-cli/envio,16,4
jamsocket/y-sweet,6,12
sirwart/ripsecrets,5,3
geofmureithi/apalis,43,46
lanterndata/lantern,26,5
OpenZeppelin/cairo-contracts,101,21
mediar-ai/terminator,0,36
maxcountryman/axum-login,0,0
femtovg/femtovg,20,3
zaghaghi/openapi-tui,3,2
holmgr/cargo-sweep,34,4
doy/rbw,67,32
sunfishcode/eyra,5,2
ImageOptim/libimagequant,29,3
dpc/rdedup,41,3
cncases/cases,2,0
marhkb/pods,14,7
facebook/starlark-rust,44,8
IntQuant/noita_entangled_worlds,39,72
zu1k/Good-MITM,5,0
github/stack-graphs,39,8
djkoloski/rust_serialization_benchmark,4,0
lakehq/sail,0,51
awslabs/shuttle,12,4
rusty-celery/rusty-celery,38,0
alexpovel/srgn,8,6
nginx/ngx-rust,13,10
tarka/xcp,17,6
supabase/edge-runtime,92,33
lanyeeee/jmcomic-downloader,5,33
mystor/rust-cpp,33,0
hyperion-mc/hyperion,48,29
trane-project/trane,0,0
rien/reStream,31,3
0xPolygonZero/plonky2,50,10
luxtorpeda-dev/luxtorpeda,54,2
dwyl/book,6,0
VirusTotal/yara-x,18,71
