name,repo,total_sloc,rust_sloc,rust_share_pct,num_langs,top_langs,languages_json
gritql,honeycombio/gritql,5887938,67183,1.14,28,"C (5739449), Rust (67183), JavaScript (32616), CSS (13607), TypeScript (10922)","{""Bourne Again Shell"": 299, ""C"": 5739449, ""C#"": 367, ""C++"": 785, ""C/C++ Header"": 2943, ""CSS"": 13607, ""D"": 2, ""Elixir"": 184, ""Go"": 5060, ""HCL"": 36, ""Java"": 40, ""JavaScript"": 32616, ""Jupyter Notebook"": 477, ""Kotlin"": 142, ""MSBuild script"": 6, ""Maven"": 20, ""Nix"": 13, ""PHP"": 87, ""Python"": 7032, ""Rust"": 67183, ""SQL"": 31, ""Scheme"": 2904, ""Solidity"": 15, ""Swift"": 693, ""TypeScript"": 10922, ""Vuejs Component"": 38, ""diff"": 1346, ""make"": 1641}"
artichoke,artichoke/artichoke,2345997,68647,2.93,27,"Ruby (1357191), C (453526), C/C++ Header (325647), Rust (68647), C++ (60785)","{""Assembly"": 2109, ""Bourne Again Shell"": 82, ""C"": 453526, ""C++"": 60785, ""C/C++ Header"": 325647, ""CSS"": 552, ""D"": 34, ""ERB"": 1353, ""Fortran 77"": 679, ""JavaScript"": 382, ""Lisp"": 89, ""PHP"": 666, ""Pascal"": 6282, ""Perl"": 62, ""Python"": 1128, ""Ruby"": 1357191, ""Ruby HTML"": 485, ""Rust"": 68647, ""Scheme"": 31, ""Windows Module Definition"": 2272, ""awk"": 36, ""diff"": 111, ""m4"": 4886, ""make"": 17965, ""sed"": 95, ""yacc"": 40886, ""zsh"": 16}"
windows-rs,microsoft/windows-rs,2260451,2238376,99.02,10,"Rust (2238376), C (20567), TypeScript (761), C++ (351), IDL (228)","{""C"": 20567, ""C#"": 8, ""C++"": 351, ""HLSL"": 16, ""IDL"": 228, ""JavaScript"": 120, ""MSBuild script"": 8, ""PowerShell"": 16, ""Rust"": 2238376, ""TypeScript"": 761}"
packages,typst/packages,1666224,940,0.06,17,"Typst (1642935), JavaScript (19663), Rust (940), Nix (552), Python (490)","{""Bourne Again Shell"": 407, ""C"": 10, ""F# Script"": 21, ""Freemarker Template"": 262, ""JavaScript"": 19663, ""Jinja Template"": 24, ""Julia"": 12, ""Jupyter Notebook"": 287, ""Nix"": 552, ""Nushell"": 179, ""Python"": 490, ""Rust"": 940, ""SQL"": 5, ""Scala"": 13, ""Typst"": 1642935, ""make"": 322, ""zsh"": 102}"
iced,icedland/iced,1271111,583064,45.87,9,"Rust (583064), C# (431243), Java (226824), Python (14235), Lua (13453)","{""C#"": 431243, ""Java"": 226824, ""JavaScript"": 1946, ""Lua"": 13453, ""MSBuild script"": 105, ""Maven"": 178, ""Python"": 14235, ""Rust"": 583064, ""Visual Studio Solution"": 63}"
rusoto,rusoto/rusoto,1133856,1133712,99.99,3,"Rust (1133712), Python (80), make (64)","{""Python"": 80, ""Rust"": 1133712, ""make"": 64}"
polkadot-sdk,paritytech/polkadot-sdk,1079618,1072500,99.34,13,"Rust (1072500), WebAssembly (2257), Python (1299), TypeScript (1083), JavaScript (948)","{""CSS"": 51, ""Containerfile"": 72, ""EJS"": 52, ""Handlebars"": 688, ""JavaScript"": 948, ""Nix"": 20, ""Python"": 1299, ""Ruby"": 565, ""Rust"": 1072500, ""SQL"": 33, ""Solidity"": 50, ""TypeScript"": 1083, ""WebAssembly"": 2257}"
typos,crate-ci/typos,1040905,1009632,97.0,7,"Rust (1009632), Go (31150), JSON5 (68), Python (45), C++ (5)","{""C++"": 5, ""Go"": 31150, ""JSON5"": 68, ""Julia"": 2, ""PHP"": 3, ""Python"": 45, ""Rust"": 1009632}"
sailfish,rust-sailfish/sailfish,817850,4745,0.58,15,"JavaScript (736315), TypeScript (74048), Rust (4745), CSS (844), C/C++ Header (467)","{""C"": 361, ""C++"": 14, ""C/C++ Header"": 467, ""CSS"": 844, ""Go"": 18, ""JavaScript"": 736315, ""PHP"": 124, ""Python"": 263, ""Rust"": 4745, ""Scheme"": 8, ""Swift"": 44, ""TypeScript"": 74048, ""Windows Module Definition"": 451, ""make"": 129, ""vim script"": 19}"
risingwave,risingwavelabs/risingwave,642233,541543,84.32,16,"Rust (541543), SQL (63088), Java (13882), Python (13264), TypeScript (4159)","{""Bourne Again Shell"": 135, ""C#"": 125, ""C/C++ Header"": 72, ""CSS"": 351, ""Go"": 3078, ""Java"": 13882, ""JavaScript"": 412, ""MSBuild script"": 19, ""Maven"": 1721, ""Nix"": 97, ""PHP"": 148, ""Python"": 13264, ""Ruby"": 139, ""Rust"": 541543, ""SQL"": 63088, ""TypeScript"": 4159}"
si,systeminit/si,620297,264407,42.63,24,"Rust (264407), Java (95898), Starlark (71064), Vuejs Component (70297), TypeScript (57714)","{""Bourne Again Shell"": 963, ""C"": 3, ""C++"": 976, ""C/C++ Header"": 392, ""CSS"": 33, ""Erlang"": 7404, ""Fortran 77"": 232, ""Go"": 634, ""Java"": 95898, ""JavaScript"": 1912, ""Kotlin"": 4744, ""LESS"": 140, ""Nix"": 366, ""Objective-C"": 432, ""Prisma Schema"": 96, ""Python"": 39374, ""Rust"": 264407, ""SQL"": 2924, ""Starlark"": 71064, ""TypeScript"": 57714, ""Vuejs Component"": 70297, ""Windows Module Definition"": 175, ""diff"": 95, ""make"": 22}"
csbindgen,Cysharp/csbindgen,609127,376241,61.77,9,"Rust (376241), C (203994), C# Generated (15045), C/C++ Header (12809), C# (385)","{""Assembly"": 331, ""C"": 203994, ""C#"": 385, ""C# Generated"": 15045, ""C/C++ Header"": 12809, ""MSBuild script"": 52, ""Rust"": 376241, ""Visual Studio Solution"": 29, ""make"": 241}"
