language,count,mean,median
Python,472,88.85476694915253,94.505
JavaScript,455,85.0382857142857,88.14
make,392,89.38941326530613,95.305
CSS,340,84.45188235294117,88.515
TypeScript,252,80.9115873015873,83.845
Nix,245,90.21767346938776,95.87
Bourne Again Shell,242,88.58999999999999,94.725
C/C++ Header,221,85.82140271493212,89.47
C,163,86.46730061349693,90.2
SQL,130,88.13423076923077,94.43
PowerShell,111,87.63927927927926,92.26
C++,107,84.24364485981309,85.53
Handlebars,72,87.95055555555555,92.08
Go,68,84.17176470588235,87.875
diff,58,83.30931034482758,88.05
GLSL,56,90.90982142857142,96.76
Java,56,83.50446428571429,84.97
Lua,52,85.17423076923077,88.305
Assembly,52,86.4575,93.19
Ruby,51,84.1613725490196,88.13
Fish Shell,49,90.16448979591837,95.42
WGSL,47,90.03702127659574,94.76
SCSS,44,81.76568181818182,85.82499999999999
WiX source,35,88.68285714285715,95.72
Windows Resource File,35,88.03257142857143,94.74
Jupyter Notebook,34,82.10617647058824,83.24
Linker Script,33,89.23848484848484,93.9
Freemarker Template,33,86.92939393939395,94.15
zsh,32,89.31875,92.955
Pest,32,89.665625,96.035
Gradle,31,78.88387096774194,80.68
C#,29,81.78275862068965,83.61
Solidity,29,87.20965517241379,91.72
Swift,28,80.94535714285713,78.59
Logos,25,94.83239999999999,98.8
Vuejs Component,25,76.7684,83.53
Jinja Template,25,82.39120000000001,88.45
vim script,23,85.1295652173913,86.72
WebAssembly,23,84.78608695652174,89.38
Nushell,22,90.40136363636363,95.08
PHP,22,90.5,93.675
JSON5,22,92.01409090909091,96.33
MSBuild script,22,79.50227272727273,79.42
JSX,21,81.70142857142858,85.6
Kotlin,20,73.1845,76.16999999999999
Svelte,18,72.72666666666666,71.80000000000001
Lisp,16,85.50125,88.995
CUDA,16,90.111875,90.80000000000001
HCL,16,84.298125,89.97
Visual Studio Solution,15,77.12066666666666,77.83
Maven,14,82.41285714285713,83.895
Scheme,13,81.24923076923076,78.94
Containerfile,13,91.0323076923077,97.38
Snakemake,12,88.40583333333332,91.455
Astro,11,86.78090909090909,88.1
XML (Qt/GTK),11,79.2990909090909,86.91
Metal,11,85.39181818181818,86.37
PO File,11,70.05727272727273,66.62
Meson,10,74.65599999999999,69.46000000000001
Flatbuffers,10,89.037,92.055
Windows Module Definition,10,78.541,77.115
LLVM IR,9,81.76666666666667,83.41
Objective-C,9,77.31,82.37
Org Mode,8,87.44375,86.6
HLSL,8,83.28,84.62
Dart,8,73.72,76.8
Zig,8,82.1775,82.55
Elixir,7,80.82857142857142,78.63
EJS,7,88.73857142857142,98.67
Expect,7,86.77714285714286,88.48
liquid,7,85.62571428571428,96.84
Objective-C++,7,72.5957142857143,60.29
ERB,6,80.62833333333333,78.38
NAnt script,6,89.67666666666666,96.48
Scala,6,76.34833333333334,73.86500000000001
Perl,6,89.91666666666667,92.88499999999999
OCaml,6,77.44,77.53999999999999
Fortran 77,6,82.52166666666666,83.12
Cucumber,6,82.63,84.83500000000001
Brainfuck,6,94.40500000000002,95.895
m4,5,74.42999999999999,69.34
D,5,79.086,77.25
Elixir Script,5,76.86999999999999,78.05
F#,5,80.618,77.83
Julia,5,88.4,92.64
Starlark,5,76.204,81.19
Racket,5,78.81,73.07
XSLT,5,87.088,95.28
Blueprint,4,76.63,76.64
WiX string localization,4,67.78999999999999,59.254999999999995
awk,4,77.7625,76.18
Slint,4,71.9125,66.21000000000001
Typst,4,61.537499999999994,63.94
TLA+,4,86.6275,86.34
R,4,82.875,84.74000000000001
GDScript,4,79.165,81.2
Godot Scene,4,79.165,81.2
Erlang,4,83.505,81.005
Crystal,4,82.4875,82.55
IDL,4,88.0575,89.44999999999999
Haskell,4,84.7975,82.55
Jsonnet,4,82.9125,84.655
Prisma Schema,4,90.98,92.58
Pascal,4,92.66499999999999,92.43
Rego,4,83.69749999999999,84.725
Luau,4,79.825,77.71000000000001
PlantUML,3,88.22333333333334,99.17
Pawn,3,89.42333333333333,92.01
Godot Resource,3,72.71666666666667,75.09
Cairo,3,84.18,87.43
Gencat NLS,3,84.06,87.9
Stylus,3,83.66,89.24
Tcl/Tk,3,87.00666666666666,84.85
Sass,3,79.09,90.26
Mustache,3,85.94,87.48
QML,3,75.73,80.07
Visual Basic,2,77.14,77.14
SWIG,2,73.405,73.405
Godot Shaders,2,70.445,70.445
Gleam,2,79.99000000000001,79.99000000000001
CoffeeScript,2,87.8,87.8
Elm,2,75.99000000000001,75.99000000000001
AutoHotkey,2,98.1,98.1
Circom,2,82.425,82.425
yacc,2,82.75999999999999,82.75999999999999
sed,2,88.32,88.32
Verilog-SystemVerilog,2,92.33500000000001,92.33500000000001
Prolog,2,76.22999999999999,76.22999999999999
Qt Project,2,93.72,93.72
ReasonML,2,93.16499999999999,93.16499999999999
Windows Message File,2,74.705,74.705
XHTML,2,80.185,80.185
Unity-Prefab,2,87.095,87.095
TNSDL,2,97.17,97.17
Razor,2,70.88,70.88
Cython,2,78.0,78.0
Haml,2,77.9,77.9
Glade,2,98.575,98.575
BrightScript,1,65.8,65.8
Cangjie,1,65.8,65.8
Bazel,1,55.27,55.27
Blade,1,86.86,86.86
Arturo,1,65.8,65.8
Arduino Sketch,1,65.8,65.8
C# Generated,1,61.77,61.77
COBOL,1,87.27,87.27
C Shell,1,97.07,97.07
APL,1,65.8,65.8
Apex Class,1,90.0,90.0
ASP,1,69.9,69.9
Janet,1,65.8,65.8
Harbour,1,58.08,58.08
Hare,1,65.8,65.8
Haxe,1,94.09,94.09
Glimmer TypeScript,1,65.8,65.8
Glimmer JavaScript,1,65.8,65.8
Futhark,1,65.8,65.8
Groovy,1,98.23,98.23
DTD,1,99.59,99.59
Coq,1,97.08,97.08
Clojure,1,96.71,96.71
ClojureScript,1,65.8,65.8
EEx,1,78.05,78.05
Fennel,1,65.8,65.8
Forth,1,96.29,96.29
Fortran 90,1,87.27,87.27
Chapel,1,65.8,65.8
Nextflow,1,65.8,65.8
Mako,1,86.86,86.86
Mathematica,1,98.32,98.32
LESS,1,85.51,85.51
Korn Shell,1,65.8,65.8
Logtalk,1,65.8,65.8
Lean,1,99.92,99.92
Nickel,1,82.06,82.06
PEG,1,78.63,78.63
Mojo,1,65.8,65.8
MoonBit,1,79.31,79.31
Modelica,1,65.8,65.8
Nim,1,77.83,77.83
Nunjucks,1,91.5,91.5
Odin,1,65.8,65.8
Rmd,1,62.25,62.25
Pug,1,65.8,65.8
Puppet,1,65.8,65.8
RAML,1,97.52,97.52
PL/M,1,93.85,93.85
OpenCL,1,83.13,83.13
Pony,1,65.8,65.8
ProGuard,1,77.07,77.07
OpenSCAD,1,65.8,65.8
Stata,1,65.8,65.8
SurrealQL,1,98.66,98.66
Specman e,1,65.8,65.8
SugarSS,1,65.8,65.8
Standard ML,1,98.67,98.67
Titanium Style Sheet,1,57.43,57.43
Twig,1,65.8,65.8
VHDL,1,65.8,65.8
Velocity Template Language,1,65.8,65.8
UXML,1,57.43,57.43
TTCN,1,65.8,65.8
TableGen,1,83.38,83.38
Templ,1,65.8,65.8
Visual Basic Script,1,65.8,65.8
WiX include,1,60.29,60.29
XSD,1,97.77,97.77
XAML,1,83.61,83.61
Visual Basic .NET,1,65.8,65.8
Xtend,1,65.8,65.8
kvlang,1,65.8,65.8
dhall,1,65.8,65.8
bc,1,99.99,99.99
lex,1,89.17,89.17
