name,owner,url,stars,forks,description,topics,language,created_at,updated_at,has_training,training_files_sample,has_testing,testing_files_sample,open_issues,license
minGPT,karpathy,https://github.com/karpathy/minGPT,23117,3029,A minimal PyTorch re-implementation of the OpenAI GPT (Generative Pretrained Transformer) training,[],Python,2020-08-17T07:08:48Z,2025-12-10T03:49:11Z,True,['mingpt/trainer.py'],True,['tests/test_huggingface_import.py'],79,MIT License
sentence-transformers,huggingface,https://github.com/huggingface/sentence-transformers,17979,2715,State-of-the-Art Text Embeddings,[],Python,2019-07-24T10:53:51Z,2025-12-10T04:42:17Z,True,"['docs/cross_encoder/pretrained_models.md', 'docs/cross_encoder/training/examples.rst', 'docs/cross_encoder/training_overview.md', 'docs/cross_encoder/training_overview.md', 'docs/img/adaptive_pre-training.png']",True,"['.github/workflows/tests.yml', 'docs/img/backends_benchmark_cpu.png', 'docs/img/backends_benchmark_gpu.png', 'docs/img/ce_backends_benchmark_cpu.png', 'docs/img/ce_backends_benchmark_gpu.png']",1339,Apache License 2.0
trl,huggingface,https://github.com/huggingface/trl,16587,2342,Train transformer language models with reinforcement learning.,[],Python,2020-03-27T10:54:55Z,2025-12-10T03:17:17Z,True,"['.github/issue_template/new-trainer-addition.yml', 'docs/source/bco_trainer.md', 'docs/source/cpo_trainer.md', 'docs/source/distributing_training.md', 'docs/source/dpo_trainer.md']",True,"['.github/workflows/slow-tests.yml', '.github/workflows/tests-experimental.yml', '.github/workflows/tests.yml', '.github/workflows/tests_latest.yml', 'tests/__init__.py']",602,Apache License 2.0
Swin-Transformer,microsoft,https://github.com/microsoft/Swin-Transformer,15517,2202,"This is an official implementation for ""Swin Transformer: Hierarchical Vision Transformer using Shifted Windows"".","['ade20k', 'image-classification', 'imagenet', 'mask-rcnn', 'mscoco', 'object-detection', 'semantic-segmentation', 'swin-transformer']",Python,2021-03-25T12:42:36Z,2025-12-10T02:28:18Z,True,"['configs/simmim/simmim_finetune__swin_base__img224_window7__800ep.yaml', 'configs/simmim/simmim_finetune__swinv2_base__img224_window14__800ep.yaml', 'configs/simmim/simmim_pretrain__swin_base__img192_window6__800ep.yaml', 'configs/simmim/simmim_pretrain__swin_base__img192_window6__800ep.yaml', 'configs/simmim/simmim_pretrain__swinv2_base__img192_window12__800ep.yaml']",True,['kernels/window_process/unit_test.py'],202,MIT License
detr,facebookresearch,https://github.com/facebookresearch/detr,14945,2639,End-to-End Object Detection with Transformers,[],Python,2020-05-26T23:54:52Z,2025-12-10T04:47:58Z,True,"['d2/train_net.py', 'd2/train_net.py']",True,"['datasets/coco_eval.py', 'datasets/panoptic_eval.py', 'test_all.py']",255,Apache License 2.0
Megatron-LM,NVIDIA,https://github.com/NVIDIA/Megatron-LM,14492,3358,Ongoing research training transformer models at scale,"['large-language-models', 'model-para', 'transformers']",Python,2019-03-21T16:15:52Z,2025-12-10T05:16:53Z,True,"['examples/academic_paper_scripts/detxoify_lm/finetune_gpt.py', 'examples/academic_paper_scripts/detxoify_lm/finetune_gpt_distributed-1.3b.sh', 'examples/bert/train_bert_340m_distributed.sh', 'examples/bert/train_bert_340m_distributed.sh', 'examples/gpt3/train_gpt3_175b_distributed.sh']",True,"['.github/workflows/_build_test_publish_wheel.yml', '.github/workflows/build-test-publish-wheel.yml', '.github/workflows/cicd-approve-test-queue.yml', '.github/workflows/install-test.yml', '.github/workflows/trigger-mbridge-tests.yml']",572,Other
RWKV-LM,BlinkDL,https://github.com/BlinkDL/RWKV-LM,14214,978,"RWKV (pronounced RwaKuv) is an RNN with great LLM performance, which can also be directly trained like a GPT transformer (parallelizable). We are at RWKV-7 ""Goose"". So it's combining the best of RNN and transformer - great performance, linear time, constant space (no kv-cache), fast training, infinite ctx_len, and free sentence embedding.","['attention-mechanism', 'chatgpt', 'deep-learning', 'gpt', 'gpt-2', 'gpt-3', 'language-model', 'linear-attention', 'lstm', 'pytorch', 'rnn', 'rwkv', 'transformer', 'transformers']",Python,2021-08-08T06:05:27Z,2025-12-10T04:01:03Z,True,"['rwkv-v1/src/trainer.py', 'rwkv-v1/train.py', 'rwkv-v1/train.py', 'rwkv-v2-rnn/src/trainer.py', 'rwkv-v2-rnn/train.py']",True,"['rwkv-v7/misc/lambada_test.jsonl', 'rwkv-v7/mmlu_test_dataset/data-00000-of-00001.arrow', 'rwkv-v7/mmlu_test_dataset/dataset_info.json', 'rwkv-v7/mmlu_test_dataset/state.json', 'rwkv-v7/rwkv_mmlu_eval.py']",141,Apache License 2.0
segmentation_models.pytorch,qubvel-org,https://github.com/qubvel-org/segmentation_models.pytorch,11145,1810,Semantic segmentation models with 500+ pretrained convolutional and transformer-based backbones.,"['computer-vision', 'deeplab-v3-plus', 'deeplabv3', 'dpt', 'fpn', 'image-processing', 'image-segmentation', 'imagenet', 'models', 'pretrained-weights', 'pspnet', 'pytorch', 'segformer', 'segmentation', 'segmentation-models', 'semantic-segmentation', 'transformers', 'unet', 'unet-pytorch', 'unetplusplus']",Python,2019-03-01T16:21:21Z,2025-12-09T08:53:35Z,True,"['examples/dpt_inference_pretrained.ipynb', 'examples/segformer_inference_pretrained.ipynb', 'examples/upernet_inference_pretrained.ipynb', 'segmentation_models_pytorch/encoders/_legacy_pretrained_settings.py', 'segmentation_models_pytorch/utils/train.py']",True,"['.github/workflows/tests.yml', 'misc/generate_test_models.py', 'requirements/test.txt', 'tests/__init__.py', 'tests/base/test_freeze_encoder.py']",86,MIT License
xformers,facebookresearch,https://github.com/facebookresearch/xformers,10167,744,"Hackable and optimized Transformers building blocks, supporting a composable construction.",[],Python,2021-10-13T18:08:50Z,2025-12-09T18:03:33Z,True,['xformers/ops/fmha/merge_training.py'],True,"['.github/gpu_benchmark_diff.py', '.github/run_benchmark_wrapper.py', '.github/workflows/gpu_test_gh.yml', 'requirements-test.txt', 'stubs/torch_stub_tests.py']",366,Other
petals,bigscience-workshop,https://github.com/bigscience-workshop/petals,9851,586,"🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading","['bloom', 'chatbot', 'deep-learning', 'distributed-systems', 'falcon', 'gpt', 'guanaco', 'language-models', 'large-language-models', 'llama', 'machine-learning', 'mixtral', 'neural-networks', 'nlp', 'pipeline-parallelism', 'pretrained-models', 'pytorch', 'tensor-parallelism', 'transformer', 'volunteer-computing']",Python,2022-06-12T00:10:27Z,2025-12-09T08:50:16Z,True,"['benchmarks/benchmark_training.py', 'src/petals/client/from_pretrained.py', 'src/petals/server/from_pretrained.py']",True,"['.github/workflows/run-tests.yaml', 'benchmarks/benchmark_forward.py', 'benchmarks/benchmark_inference.py', 'benchmarks/benchmark_training.py', 'tests/bootstrap.id']",111,MIT License
